山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-单位:%-类别-类别,山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-Category-Category,山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-固定资产投资InvestmentsinFixedAssets-固定资产投资InvestmentsinFixedAssets,山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-计划总投资Totalplannedinvestment-计划总投资Totalplannedinvestment,山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-施工项目NumberofProjectunderCons-truction-施工项目NumberofProjectunderCons-truction,山东省按行业分的固定资产投资增长速度(2023年)-ThegrowthofInvestmentsinFixedAssetsbySector(2023)-(%)-新开工项目StartedThisYear
类     别,Category,"固定资产
投    资

Investments
 in Fixed
 Assets","计  划
总投资

Total 
planned 
investment","施工项目
Number of
 Project 
under 
Cons
-truction","新开工
项  目
Started 
This 
Year"
类     别,Category,"固定资产
投    资

Investments
 in Fixed
 Assets","计  划
总投资

Total 
planned 
investment","施工项目
Number of
 Project 
under 
Cons
-truction","新开工
项  目
Started 
This 
Year"
类     别,Category,"固定资产
投    资

Investments
 in Fixed
 Assets","计  划
总投资

Total 
planned 
investment","施工项目
Number of
 Project 
under 
Cons
-truction","新开工
项  目
Started 
This 
Year"
类     别,Category,"固定资产
投    资

Investments
 in Fixed
 Assets","计  划
总投资

Total 
planned 
investment","施工项目
Number of
 Project 
under 
Cons
-truction","新开工
项  目
Started 
This 
Year"
类     别,Category,"固定资产
投    资

Investments
 in Fixed
 Assets","计  划
总投资

Total 
planned 
investment","施工项目
Number of
 Project 
under 
Cons
-truction","新开工
项  目
Started 
This 
Year"
,,,,,
总    计,Provincial Total,5,4,(3),(10)
(一)农、林、牧、渔业,"Farming, Forestry, Animal Husbandry and Fishery",2,(8),2,10
农  业,Farming,5,(8),4,5
林  业,Forestry,(53),(11),(32),(47)
畜牧业,Animal Husbandry,(3),(16),(9),28
渔  业,Fishery,20,4,55,73
农林牧渔业及辅助性活动,"Services for Farming, Forestry, Animal",0,(5),1,(1)
,Husbandry and Fishery,,,,
(二)采矿业,Mining,20,20,(12),(14)
煤炭开采和洗选业,Mining and Washing of Coal,(9),97,(5),(25)
石油和天然气开采业,Extraction of Petroleum and Natural Gas,10,7,持平,20
黑色金属矿采选业,Mining and Dressing of Ferrous Metal Ores,(31),(32),(28),(25)
有色金属矿采选业,Mining and Dressing of Nonferrous Metals Ores,191,58,(14),7
非金属矿采选业,Mining and Dressing of Nonmetal Ores,38,(44),(20),(20)
开采专业及辅助性活动,Mining Specialties and Auxiliary Activities,193,191,20,17
其他采矿业,Mining and Dressing of Other Ores,2110,持平,持平,
(三)制造业,Manufacture,12,5,(3),(9)
农副食品加工业,Processing of Farm and Sideline Food,20,14,15,10
食品制造业,Manufacture of Food,15,5,0,2
酒、饮料和精制茶制造业,"Manufacture of Wine, Drinks and Refined Tea",22,27,12,16
烟草制品业,Tobacco Products,(15),(8),持平,(17)
纺织业,Textile Industry,8,(6),(5),(3)
纺织服装、服饰业,Manufacture of Textile Wearing Apparel and Finery,16,24,4,8
皮革、毛皮、羽毛及其制品,"Manufacture of Leather, Fur, Feather & Its Products",(3),(24),15,32
和制鞋业,and Footwear,,,,
木材加工及木、竹、藤、棕、,"Timber Processing, Bamboo, Cane,",5,(3),(6),(6)
草制品业,Palm Fiber & Straw Products,,,,
家具制造业,Manufacture of Furniture,5,8,6,8
造纸及纸制品业,Papermaking and Paper Products,(15),(9),持平,5
印刷和记录媒介复制业,"Printing, Reproduction of Recording Media",(7),(12),(1),(17)
文教、工美、体育和娱乐,"Manufacture of Culture, Education,Arts and Crafts,",(19),(8),(12),(10)
用品制造业,Sport and Entertainment Goods,,,,
石油、煤炭及其他燃料加工业,"Processing of Oil, Coal and Other Fuel",21,(7),(16),(29)
化学原料和化学制品制造业,Manufacture of Raw Chemical Materials,21,4,(4),(22)
医药制造业,Manufacture of Medicines,21,8,0,(5)
化学纤维制造业,Manufacture of Chemical Fibers,7,17,7,(4)
橡胶和塑料制品业,Manufacture of Rubber and Plastic,(12),(14),(14),(23)
非金属矿物制品业,Nonmetal Mineral Products,0,(7),(13),(25)
黑色金属冶炼及压延加工业,Smelting and Pressing of Ferrous Metals,(37),(17),8,9
有色金属冶炼及压延加工业,Smelting and Pressing of Nonferrous Metals,(11),2,(8),(15)
金属制品业,Manufacture of Metal Products,18,2,(7),(18)
通用设备制造业,Manufacture of General Purpose Machinery,(16),(5),(16),(21)
专用设备制造业,Manufacture of Special Purpose Machinery,23,3,(3),(6)
汽车制造业,Manufacture of Automotive,9,(10),(9),(27)
铁路、船舶、航空航天和,"Manufacture of Railroad,Marine,Aerospace and",(19),3,(7),(12)
其他运输设备制造业,Other Transportation Equipment,,,,
电气机械及器材制造业,Manufacture of Electrical  Machinery & Equipment,21,10,(0),(7)
计算机、通信和其他电子,"Manufacture of Computer, Communications and",24,34,25,15
设备制造业,Other Electronic Equipment,,,,
仪器仪表制造业,Manufacture of Measuring Instrument,154,54,56,56
其他制造业,Other Manufacture,(37),(20),(14),33
废弃资源综合利用业,Comprehensive Utilization of Waste,(29),(17),(24),(42)
金属制品、机械和设备,"Metal Products, Machinery and Equipment",(24),(4),(9),10
修理业,Repair Industry,,,,
(四)电力、热力、燃气及水,"Production and Supply of Electric, Heat, Gas and",36,24,2,(13)
的生产和供应业,Water,,,,
电力、热力生产和供应业,Production and Supply of Electric Power,39,26,4,(13)
,and Heating Power,,,,
燃气生产和供应业,Production and Supply of Gas,35,40,15,25
水的生产和供应业,Production and Supply of Tap Water,30,13,(4),(22)
(五)建筑业,Construction,162,446,90,86
房屋建筑业,Building Construction,(37),(5),(33),(25)
土木工程建筑业,Civil Engineering Construction,187,606,173,200
建筑安装业,Construction Installment,(0),持平,持平,(100)
建筑装饰和其他建筑业,Construction Decoration and Others,1519,3247,100,100
(六)批发和零售业,Wholesale and Retail Trade,持平,12,3,9
批发业,Wholesale,10,50,15,56
零售业,Retail Trade,(7),(4),(4),(15)
(七)交通运输、仓储和邮政业,"Transport, Storage and Postal Services",10,6,(2),4
铁路运输业,Railway Transport,(10),24,3,7
道路运输业,Road Transport,30,10,(4),(1)
水上运输业,Waterway Transport,(40),(27),(21),(14)
航空运输业,Air Transport,(2),(34),(20),持平
管道运输业,Pipeline Transport,25,26,39,64
多式联运和运输代理业,Multimodal transport and Transportation agency,(8),(14),(13),22
装卸搬运和仓储业,Loading and Unloading and Storage,(5),6,6,9
邮政业,Postal Services,(50),(6),持平,75
(八)住宿和餐饮业,Accommodations and Catering Services,30,(5),27,77
住宿业,Accommodations,26,(10),26,88
餐饮业,Catering Services,52,31,31,48
(九)信息传输、软件和信息,"Information Transmission, Computer",17,1,6,5
技术服务业,Services and Software,,,,
电信、广播电视和卫星,"Telecommunications, Radio and Television and",(9),(23),1,(8)
传输服务,Satellite Transmission Services,,,,
互联网和相关服务,Internet and related Services,29,(0),8,1
软件和信息技术服务业,Software and Information Technology Services,12,8,6,25
(十)金融业,Finance,(17),(22),(32),(54)
货币金融服务,Monetary and Financial Services,(37),(74),(37),(60)
资本市场服务,Capital Market Services,(8),1,(20),持平
保险业,Insurance,(66),(66),(50),(50)
其他金融业,Others,(4),(4),(10),(50)
(十一)房地产业,Real Estate,(10),(7),(18),(20)
(十二)租赁和商务服务业,Leasing and Business Services,5,(8),(6),(34)
租赁业,Leasing Services,58,192,225,900
商务服务业,Business Services,5,(9),(7),(36)
(十三)科学研究和技术服务,Scientific Research and Technical Services,26,22,31,39
研究与试验发展,Research and Experimental Development,4,7,24,46
专业技术服务业,Special Technical Services,(1),21,3,(17)
科技推广和应用服务业,Science and Technology Promotion and,53,35,51,64
,Application Services,,,,
(十四)水利、环境和公共设施管理业,"Management of Water Conservancy,",25,11,(2),(16)
,Environment and Public Facilities,,,,
水利管理业,Management of Water Conservancy,42,12,(0),(32)
生态保护和环境治理业,Ecological Protection and Environmental,56,17,1,(16)
,Management,,,,
公共设施管理业,Management of Public Facilities,17,10,(2),(13)
土地管理业,Management of  Land,48,13,11,(16)
(十五)居民服务、修理和其他服务业,"Households Services, Repair and Other Services",(19),(7),(22),(28)
居民服务业,Services to Households,(20),(6),(23),(38)
机动车、电子产品和,"Motor Vehicles, Electronics and",(29),(17),(36),67
日用产品修理业,Household Products Repair,,,,
其他服务业,Other Services,(8),(8),(7),持平
(十六)教  育,Education,(5),5,(8),(20)
教  育,Education,(5),5,(8),(20)
(十七)卫生和社会工作,Health and Social Work,(12),(5),(18),(56)
卫  生,Health Care,(13),(7),(20),(63)
社会工作,Social Work,(10),0,(12),(28)
(十八)文化、体育和娱乐业,"Culture, Sports and Recreation",(19),(19),(16),(8)
新闻和出版业,News and Publication,(3),(38),持平,持平
广播、电视、电影和,"Radio, Television, Film and Video",(40),(34),(11),(25)
影视录音制作业,Recording Production,,,,
文化艺术业,Culture and Arts,(10),1,1,36
体  育,Sports,(30),(22),(25),(39)
娱乐业,Recreation,(19),(25),(22),(17)
(十九)公共管理、社会保障和,"Public Management,Social Security and",(19),(19),(14),(28)
社会组织,Social Organizations,,,,
中国共产党机关,CPC Agencies,367,248,300,
国家机构,Government Agencies,(20),(20),(19),(36)
人民政协、民主党派,CPPCC and Democratic Parties,,,,
社会保障,Social Security,(80),持平,持平,(100)
群众团体、社会团体和,"Mass Organizations, Social Organizations and",(52),(85),(50),(67)
其他成员组织,Other Organizations,,,,
基层群众自治组织,Self-governing Mass Organizations at the,(31),(15),14,33
,Grass-roots Level,,,,
(二十)国际组织,International Organizations,,,,
国际组织,International Organizations,,,,
,,,,,
,,,,,
注：计划总投资、施工及新开工项目个数等指标不含房地产企业开发数据(下表同)。,,,,,
"a) Data of total planned investment , number of project under construction and new started exclude those developed by real estate companies.",,,,,
(The same applies to tables following).,,,,,
