2023年临床科室不可收费耗材情况-科室,2023年临床科室不可收费耗材情况-科室领用耗材金额,2023年临床科室不可收费耗材情况-科室领用不可收费耗材金额,2023年临床科室不可收费耗材情况-科室总收入（按项目计算）,2023年临床科室不可收费耗材情况-不可收费材料与科室收入占比
中医科,1011083,912932,21970192,0
肾病风湿免疫科,12567221,1585799,45980343,0
耳鼻咽喉科,2813635,235746,11371071,0
城南儿科,228865,83063,4100729,0
眼科,2065812,163916,8306641,0
心理医学科,2147,789,41077,0
儿科,681766,222123,12449136,0
感染性疾病科南院病区,1775444,340891,21985302,0
产科,3319892,718789,57961497,0
普外二科,5685270,201053,16547336,0
新生儿科,417665,62302,5325602,0
疼痛科,441959,70466,6357709,0
重症医学科,1758564,218022,19692575,0
急诊医学科,1562935,235418,24118023,0
康复医学科,669833,277946,29696573,0
呼吸与危重症医学科,2419491,392572,43105312,0
妇科计划生育科,2154772,163584,18125692,0
消化血液内科,391572,135361,15273015,0
内分泌科,1117575,239590,27884839,0
全科医学科,1232758,122870,14364152,0
普外一科,3693499,111542,14532348,0
骨科,9095257,151148,21176542,0
肿瘤内科,422819,92622,13758852,0
老年医学科,1137958,178600,26848063,0
CCU,347789,62181,9410539,0
泌尿外科,1529896,57058,9249659,0
神经外科,2306952,90809,15427434,0
心血管内二科,624240,84650,15623802,0
感染性疾病科三区,168780,72347,14439575,0
神经内科,416186,85252,17752360,0
心血管内一科,707712,145155,33376402,0
关节外科,4578025,44513,10440550,0
合计,67347370,7559108,606692942,0
