ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-Project,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2013/12/1,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2013/12/1.1,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2014/1/1,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2014/1/1.1,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2014/2/1,ConsumerPriceIndexDataforResidentsfromDecember2013toFebruary2014-2014/2/1.1
Project,Month-on-month change (%),Year-on-year change (%),Month-on-month change (%),Year-on-year change (%),Month-on-month change (%),Year-on-year change (%)
Consumer Price Index,0.3,2.5,1,2.5,0.5,2
Food,0.6,4.1,2.4,3.1,1.7,2.7
"Tobacco, Alcohol, and Related Products",0,-0.4,-0.3,0.2,0,-0.7
Clothing,0.1,2.1,-0.5,2,-0.4,2.2
"Household Equipment, Supplies, and Maintenance Services",0.1,1.4,0.4,9.2,0,1.3
Healthcare and Personal Goods,0,0.9,0.3,0.6,0.2,1
Transportation and Communication,0.3,-0.1,0.4,0.6,-0.1,-0.4
"Entertainment, Education, Cultural Goods and Services",-0.1,2.9,1,2.8,-0.5,2.1
Residence,,,,,,
