MainDataofConsumerPriceIndexforUrbanResidents-Project-Project,MainDataofConsumerPriceIndexforUrbanResidents-2013/12/1-Month-on-monthchange(%),MainDataofConsumerPriceIndexforUrbanResidents-2013/12/1-Year-on-yearchange(%),MainDataofConsumerPriceIndexforUrbanResidents-2014/1/1-Month-on-monthchange(%),MainDataofConsumerPriceIndexforUrbanResidents-2014/1/1-Year-on-yearchange(%),MainDataofConsumerPriceIndexforUrbanResidents-2014/2/1-Month-on-monthchange(%),MainDataofConsumerPriceIndexforUrbanResidents-2014/2/1-Year-on-yearchange(%),MainDataofConsumerPriceIndexforUrbanResidents-1-2MonthAverage-Change(%)
Consumer Price Index,0.3,2.5,1.0,2.5,0.5,2.0,2.2
Wherein: Urban areas,0.3,2.5,1.0,2.6,0.6,2.1,2.3
rural areas,0.3,2.5,0.9,2.2,0.5,1.7,1.9
Among them: Food,0.6,4.1,2.4,3.7,1.7,2.7,3.2
Non-food,0.1,1.7,0.3,1.9,0.0,1.6,1.7
Among them: consumer goods,0.4,2.2,1.1,2.0,0.7,1.6,1.8
Service,0.0,3.3,0.8,3.7,0.1,2.9,3.3
Excluding: Food and energy,0.0,1.8,0.3,2.0,0.0,1.7,1.8
Excluding: Fresh vegetables and fresh fruits,0.2,2.2,,,0.1,1.5,1.8
By category,,,2.4,3.7,,,
I. Food,0.6,4.1,0.2,3.1,1.7,2.7,
Grain,0.3,3.8,-0.5,-4.8,0.2,2.8,
Oils and Fats,-0.2,-4.1,0.0,0.3,-0.1,-5.1,
"Meat, poultry and their products",0.5,3.6,-1.0,-4.3,-1.0,-3.0,
Wherein: Pork,0.6,1.6,1.7,11.8,-3.2,-8.7,
Beef,0.9,14.3,1.3,10.4,1.3,8.0,
Lamb meat,1.0,11.4,1.7,-3.8,0.9,7.7,
Egg,0.6,-4.1,4.3,6.3,-3.0,-5.8,
Aquatic Products,1.1,5.5,12.1,2.1,4.4,4.7,
Fresh Vegetables,-1.5,2.6,11.0,23.0,8.2,3.3,
Fresh fruits,5.3,15.6,1.7,11.9,8.0,19.7,
Dairy Products and Dairy Beverages,2.4,10.7,-0.3,-0.7,0.5,11.5,
"II. Tobacco, Alcohol, and Related Products",0.0,-0.4,0.0,0.2,0.0,-0.7,
Tobacco,0.0,0.2,-0.8,-2.0,0.0,0.2,
Alcohol,-0.1,-1.2,-0.5,1.9,-0.1,-1.9,
III. Clothing,0.1,2.1,-0.7,2.0,-0.4,2.2,
Clothing,0.2,2.2,-0.3,1.5,-0.5,2.4,
Shoes,-0.1,1.6,0.4,1.5,-0.1,1.8,
Clothing Processing Service Fee,0.6,5.4,-0.1,0.4,0.7,5.0,
"Four. Household Appliances, Goods, and Repair Services",0.1,1.4,3.9,9.2,0.0,1.3,
Durable consumer goods,0.0,0.4,0.3,1.1,0.0,0.4,
Household Services and Processing and Repair Services,0.6,7.7,0.2,4.5,-0.2,6.4,
Five. Medical Care and Personal Goods,0.0,0.9,-0.1,0.6,0.2,1.0,
Chinese herbal medicines and patent medicines,0.3,4.4,0.4,1.1,0.1,4.2,
Western medicine,0.1,0.4,0.4,0.2,0.0,0.6,
Healthcare Services,-0.1,1.1,0.0,-1.1,0.2,1.2,
Six. Transportation and Communication,0.3,-0.1,0.1,0.6,-0.1,-0.4,
Vehicles,0.1,-1.1,-0.3,-5.9,-0.1,-1.1,
Vehicular Fuel and Spare Parts,1.4,0.7,0.0,0.0,-1.0,-0.9,
Vehicle Usage and Maintenance Costs,0.2,3.0,1.0,3.3,0.3,1.8,
Communication Equipment,-0.5,-6.0,0.1,2.6,-0.4,-5.8,
Communication Services,0.0,-0.1,5.5,14.9,0.0,0.0,
"Seven, Entertainment, Education, Cultural Goods and Services",-0.1,2.9,0.2,2.8,-0.5,2.1,
Education Services,0.0,2.7,0.2,1.7,0.1,2.6,
Travel,-0.7,11.6,0.0,4.6,-3.7,7.1,
Eight. Housing,0.3,2.8,0.2,1.2,0.3,2.8,
Building and Decoration Materials,0.2,1.6,,,0.0,1.6,
Housing Rent,0.1,4.7,,,0.6,4.7,
"Water, Electricity, and Fuel",0.7,1.1,,,-0.1,1.1,
