Serial Number,Province,Livestock Species,Task ID,Ear Tag Box Number,Ear Tag Package Number,Applying Institution
1,Tianjin City,Sheep,64235,39-3000010-00000977,39-3120111-00001288,Xiqing District Animal Husbandry and Veterinary Station
2,Hebei Province,Cattle,62991,24-2000011-00001318,24-2131126-00000599,Hebei Gu Cheng County Animal Disease Prevention and Control Center
2,Hebei Province,Cattle,62991,24-2000011-00001318,24-2131126-00000598,Hebei Gu Cheng County Animal Disease Prevention and Control Center
3,Hebei Province,Sheep,62992,24-3000008-00003350,24-3131126-00000575,Hebei Gu Cheng County Animal Disease Prevention and Control Center
4,Shanxi Province,Pig,63179,19-1000005-00001169,19-1140825-00002351,Xingjiang County Bureau of Animal Husbandry and Veterinary Medicine
5,Shanxi Province,Cattle,58734,49-2000005-00000060,49-2140726-00000151,Taigu County Animal Husbandry and Veterinary Bureau
6,Shanxi Province,Sheep,62929,14-3000006-00003144,14-3140725-00003337,Shouyang Animal Husbandry and Veterinary Bureau
7,Shanxi Province,Sheep,56928,43-3000063-00000768,43-3140424-00001157,Tunliu County Animal Husbandry and Veterinary Bureau
8,Inner Mongolia Autonomous Region,Cattle,58439,23-2000011-00002156,23-2150426-00003722,Wengniute Banner Animal Disease Prevention and Control Center
9,Inner Mongolia Autonomous Region,Sheep,54298,34-3000012-00001042,34-3150981-00011472,Fengzhen City Animal Disease Prevention and Control Center
10,Liaoning Province,Pig,64885,15-1000014-00000181,15-1211303-00004639,Chaoyang City Longcheng District Animal Disease Prevention and Supervision Office
11,Liaoning Province,Cattle,64886,15-2000013-00000192,15-2211303-00000425,Chaoyang City Longcheng District Animal Disease Prevention and Supervision Office
12,Liaoning Province,Cattle,56599,28-2000006-00000890,28-2211221-00001500,Tieling County Animal Disease Prevention and Supervision Institute
13,Liaoning Province,Sheep,56594,13-3000007-00002509,13-3210682-00006827,Fengcheng City Animal Health Supervision Office
14,Liaoning Province,Sheep,64887,15-3000013-00000191,15-3211303-00001910,Chaoyang City Longcheng District Animal Disease Prevention and Supervision Office
15,Jilin Province,Pig,47459,39-1000011-00000517,39-1220283-00004115,Shulan City Animal Disease Prevention and Control Center
16,Jilin Province,Sheep,64365,09-3000010-00005719,09-3220502-00000300,Dongchang District Animal Husbandry and Veterinary Bureau
17,Jilin Province,Sheep,62788,01-3000009-00021434,01-3220381-00004591,Gongzuling City Animal Disease Prevention and Control Center
18,Heilongjiang Province,Pig,47208,23-1000021-00000074,23-1231226-00002230,Suileng County Veterinary Health and Epidemic Prevention Station
19,Heilongjiang Province,Cattle,46932,09-2000028-00004018,09-2230624-00003118,Durbete Mongol Autonomous County Veterinary Health and Epidemic Prevention Station
20,Heilongjiang Province,Cattle,47025,12-2000011-00000750,12-2230833-00000131,Fuyuan County Veterinary Health and Epidemic Prevention Station
21,Heilongjiang Province,Cattle,47209,17-2000017-00000289,17-2231226-00000616,Suileng County Veterinary Health and Epidemic Prevention Station
21,Heilongjiang Province,Cattle,47209,17-2000017-00000289,17-2231226-00000615,Suileng County Veterinary Health and Epidemic Prevention Station
22,Heilongjiang Province,Cattle,51534,43-2000060-00000790,43-2230621-00001300,Zhaozhou County Veterinary Health and Epidemic Prevention Station
23,Jiangsu Province,Pig,62592,10-1000005-00001459,10-1320116-00004726,Liuhe District Animal Husbandry and Veterinary Station
24,Jiangsu Province,Pig,62344,16-1000018-00001174,16-1321011-00000682,Weiyang District Animal Husbandry and Veterinary Station
25,Jiangsu Province,Cattle,62267,13-2000008-00002617,13-2321112-00000040,Dantu District Animal Husbandry and Veterinary Station
26,Jiangsu Province,Sheep,62262,10-3000009-00006422,10-3320124-00001230,Lishui County Animal Husbandry and Veterinary Service Station
