附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-序号-序号-序号-序号,附件2-平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目名称-项目名称-项目名称-项目名称,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）-建设性质（新建或续建）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设起止年限-建设起止年限-建设起止年限-建设起止年限,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）-建设地点（以乡镇为单位细化到村）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-建设内容与规模-建设内容与规模-建设内容与规模-建设内容与规模,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-投资估算（万元）-投资估算（万元）-投资估算（万元）-投资估算（万元）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）-筹资方式（资金来源）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-项目效益情况-项目效益情况-项目效益情况,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）-利益联结机制（联农带农机制）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-脱贫村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益村数（个）-受益村数（个）-其他村,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-脱贫户（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益户数（万户）-受益户数（万户）-其他农户,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-小计,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-脱贫人口数（含监测对象）,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-绩效目标-受益人数（万人）-受益人数（万人）-其他人口数,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目主管单位-项目主管单位-项目主管单位-项目主管单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-项目实施单位-项目实施单位-项目实施单位-项目实施单位,平川区2025年度巩固拓展脱贫攻坚成果和乡村振兴项目库-入库时间-入库时间-入库时间-入库时间,备注-备注-备注-备注
序号,项目名称,建设性质（新建或续建）,建设起止年限,建设地点（以乡镇为单位细化到村）,建设内容与规模,投资估算（万元）,筹资方式（资金来源）,项目效益情况,利益联结机制（联农带农机制）,脱贫村,其他村,小计,脱贫户（含监测对象）,其他农户,小计,脱贫人口数（含监测对象）,其他人口数,"项目
主管
单位","项目
实施
单位","入库
时间",备注
,合计,,,,,18306,,,,,,,,,,,,,,,
一,产业发展,,,,,12517,,,,,,,,,,,,,,,
㈠,生产类,,,,,4999,,,,,,,,,,,,,,,
⑴,种养植业,,,,,3109,,,,,,,,,,,,,,,
1,平川区文冠果产业园育苗中心（三期）建设项目,新建,2025.3-2025.10,"牙沟
水村",新建高标准智能温室大棚（3号4号）2栋，占地面积共9900平方米，每座大棚长96米，宽52米，高7.5米。衔接资金投资额占总投资的30%；衔接资金投入形成能够单独可靠计量的经营性固定资产，固定资产确权至农村集体经济组织，由农村集体经济组织与农业经营主体签订规范的租赁合同，明确资产租赁收益率。,360,"衔接
资金",项目建成后，可扶持带动当地及周边群众发展文冠果种植，并吸纳农户务工就业，增加农户收入。,通过本项目的实施，可间接带动群众参与劳动就业，增加务工收入。同时增加村集体经济收入。,,16,1,0,1,4,0,3,"农业
农村局",水泉镇,2024,巩固一批
2,甘肃省文冠果种业良种示范基地建设项目,新建,2025.3-2025.10,牙沟水村,建设智能温室良种采穗圃 1座1万平方米智能温室，配套增温系统、降温系统、节水灌溉等设备设施；建设优良品种扩繁基地145亩，配套节水灌溉系统；配套植保机、太阳能杀虫灯、运输车等农业机械。 项目建设投资 4455.50 万元，其中：申请财政衔接推进乡村振兴补助资金 1200 万元，占总投资的 26.93%，自筹资金 3255.50 万元，占总投资的 73.07%；衔接资金投入形成能够单独可靠计量的经营性固定资产，固定资产确权至农村集体经济组织，由农村集体经济组织与农业经营主体签订规范的租赁合同，明确资产租赁收益率。,1200,"衔接
资金",通过产业扶持，增加农户收入，户均年收入3000至5000元,通过本项目的实施，可间接带动群众参与劳动就业，增加务工收入。同时增加村集体经济收入。,,16,1,0,1,4,0,3,"农业
农村局",水泉镇,2024,巩固一批
3,种植补贴项目,新建,2025.3-2025.10,"7个
乡镇","1.脱贫户（监测户）养殖补助。脱贫户（监测户）饲养的6月龄以上母牛、母驴每头奖补500元；饲养的6月龄以上母羊每只奖补100元；从取得省级或市级种畜禽生产经营许可证的种羊场引进6月龄以上的母羊或奶山羊每只奖补500元，每户最多奖补60只。脱贫户（监测户）从取得省级或市级种畜禽生产经营许可证的种牛场或种驴场引进10月龄以上的母牛或母驴，每头肉牛或黑毛驴补助3000元，每户最多奖补10头；从取得省级或市级种畜禽生产经营许可证的种羊场引进6月龄以上的母羊或奶山羊进行补助，每只补助500元，每户最多补助60只。
 2.一般农户养殖补助。一般农户从取得省级或市级种畜禽生产经营许可证的种牛场或种驴场引进10月龄以上的母牛或母驴，每头肉牛或黑毛驴补助3000元，每户最多奖补10头；从取得省级或市级种畜禽生产经营许可证的种羊场引进6月龄以上的母羊或奶山羊进行补助，每只补助500元，每户最多补助60只。
 3.奶牛养殖补助标准。优先脱贫户、监测户的情况下，对全区奶牛存栏100头以下的养殖户饲养的母奶牛每头奖补1000元。
    以上补助政策每户当年累计补助资金不超过3万元。",350,"衔接
资金",持续扩大菊芋、特色蔬菜种植面积，实行订单收购，持续增加农户收入。,,15,46,1,0,0,2,1,2,"农业
农村局",产业股,2024,
4,大豆玉米带状复合种植补贴,新建,2024.3-2024.10,"共和镇
宝积镇
王家山镇
水泉镇",在水肥条件好的地块种植大豆玉米套种1万亩，其中：共和镇种植2000亩；宝积镇种植4000亩；王家山镇种植2000亩；水泉镇种植2000亩，每亩补贴8斤籽种。,64,"衔接
资金",继续推进大豆-玉米带状复合种植模式，为后期大面积推广提供技术支撑；带动农户及经营主体30个，亩均增收1000元，共增收1000万元。,,6,38,0,0,0,1,1,1,"农业
农村局","种植
业股",2024,
5,良种良法示范推广项目,新建,2025.3-2025.10,"7个
乡镇",1.选择优良品种（苹果、蔬菜、小麦、玉米、大豆、谷子、藜麦、胡麻等）建设品种扩繁、标准化生产等12个示范推广基地。2.开展品种新材料新技术引进，病虫害绿色防控等试验示范40项。3.结合特色产业良种繁育，和省市农科院所、种子公司开展建设小麦、荞麦、谷子、藜麦、胡麻、马铃薯、大豆、蔬菜、林果等品种繁育基地，建立特色产业联合体。,30,"衔接
资金",建设基地及试验示范面积2.8万余亩，带动技术推广面积3.5万余亩。通过标准化种植示范、绿色统防统治等措施，增加经济效益1000余万元，同时减少农药化肥投入量5%。,,15,46,1,0,1,3,1,2,"农业
农村局","农技
中心",2024,
