1-1-50全国按经营耕地规模和从事农业时间分的家庭户中的常住从业人员数量-名称,单位：人-合计,单位：人-从事农业1个月人数,单位：人-从事农业2-3个月人数,单位：人-从事农业4-6个月人数,单位：人-从事农业7-9个月人数,单位：人-从事农业10个月以上人数
,,,,,,
,,,,,,
合  计,408470182.0,14018263.0,67764954.0,113215438.0,82793563.0,130677964.0
0亩,7976980.0,465426.0,1129997.0,1439107.0,1356456.0,3585994.0
0.1-0.9亩,14508527.0,2034811.0,3741683.0,3048222.0,1813801.0,3870010.0
1-1.9亩,38147854.0,2667581.0,8547847.0,8750491.0,5857185.0,12324750.0
2-2.9亩,51886695.0,2401347.0,10599177.0,12448941.0,8764104.0,17673126.0
3-3.9亩,52631036.0,1801943.0,9975406.0,13330840.0,9520332.0,18002515.0
4-4.9亩,46987461.0,1312151.0,8442827.0,12584448.0,8968627.0,15679408.0
5-5.9亩,36633163.0,883177.0,6133324.0,10153907.0,7416946.0,12045809.0
6-6.9亩,30588629.0,646986.0,4809211.0,8848611.0,6627622.0,9656199.0
7-7.9亩,22151178.0,423053.0,3220710.0,6475265.0,5053842.0,6978308.0
8-8.9亩,17931092.0,298932.0,2352198.0,5289493.0,4323260.0,5667209.0
9-9.9亩,13126002.0,206041.0,1622918.0,3951474.0,3255610.0,4089959.0
10-10.9亩,11501484.0,166149.0,1301932.0,3510526.0,2954824.0,3568053.0
11-11.9亩,7454555.0,101017.0,797723.0,2266069.0,1923689.0,2366057.0
12-12.9亩,7297519.0,93575.0,745866.0,2306081.0,1934405.0,2217592.0
13-13.9亩,5151341.0,63953.0,505635.0,1616524.0,1334231.0,1630998.0
14-14.9亩,4428911.0,53062.0,417018.0,1418887.0,1159303.0,1380641.0
15-15.9亩,4223025.0,48982.0,393380.0,1416790.0,1110227.0,1253646.0
16-16.9亩,3324558.0,37498.0,301800.0,1114090.0,878634.0,992536.0
17-17.9亩,2503570.0,27487.0,223131.0,851816.0,647653.0,753483.0
18-18.9亩,2652696.0,28931.0,237111.0,950473.0,693392.0,742789.0
19-19.9亩,1838170.0,19625.0,158428.0,662663.0,468164.0,529290.0
20-24.9亩,7846717.0,80048.0,673129.0,2976618.0,2043488.0,2073434.0
25-29.9亩,4422206.0,42764.0,372532.0,1798467.0,1140043.0,1068400.0
30-34.9亩,3284436.0,30204.0,270316.0,1397486.0,873714.0,712716.0
35-39.9亩,2070924.0,18443.0,167381.0,915474.0,548111.0,421515.0
40-44.9亩,1669858.0,13842.0,128482.0,728192.0,468051.0,331291.0
45-49.9亩,1171817.0,10118.0,94336.0,548112.0,309667.0,209584.0
50-59.9亩,1573190.0,12914.0,122775.0,720959.0,430734.0,285808.0
60-99.9亩,2379026.0,18621.0,183295.0,1143420.0,644300.0,389390.0
100亩以上,1107562.0,9582.0,95386.0,551992.0,273148.0,177454.0
