9-8全国按户主的受教育程度、月租房费用分的家庭户户数-受教育程度-受教育程度,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-合计-合计,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-200元-以下,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-200--499元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-500--999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-1000--1999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-2000--2999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-3000--3999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-4000--5999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-6000--7999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-8000--9999元,9-8全国按户主的受教育程度、月租房费用分的家庭户户数-单位：户-10000元-及以上
,,,,,,,,,,,
总  计,6580276.0,742766.0,1909467.0,1773068.0,1362990.0,399566.0,166251.0,129488.0,50382.0,19859.0,26439.0
未上过学,72031.0,21593.0,25354.0,14410.0,7634.0,1561.0,669.0,468.0,163.0,65.0,114.0
学前教育,3114.0,745.0,1193.0,641.0,357.0,99.0,32.0,26.0,12.0,5.0,4.0
小  学,855248.0,167225.0,343324.0,210509.0,96990.0,19860.0,7763.0,5238.0,1996.0,901.0,1442.0
初  中,2804985.0,342732.0,1023950.0,836551.0,435897.0,90510.0,34313.0,23191.0,8290.0,3775.0,5776.0
高  中,1345005.0,128508.0,347176.0,401311.0,316837.0,84000.0,31520.0,21675.0,7345.0,2813.0,3820.0
大学专科,786395.0,44082.0,111425.0,197155.0,270568.0,89209.0,34196.0,24565.0,8567.0,2916.0,3712.0
大学本科,615319.0,33996.0,52656.0,104317.0,209716.0,96427.0,46275.0,40982.0,16888.0,6379.0,7683.0
硕士研究生,86387.0,3277.0,3810.0,7091.0,22198.0,15924.0,10196.0,11781.0,6167.0,2612.0,3331.0
博士研究生,11792.0,608.0,579.0,1083.0,2793.0,1976.0,1287.0,1562.0,954.0,393.0,557.0
