1-4全国分年龄、性别的人口-年龄-年龄,1-4全国分年龄、性别的人口-单位：人、%-人口数-合计,1-4全国分年龄、性别的人口-单位：人、%-人口数-男,1-4全国分年龄、性别的人口-单位：人、%-人口数-女,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-合计,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-男,1-4全国分年龄、性别的人口-单位：人、%-占总人口比重-女,1-4全国分年龄、性别的人口-单位：人、%-性别比-(女=100)
,,,,,,,
总  计,138657945.0,70828049.0,67829896.0,100.0,51.0,49.0,104.0
,,,,,,,
0-4岁,7386743.0,3889780.0,3496963.0,5.0,3.0,3.0,111.0
0,1072023.0,564330.0,507693.0,1.0,0.0,0.0,111.0
1,1350888.0,711285.0,639603.0,1.0,1.0,0.0,111.0
2,1453545.0,763537.0,690008.0,1.0,1.0,1.0,111.0
3,1779150.0,936300.0,842850.0,1.0,1.0,1.0,111.0
4,1731137.0,914328.0,816809.0,1.0,1.0,1.0,112.0
,,,,,,,
5-9岁,8801032.0,4687234.0,4113798.0,6.0,3.0,3.0,114.0
5,1608574.0,853192.0,755382.0,1.0,1.0,1.0,113.0
6,1817709.0,967799.0,849910.0,1.0,1.0,1.0,114.0
7,1753828.0,932559.0,821269.0,1.0,1.0,1.0,114.0
8,1889524.0,1008318.0,881206.0,1.0,1.0,1.0,114.0
9,1731397.0,925366.0,806031.0,1.0,1.0,1.0,115.0
,,,,,,,
10-14岁,8208580.0,4389078.0,3819502.0,6.0,3.0,3.0,115.0
10,1686118.0,902918.0,783200.0,1.0,1.0,1.0,115.0
11,1714357.0,916906.0,797451.0,1.0,1.0,1.0,115.0
12,1666781.0,890933.0,775848.0,1.0,1.0,1.0,115.0
13,1591220.0,850863.0,740357.0,1.0,1.0,1.0,115.0
14,1550104.0,827458.0,722646.0,1.0,1.0,1.0,115.0
,,,,,,,
15-19岁,7788415.0,4137501.0,3650914.0,6.0,3.0,3.0,113.0
15,1586477.0,844965.0,741512.0,1.0,1.0,1.0,114.0
16,1752971.0,934140.0,818831.0,1.0,1.0,1.0,114.0
17,1548149.0,826223.0,721926.0,1.0,1.0,1.0,114.0
18,1413390.0,756051.0,657339.0,1.0,1.0,0.0,115.0
19,1487428.0,776122.0,711306.0,1.0,1.0,1.0,109.0
,,,,,,,
20-24岁,7303273.0,3799538.0,3503735.0,5.0,3.0,3.0,108.0
20,1516116.0,786558.0,729558.0,1.0,1.0,1.0,108.0
21,1400831.0,727502.0,673329.0,1.0,1.0,0.0,108.0
22,1454020.0,759434.0,694586.0,1.0,1.0,1.0,109.0
23,1438341.0,749277.0,689064.0,1.0,1.0,1.0,109.0
24,1493965.0,776767.0,717198.0,1.0,1.0,1.0,108.0
,,,,,,,
25-29岁,8893917.0,4611843.0,4282074.0,6.0,3.0,3.0,108.0
25,1628098.0,847096.0,781002.0,1.0,1.0,1.0,108.0
26,1609484.0,835699.0,773785.0,1.0,1.0,1.0,108.0
27,1771801.0,916517.0,855284.0,1.0,1.0,1.0,107.0
28,1860876.0,964363.0,896513.0,1.0,1.0,1.0,108.0
29,2023658.0,1048168.0,975490.0,1.0,1.0,1.0,107.0
,,,,,,,
30-34岁,12398651.0,6354314.0,6044337.0,9.0,5.0,4.0,105.0
30,2578886.0,1328077.0,1250809.0,2.0,1.0,1.0,106.0
31,2533423.0,1297530.0,1235893.0,2.0,1.0,1.0,105.0
32,2401837.0,1226859.0,1174978.0,2.0,1.0,1.0,104.0
33,2603920.0,1333362.0,1270558.0,2.0,1.0,1.0,105.0
34,2280585.0,1168486.0,1112099.0,2.0,1.0,1.0,105.0
,,,,,,,
35-39岁,9915280.0,5108028.0,4807252.0,7.0,4.0,3.0,106.0
35,1961972.0,1010265.0,951707.0,1.0,1.0,1.0,106.0
36,1952202.0,1005107.0,947095.0,1.0,1.0,1.0,106.0
37,1909241.0,984638.0,924603.0,1.0,1.0,1.0,106.0
38,2185664.0,1127037.0,1058627.0,2.0,1.0,1.0,106.0
39,1906201.0,980981.0,925220.0,1.0,1.0,1.0,106.0
,,,,,,,
40-44岁,9246332.0,4758438.0,4487894.0,7.0,3.0,3.0,106.0
40,1750921.0,900952.0,849969.0,1.0,1.0,1.0,106.0
41,1928531.0,994632.0,933899.0,1.0,1.0,1.0,107.0
42,1843648.0,946899.0,896749.0,1.0,1.0,1.0,106.0
43,1764312.0,908133.0,856179.0,1.0,1.0,1.0,106.0
44,1958920.0,1007822.0,951098.0,1.0,1.0,1.0,106.0
,,,,,,,
45-49岁,11286279.0,5774455.0,5511824.0,8.0,4.0,4.0,105.0
45,2006712.0,1029558.0,977154.0,1.0,1.0,1.0,105.0
46,2197494.0,1123949.0,1073545.0,2.0,1.0,1.0,105.0
47,2298050.0,1176498.0,1121552.0,2.0,1.0,1.0,105.0
48,2354836.0,1202544.0,1152292.0,2.0,1.0,1.0,104.0
49,2429187.0,1241906.0,1187281.0,2.0,1.0,1.0,105.0
,,,,,,,
50-54岁,11926180.0,6019802.0,5906378.0,9.0,4.0,4.0,102.0
50,2564829.0,1298030.0,1266799.0,2.0,1.0,1.0,102.0
51,2404959.0,1216599.0,1188360.0,2.0,1.0,1.0,102.0
52,2575521.0,1298846.0,1276675.0,2.0,1.0,1.0,102.0
53,2059446.0,1034436.0,1025010.0,1.0,1.0,1.0,101.0
54,2321425.0,1171891.0,1149534.0,2.0,1.0,1.0,102.0
,,,,,,,
55-59岁,9980162.0,4986030.0,4994132.0,7.0,4.0,4.0,100.0
55,2276177.0,1144496.0,1131681.0,2.0,1.0,1.0,101.0
56,2223387.0,1111081.0,1112306.0,2.0,1.0,1.0,100.0
57,2567550.0,1290317.0,1277233.0,2.0,1.0,1.0,101.0
58,1879095.0,935259.0,943836.0,1.0,1.0,1.0,99.0
59,1033953.0,504877.0,529076.0,1.0,0.0,0.0,95.0
,,,,,,,
60-64岁,7212331.0,3611534.0,3600797.0,5.0,3.0,3.0,100.0
60,1265735.0,630443.0,635292.0,1.0,0.0,0.0,99.0
61,1191490.0,601597.0,589893.0,1.0,0.0,0.0,102.0
62,1519108.0,765643.0,753465.0,1.0,1.0,1.0,102.0
63,1696369.0,853241.0,843128.0,1.0,1.0,1.0,101.0
64,1539629.0,760610.0,779019.0,1.0,1.0,1.0,98.0
,,,,,,,
65-69岁,7261013.0,3557071.0,3703942.0,5.0,3.0,3.0,96.0
65,1601607.0,794038.0,807569.0,1.0,1.0,1.0,98.0
66,1597292.0,784337.0,812955.0,1.0,1.0,1.0,96.0
67,1436603.0,701663.0,734940.0,1.0,1.0,1.0,95.0
68,1425277.0,695588.0,729689.0,1.0,1.0,1.0,95.0
