表8-1湖南省分性别、孩次的出生人口-地区别-地区别,表8-1湖南省分性别、孩次的出生人口-出生人数-合计,表8-1湖南省分性别、孩次的出生人口-出生人数-男,表8-1湖南省分性别、孩次的出生人口-出生人数-女,表8-1湖南省分性别、孩次的出生人口-出生人数-性别比,表8-1湖南省分性别、孩次的出生人口-第一孩-合计,表8-1湖南省分性别、孩次的出生人口-第一孩-男,表8-1湖南省分性别、孩次的出生人口-第一孩-女,表8-1湖南省分性别、孩次的出生人口-第一孩-性别比,表8-1湖南省分性别、孩次的出生人口-第二孩-合计,表8-1湖南省分性别、孩次的出生人口-第二孩-男,表8-1湖南省分性别、孩次的出生人口-第二孩-女,表8-1湖南省分性别、孩次的出生人口-第二孩-性别比,表8-1湖南省分性别、孩次的出生人口-第三孩-合计,表8-1湖南省分性别、孩次的出生人口-第三孩-男,表8-1湖南省分性别、孩次的出生人口-第三孩-女,表8-1湖南省分性别、孩次的出生人口-第三孩-性别比,表8-1湖南省分性别、孩次的出生人口-第四孩-合计,表8-1湖南省分性别、孩次的出生人口-第四孩-男,表8-1湖南省分性别、孩次的出生人口-第四孩-女,表8-1湖南省分性别、孩次的出生人口-第四孩-性别比,表8-1湖南省分性别、孩次的出生人口-单位：人，%-第五孩及五孩以上-合计,表8-1湖南省分性别、孩次的出生人口-单位：人，%-第五孩及五孩以上-男,表8-1湖南省分性别、孩次的出生人口-单位：人，%-第五孩及五孩以上-女,表8-1湖南省分性别、孩次的出生人口-单位：人，%-第五孩及五孩以上-性别比
湖南省,5943,3334,2609,127.79,3609,1906,1703,111.92,2050,1247,803,155.29,261,168,93,180.65,21.0,12.0,9.0,133.33,2.0,1.0,1.0,100.0
长沙市,570,309,261,118.39,420,224,196,114.29,137,76,61,124.59,9,7,2,350.0,4.0,2.0,2.0,100.0,,,,
株洲市,393,231,162,142.59,260,141,119,118.49,127,86,41,209.76,6,4,2,200.0,,,,,,,,
湘潭市,271,144,127,113.39,195,99,96,103.13,73,43,30,143.33,3,2,1,200.0,,,,,,,,
衡阳市,580,352,228,154.39,313,185,128,144.53,214,131,83,157.83,50,34,16,212.5,3.0,2.0,1.0,200.0,,,,
邵阳市,725,422,303,139.27,386,213,173,123.12,293,183,110,166.36,42,26,16,162.5,4.0,0.0,4.0,0.0,,,,
岳阳市,416,229,187,122.46,260,136,124,109.68,137,82,55,149.09,18,10,8,125.0,1.0,1.0,0.0,0.0,,,,
常德市,386,207,179,115.64,276,148,128,115.63,102,54,48,112.5,7,4,3,133.33,1.0,1.0,0.0,0.0,,,,
张家界市,178,95,83,114.46,75,37,38,97.37,98,53,45,117.78,3,3,0,0.0,2.0,2.0,0.0,0.0,,,,
益阳市,392,196,196,100.0,251,114,137,83.21,130,74,56,132.14,10,8,2,400.0,1.0,0.0,1.0,0.0,,,,
郴州市,545,316,229,137.99,286,154,132,116.67,207,128,79,162.03,48,31,17,182.35,2.0,2.0,0.0,0.0,2.0,1.0,1.0,100.0
永州市,466,271,195,138.97,277,147,130,113.08,164,107,57,187.72,25,17,8,212.5,,,,,,,,
怀化市,442,248,194,127.84,256,133,123,108.13,179,110,69,159.42,7,5,2,250.0,,,,,,,,
娄底市,330,186,144,129.17,213,113,100,113.0,100,67,33,203.03,17,6,11,54.55,,,,,,,,
湘西土家族苗族自治州,249,128,121,105.79,141,62,79,78.48,89,53,36,147.22,16,11,5,220.0,3.0,2.0,1.0,200.0,,,,
