5-8固定资产投资项目个数、项目投产率(2013年)-行业,5-8固定资产投资项目个数、项目投产率(2013年)-投资额(亿元),5-8固定资产投资项目个数、项目投产率(2013年)-施工项目(个),5-8固定资产投资项目个数、项目投产率(2013年)-全部建成投产项目(个),5-8固定资产投资项目个数、项目投产率(2013年)-项目建成投产率(%),5-8固定资产投资项目个数、项目投产率(2013年)-固定资产交付使用率(%)
农、林、牧、渔业,634,2267,1639,72,78
采矿业,648,1782,1226,69,76
制造业,6668,14995,10668,71,72
电力、燃气及水的生产和供应业,611,1408,961,68,75
建筑业,154,390,200,51,52
批发和零售业,592,1637,1070,65,59
交通运输、仓储和邮政业,1382,1606,991,62,42
住宿和餐饮业,247,703,468,67,67
信息传输、软件和信息技术服务业,93,242,183,76,87
金融业,58,187,141,75,70
房地产业,3323,1316,761,58,57
租赁和商务服务业,360,790,521,66,66
科学研究、技术服务,140,365,268,73,77
水利、环境和公共设施管理业,2100,4411,2634,60,58
居民服务、修理和其他服务业,86,264,183,69,75
教育,302,869,610,70,63
卫生和社会工作业,172,538,343,64,63
文化、体育和娱乐业,201,392,251,64,50
公共管理、社会保障和社会组织,611,1702,1211,71,74
