FinishedGoodsInventory-ProductName,FinishedGoodsInventory-BatchNumber,FinishedGoodsInventory-Specification,FinishedGoodsInventory-Quantity(kg),FinishedGoodsInventory-PackagingSpecification,FinishedGoodsInventory-PackagingSpecification.1,FinishedGoodsInventory-PackagingSpecification.2,FinishedGoodsInventory-Origin,FinishedGoodsInventory-PackagingMaterial,FinishedGoodsInventory-WhetherQualified,FinishedGoodsInventory-ProductionDate,Remarks
Product Name,Batch Number,Specification,Quantity (kg),,Kg/bag,Kg/Carton,Origin,Packaging Material,Whether Qualified,Production Date,Remarks
Cyperus Rotundus,201702002,Selected,103,1kg/bag (24kg/carton),1,24,,Plastic,Qualified,,
Whole Scorpion,201702001,General grade,0.966,0.25kg/bag (9kg/carton),0.25,9,Shanxi,Plastic,Qualified,,
Epimedium Brevicorne (Processed),201703002,General grade,42,0.25kg/bag (2.5kg/carton),0.25,2.5,,Plastic,Qualified,,
Terminalia chebula Retz.,201705002,General grade,11.24,0.5kg/bag*16kg/carton,0.5,16,Guangdong,Plastic,Qualified,,
Dragon's Teeth,201705001,General grade,4,1kg/bag*30kg/carton,1,30,Shanxi,Plastic,Qualified,,
Sanqi Powder,201705006,Extra Fine Powder,795,20 pcs/box * 60 boxes/carton,20 pcs/box,60 boxes,Yunnan,Box,Qualified,,
Caulis Spatholobi Charcoal,201706001,General grade,19,1kg/bag*12kg/carton,1,12,Sichuan,Plastic,Qualified,,
Chao Tao Ren,170701,Selected,87,1kg/bag*19kg/carton,1,19,Shanxi,Plastic,Qualified,,
Chuan Lian Zi,170701,General grade,25,1kg/bag*12kg/carton,1,12,Sichuan,Plastic,Qualified,,
Fritillary,170701,General grade,1,1kg/bag*15kg/carton,1,15,Anhui,Plastic,Qualified,,
Luo Han Guo,170701,Large,1136,16 pcs/carton,16 pcs/carton,,Guangxi,Carton box,Qualified,,
Panax Notoginseng,170701,60 heads,292.5,0.5kg/bag*15kg/carton,0.5,15,Yunnan,Plastic,Qualified,,
Fried Citrus Aurantium Fructus with Wheat Bran,170703,General grade,7,1kg/bag*18kg/carton,1,18,Jiangxi,Plastic,Qualified,,
Cornus Fruit (Chinese Dogwood Fruit),170701,General grade,25.5,0.5kg/bag*11kg/carton,0.5,11,Zhejiang,Plastic,Qualified,,
Citrus aurantium Fructus Immaturus,170701,General grade,1,1kg/bag*24kg/carton,1,24,Jiangxi,Plastic,Qualified,,
Morinda Root,170701,General grade,9,1kg/bag*12kg/carton,1,12,Guangdong,Plastic,Qualified,,
Peony Bark,170701,General grade,10,1kg/bag*14kg/carton,1,14,Anhui,Plastic,Qualified,,
Dioscorea (Chinese Yam),170702,General grade,116,1kg/bag*18kg/carton,1,18,Henan,Plastic,Qualified,,
Red Adzuki Beans,170801,Selected,24,1kg/bag*24kg/carton,1,24,Hunan,Plastic,Qualified,,
Dioscorea (Chinese Yam),170801,Selected,16,1kg/bag*18kg/carton,1,18,Henan,Plastic,Qualified,,
