ItemElements-ItemElements,SerialNumber-SerialNumber,Name-Code,GreeElectricAppliances,MoutaiofGuizhou,ChinaPingAn,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Basic Stock Information,1,Stock Price,18,120,25,,,,,,
Basic Stock Information,2,Earnings per share [(Net profit - Preferred stock dividends) / Average number of common shares outstanding],2.35,13.44,2.45,,,,,,
Basic Stock Information,3,Current P/E ratio [P/E market price per share / earnings per share] less than 13 is undervalued; 14-20 is normal stock price; greater than 28 is speculation,7.65,8.93,10.2,,,,,,
Basic Stock Information,4,Price-to-book ratio [P/B market price per share / net asset value per share],2.57,2.37,1.38,,,,,,
Basic Stock Information,5,Book Value per Share (Book Value per Share) [Total Shareholders' Equity / Number of Outstanding Common Shares],7,50.6,18.12,,,,,,
Basic Stock Information,6,Dividend Yield [ (Total Cash Dividends - Preferred Stock Dividends) / Total Common Shares ],0.083,0.036,0.01,,,,,,
Basic Stock Information,7,Total Market Value,1020,2142,4575,,,,,,
History and Future,1,Highest Point,31.55,259,46.9,,,,,,
History and Future,2,Historical bottom P/E ratio,7.58,6.7,11.8,,,,,,
History and Future,3,Historical bottom price-to-book ratio,2.4,2.1,1.5,,,,,,
History and Future,4,Historical bottom dividend yield,0.053,0.0714,0.006,,,,,,
History and Future,5,Predicted Profit for the Next Year,2.82,13.72,2.95,,,,,,
History and Future,6,Future one-year P/E ratio,6.38,8.74,8.475,,,,,,
History and Future,7,Future Two-Year Forecasted Profit,3.39,15.09,3.93,,,,,,
History and Future,8,Future two-year P/E ratio,5.3,7.95,6.36,,,,,,
History and Future,9,"PEG [Earnings per Share / Net Profit Growth Rate, better when less than 0.5, overvalued when greater than 1, applicable to growth industries; not suitable for mature industries, loss-making industries, and industries with declining earnings]",0.54,1.24,0.33,,,,,,
Warren Buffett's Three Data Points,1,"Return on Net Assets 15% (ORE, Return on Equity, Return on Owner's Equity)",32%,30%,13%,,,,,,
Warren Buffett's Three Data Points,2,Net profit margin 5% (PMS = Net profit / Net operating revenue),11%,49%,10%,,,,,,
Warren Buffett's Three Data Points,3,Gross profit margin 40% [(Net operating revenue - Operating cost)/Net operating revenue],36%,92%,17%,,,,,,
"1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;","1. From the banking industry's perspective, assess the company's value and whether it is willing to provide long-term loans;"
"2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;","2. For non-financial industries, the interest coverage ratio multiple is greater than 7 times;"
"3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future.","3. Whether there is good cash flow, pay attention to whether the company will continue to generate profits in the future."
