表9-7各地区分性别、参加社会保险情况的老年人口-地区别-地区别-地区别,表9-7各地区分性别、参加社会保险情况的老年人口-60岁及以上人口-合计-合计,表9-7各地区分性别、参加社会保险情况的老年人口-60岁及以上人口-男-男,表9-7各地区分性别、参加社会保险情况的老年人口-60岁及以上人口-女-女,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-参加-小计,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-参加-男,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-参加-女,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-不参加-小计,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-不参加-男,表9-7各地区分性别、参加社会保险情况的老年人口-基本养老保险-不参加-女,表9-7各地区分性别、参加社会保险情况的老年人口-基本医疗保险-参加-小计,表9-7各地区分性别、参加社会保险情况的老年人口-基本医疗保险-参加-男,表9-7各地区分性别、参加社会保险情况的老年人口-基本医疗保险-参加-女,表9-7各地区分性别、参加社会保险情况的老年人口-基本医疗保险-不参加-小计,表9-7各地区分性别、参加社会保险情况的老年人口-单位：人-基本医疗保险-不参加-男,表9-7各地区分性别、参加社会保险情况的老年人口-单位：人-基本医疗保险-不参加-女
湖南省,89096,44697,44399,11526,7858,3668,77570,36839,40731,18660,11235,7425,70436,33462,36974
长沙市,8485,4256,4229,2330,1387,943,6155,2869,3286,3142,1806,1336,5343,2450,2893
株洲市,4887,2477,2410,687,443,244,4200,2034,2166,1686,944,742,3201,1533,1668
湘潭市,4865,2437,2428,1108,700,408,3757,1737,2020,946,640,306,3919,1797,2122
衡阳市,8858,4446,4412,1077,734,343,7781,3712,4069,1884,1108,776,6974,3338,3636
邵阳市,9996,5003,4993,1114,808,306,8882,4195,4687,1995,1225,770,8001,3778,4223
岳阳市,5859,2992,2867,869,580,289,4990,2412,2578,1046,633,413,4813,2359,2454
常德市,8639,4353,4286,1044,707,337,7595,3646,3949,1549,990,559,7090,3363,3727
张家界市,2409,1209,1200,114,93,21,2295,1116,1179,434,226,208,1975,983,992
益阳市,6385,3309,3076,406,313,93,5979,2996,2983,973,561,412,5412,2748,2664
郴州市,5874,2906,2968,702,535,167,5172,2371,2801,1300,811,489,4574,2095,2479
永州市,6593,3300,3293,582,434,148,6011,2866,3145,768,496,272,5825,2804,3021
怀化市,7014,3486,3528,545,396,149,6469,3090,3379,970,603,367,6044,2883,3161
娄底市,5330,2625,2705,702,539,163,4628,2086,2542,1505,900,605,3825,1725,2100
湘西土家族苗族自治州,3902,1898,2004,246,189,57,3656,1709,1947,462,292,170,3440,1606,1834
