5-1c各地区分性别、婚姻状况的15岁及以上人口(乡村)-地区,单位：人-15岁及以上人口-合计,男,女,未婚-小计,男.1,女.1,有配偶-小计,男.2,女.2,离婚-小计,男.3,女.3,丧偶-小计,男.4,女.4
全    国,52151441,26207697,25943744,10213410,6119256,4094154,37739145,18515258,19223887,525057,372703,152354,3673829,1200480,2473349
北    京,240497,125523,114974,51453,30204,21249,173502,89681,83821,2851,1777,1074,12691,3861,8830
天    津,215655,109601,106054,35375,20850,14525,166651,83564,83087,2028,1359,669,11601,3828,7773
河    北,3277457,1645006,1632451,619959,358732,261227,2439407,1201648,1237759,26980,20273,6707,191111,64353,126758
山    西,1503951,773166,730785,319903,192862,127041,1075786,537999,537787,15361,12030,3331,92901,30275,62626
内 蒙 古,886498,461350,425148,151866,96101,55765,675220,341533,333687,8957,6621,2336,50455,17095,33360
辽    宁,1411805,717407,694398,224539,136444,88095,1078080,535555,542525,20444,14198,6246,88742,31210,57532
吉    林,1040525,529569,510956,185539,109231,76308,777845,385964,391881,18740,12806,5934,58401,21568,36833
黑 龙 江,1330824,677137,653687,223703,130695,93008,1011843,503140,508703,24577,16881,7696,70701,26421,44280
上    海,219634,114075,105559,33332,20230,13102,171753,89122,82631,2578,1613,965,11971,3110,8861
江    苏,2650679,1288747,1361932,419052,244436,174616,2002283,966354,1035929,22818,16627,6191,206526,61330,145196
浙    江,1799662,917415,882247,266511,170833,95678,1379998,695355,684643,21175,15632,5543,131978,35595,96383
安    徽,2431796,1191284,1240512,435492,254158,181334,1794769,863049,931720,17580,13514,4066,183955,60563,123392
福    建,1249479,629180,620299,245525,146937,98588,901374,448565,452809,11587,8489,3098,90993,25189,65804
江    西,1869628,940212,929416,382494,227510,154984,1349917,666011,683906,15266,11511,3755,121951,35180,86771
山    东,3998059,1981463,2016596,682218,392583,289635,3005121,1476694,1528427,26336,20001,6335,284384,92185,192199
河    南,4443030,2163621,2279409,940130,531942,408188,3182048,1509288,1672760,31976,24369,7607,288876,98022,190854
湖    北,2297263,1155003,1142260,455219,276012,179207,1653044,806085,846959,18190,13315,4875,170810,59591,111219
湖    南,2852458,1445003,1407455,563727,346812,216915,2034359,1000943,1033416,31344,23355,7989,223028,73893,149135
广    东,2460792,1228129,1232663,694759,397183,297576,1580532,773766,806766,17066,12515,4551,168435,44665,123770
广    西,1964103,1005006,959097,434401,279410,154991,1352579,662614,689965,16273,12881,3392,160850,50101,110749
海    南,331160,172307,158853,87891,55721,32170,220773,109573,111200,2112,1576,536,20384,5437,14947
重    庆,977525,489635,487890,152273,96957,55316,718590,349236,369354,11590,8284,3306,95072,35158,59914
四    川,4133067,2079111,2053956,772170,475616,296554,2946398,1439024,1507374,55595,37705,17890,358904,126766,232138
贵    州,1616508,824483,792025,300365,189553,110812,1172860,578373,594487,13988,10728,3260,129295,45829,83466
云    南,2285308,1181164,1104144,467778,305262,162516,1641714,811339,830375,23494,15207,8287,152322,49356,102966
西    藏,149796,74857,74939,53687,29687,24000,80868,40310,40558,3641,1074,2567,11600,3786,7814
陕    西,1725991,878549,847442,394536,237535,157001,1197865,588112,609753,15413,11651,3762,118177,41251,76926
甘    肃,1405955,703140,702815,315838,183481,132357,983464,477855,505609,10831,7806,3025,95822,33998,61824
青    海,229523,117341,112182,52396,31713,20683,156521,77868,78653,5464,2744,2720,15142,5016,10126
宁    夏,244577,123864,120713,47748,27882,19866,183672,91461,92211,2034,1273,761,11123,3248,7875
新    疆,908236,465349,442887,203531,122684,80847,630309,315177,315132,28768,14888,13880,45628,12600,33028
