2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-民族,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-小计-小计,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男-男,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女-女,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-小计-小计,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男-男,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女-女,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-存活子女数-占活产子女-数的百分比,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-妇女-平均活产-子女数,2-7全国各民族15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女-平均存活-子女数
,,,,,,,,,,
总  计,46789337.0,61997759.0,33580566.0,28417193.0,60474058.0,32645604.0,27828454.0,98.0,1.0,1.0
汉  族,42853539.0,56198968.0,30486641.0,25712327.0,54886889.0,29679806.0,25207083.0,98.0,1.0,1.0
蒙古族,222287.0,257883.0,134339.0,123544.0,250002.0,129581.0,120421.0,97.0,1.0,1.0
回  族,369519.0,559572.0,296794.0,262778.0,542100.0,286333.0,255767.0,97.0,2.0,1.0
藏  族,229962.0,330469.0,172090.0,158379.0,315393.0,163258.0,152135.0,95.0,1.0,1.0
维吾尔族,358839.0,658194.0,341479.0,316715.0,605538.0,311433.0,294105.0,92.0,2.0,2.0
苗  族,331834.0,524948.0,285407.0,239541.0,509076.0,275566.0,233510.0,97.0,2.0,2.0
彝  族,325478.0,523141.0,279025.0,244116.0,506407.0,268250.0,238157.0,97.0,2.0,2.0
壮  族,580484.0,861022.0,470113.0,390909.0,838638.0,455901.0,382737.0,97.0,1.0,1.0
布依族,104233.0,156458.0,85565.0,70893.0,151326.0,82413.0,68913.0,97.0,2.0,1.0
朝鲜族,33896.0,31285.0,16241.0,15044.0,30388.0,15746.0,14642.0,97.0,1.0,1.0
满  族,346234.0,389668.0,205417.0,184251.0,381752.0,200501.0,181251.0,98.0,1.0,1.0
侗  族,105320.0,153259.0,84312.0,68947.0,148982.0,81630.0,67352.0,97.0,1.0,1.0
瑶  族,96743.0,150030.0,81034.0,68996.0,146162.0,78611.0,67551.0,97.0,2.0,2.0
白  族,73961.0,97967.0,50777.0,47190.0,95145.0,49078.0,46067.0,97.0,1.0,1.0
土家族,304905.0,406753.0,218630.0,188123.0,395598.0,211724.0,183874.0,97.0,1.0,1.0
哈尼族,59695.0,95870.0,52539.0,43331.0,92509.0,50503.0,42006.0,96.0,2.0,2.0
哈萨克族,49764.0,77154.0,40599.0,36555.0,72503.0,37813.0,34690.0,94.0,2.0,1.0
傣  族,48152.0,67797.0,35132.0,32665.0,65146.0,33468.0,31678.0,96.0,1.0,1.0
黎  族,49360.0,82802.0,44581.0,38221.0,80214.0,42964.0,37250.0,97.0,2.0,2.0
傈僳族,25701.0,39838.0,20746.0,19092.0,38141.0,19636.0,18505.0,96.0,2.0,1.0
佤  族,14878.0,23372.0,12292.0,11080.0,21771.0,11344.0,10427.0,93.0,2.0,1.0
畲  族,21232.0,31017.0,16780.0,14237.0,30150.0,16255.0,13895.0,97.0,1.0,1.0
高山族,112.0,109.0,53.0,56.0,106.0,52.0,54.0,97.0,1.0,1.0
拉祜族,16315.0,25442.0,13270.0,12172.0,24023.0,12382.0,11641.0,94.0,2.0,1.0
水  族,14121.0,23419.0,13016.0,10403.0,22844.0,12650.0,10194.0,98.0,2.0,2.0
