1-6月河北、涿州、张家口、邯郸完成情况汇总表-项目店,1-6月河北、涿州、张家口、邯郸完成情况汇总表-综合收入-预算,1-6月河北、涿州、张家口、邯郸完成情况汇总表-综合收入-实际,1-6月河北、涿州、张家口、邯郸完成情况汇总表-综合收入-差额（实际-预算）,1-6月河北、涿州、张家口、邯郸完成情况汇总表-综合收入-完成率,1-6月河北、涿州、张家口、邯郸完成情况汇总表-项目店可分配利润-预算,1-6月河北、涿州、张家口、邯郸完成情况汇总表-项目店可分配利润-实际,1-6月河北、涿州、张家口、邯郸完成情况汇总表-项目店可分配利润-差额（实际-预算）,1-6月河北、涿州、张家口、邯郸完成情况汇总表-项目店可分配利润-完成率,1-6月河北、涿州、张家口、邯郸完成情况汇总表-备注
河北区域办,0,0,0,无预算,(773257),(1017638),(244381),1,
中铁三局黄骅项目部,266250,266250,(0),1,59487,48961,(10527),1,
天津神维,524476,611358,86881,1,15797,43752,27955,3,
肃宁西区,2622897,2656097,33200,1,655706,587014,(68692),1,
肃宁货车公司,1114590,1114590,0,1,159001,152663,(6338),1,
黄骅港国华餐饮,747452,521493,(225959),1,57082,55445,(1637),1,
黄骅港国华物资,371729,191865,(179865),1,23864,4739,(19125),0,已撤项
黄骅港国华保洁,570170,285085,(285085),1,76144,27406,(48737),0,已撤项
神港站区,868931,868931,0,1,98245,21733,(76512),0,
北港站区,1021784,1024784,3000,1,166327,156757,(9570),1,
研发大厦,2111347,2081609,(29738),1,72575,(198734),(271309),(3),
博兴电厂,402892,967721,564829,2,117203,45100,(72104),0,
清车基地,727404,689675,(37729),1,133876,46591,(87285),0,
原平备班楼,1955846,1955845,(1),1,304718,349691,44973,1,
肃宁东区,2090996,2115896,24900,1,240129,235826,(4302),1,
神维肃宁段,0,702828,702828,无预算,0,(28027),(28027),无预算,已撤项
神池南折返段,1294858,1294858,0,1,206453,202535,(3919),1,
国华肃宁货车物业,815000,815013,13,1,141929,89430,(52498),1,
生态园,3000,0,(3000),0,1365,0,(1365),0,已撤项
白音华煤业,1254828,1254828,0,1,166074,213853,47779,1,
京能电厂,3142500,3127018,(15482),1,220656,296511,75855,1,
山东聊城,5746949,3510425,(2236524),1,208634,10468,(198166),0,已撤项
肃宁朔黄物业,272508,187571,(84937),1,235918,169419,(66500),1,
神榆项目神木北站,7315841,7049575,(266266),1,1404763,1004889,(399873),1,
神榆项目黄羊城站,4822320,4824072,1751,1,811114,813898,2785,1,
邯郸实验中学,2311550,2303195,(8355),1,453330,429606,(23723),1,
邯郸公安办案中心,0,0,0,无预算,0,(36),(36),无预算,已撤项
刘家梁,1714713,1730173,15461,1,72686,70585,(2101),1,新项目
涿州高新区管委会,801893,810059,8166,1,316789,308405,(8384),1,
涿州劳技校四楼,92000,10759,(81241),0,(1121),(346775),(345654),(307),已撤项
保定幼师,489050,379604,(109446),1,322551,68047,(254504),0,
涿州中医院,1496114,1542431,46316,1,138428,109017,(29411),1,
涿州劳技校,2602644,1699613,(903031),1,201648,(263774),(465422),(1),
张家口第一医院,2148846,2088678,(60168),1,395772,296524,(99248),1,
黄骅运用,0,440902,440902,无预算,0,59946,59946,无预算,新项目
涿州区域办,0,0,0,无预算,0,(3318),(3318),无预算,
涿州晋宝章,0,101063,101063,无预算,0,(47632),(47632),无预算,新项目
总计,51721377,49223860,(2497518),,6703885,4012879,(2691006),,
公司数据,51721377,47170000,(4550000),,6703885,4080000,(2620000),,
差额,0,2053860,2052482,,0,(67121),(71006),,
