表5-11-地区-地区,不在业人口-（1）,在校学生-（2）,各地区按性别分的不在业人口-料理家务-（3）,离退休-（4）,丧失劳动能力-（5）,正在寻找工作-（6）,单位：人-其他-（7）
总计,155792,27168,44033,19370,39326,9117,16778
长沙市,20342,3090,5739,3606,3292,1621,2994
株洲市,8257,1540,2080,1190,2288,387,772
湘潭市,8286,1342,1914,2028,1929,403,670
衡阳市,15380,2654,3994,2077,4108,932,1615
邵阳市,17108,4288,4375,1671,4059,1038,1677
岳阳市,13281,2263,4314,1449,2942,910,1403
常德市,12913,1998,3098,1994,3622,896,1305
张家界市,2602,402,659,202,897,123,319
益阳市,11248,1779,4148,557,3354,428,982
郴州市,11396,1968,3870,1213,2151,736,1458
永州市,9700,1853,2446,837,3263,386,915
怀化市,10538,1423,3305,968,3180,516,1146
娄底市,9676,1792,3012,1179,2184,481,1028
湘西土家族苗族自治州,5065,776,1079,399,2057,260,494
男合计,59575,14429,4123,11090,16973,4236,8724
长沙市,7539,1498,465,1740,1502,782,1552
株洲市,3298,796,265,654,1003,188,392
湘潭市,3318,719,252,1075,775,169,328
衡阳市,6088,1470,431,1150,1735,420,882
邵阳市,6911,2291,518,1080,1685,468,869
岳阳市,4708,1265,207,797,1307,416,716
常德市,4916,1062,327,1066,1436,385,640
张家界市,1055,209,84,150,379,63,170
益阳市,3919,910,281,397,1595,190,546
郴州市,4261,1066,389,781,953,330,742
永州市,3911,1020,234,550,1440,196,471
怀化市,3830,735,242,567,1409,252,625
娄底市,3764,977,293,814,908,245,527
湘西土家族苗族自治州,2057,411,135,269,846,132,264
女合计,96217,12739,39910,8280,22353,4881,8054
长沙市,12803,1592,5274,1866,1790,839,1442
株洲市,4959,744,1815,536,1285,199,380
湘潭市,4968,623,1662,953,1154,234,342
衡阳市,9292,1184,3563,927,2373,512,733
邵阳市,10197,1997,3857,591,2374,570,808
岳阳市,8573,998,4107,652,1635,494,687
常德市,7997,936,2771,928,2186,511,665
张家界市,1547,193,575,52,518,60,149
益阳市,7329,869,3867,160,1759,238,436
郴州市,7135,902,3481,432,1198,406,716
永州市,5789,833,2212,287,1823,190,444
怀化市,6708,688,3063,401,1771,264,521
娄底市,5912,815,2719,365,1276,236,501
湘西土家族苗族自治州,3008,365,944,130,1211,128,230
