表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-地区别,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-15-19岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-20-24岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-25-29岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-30-34岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-单位：‰-35-39岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-单位：‰-40-44岁,表8-3湖南省各地区育龄妇女年龄别生育率及总和生育率-单位：‰-45-49岁
湖南省,4,125,98,44,13,3,2
长沙市,1,90,97,32,9,1,0
株洲市,3,143,89,39,21,5,5
湘潭市,5,126,98,29,9,1,2
衡阳市,3,112,88,44,12,4,4
邵阳市,5,155,108,54,16,3,1
岳阳市,2,118,80,38,8,2,1
常德市,3,162,102,30,13,2,1
张家界市,7,133,115,96,33,2,0
益阳市,3,159,105,50,9,1,2
郴州市,4,112,99,48,20,9,5
永州市,7,123,115,51,17,2,0
怀化市,2,109,102,59,14,4,1
娄底市,6,125,90,39,6,5,4
湘西土家族苗族自治州,24,160,112,52,6,0,1
