表11-6各地区家庭户按购建住房费用分的户数-地区别,表11-6各地区家庭户按购建住房费用分的户数-合计,表11-6各地区家庭户按购建住房费用分的户数-1万元以下,表11-6各地区家庭户按购建住房费用分的户数-1—2万元,表11-6各地区家庭户按购建住房费用分的户数-2—3万元,表11-6各地区家庭户按购建住房费用分的户数-3—5万元,表11-6各地区家庭户按购建住房费用分的户数-5—10万元,表11-6各地区家庭户按购建住房费用分的户数-10—20万元,表11-6各地区家庭户按购建住房费用分的户数-20—30万元,表11-6各地区家庭户按购建住房费用分的户数-30—50万元,表11-6各地区家庭户按购建住房费用分的户数-单位：户-50-70万元,表11-6各地区家庭户按购建住房费用分的户数-70万元以上
湖南省,178542,57568,32320,22216,33977,25431,5763,808,248,66,145
长沙市,16076,3297,2318,1754,3757,3389,1108,307,109,13,24
株洲市,10047,2029,1359,1114,2562,2368,572,32,5,2,4
湘潭市,8711,1611,1110,1062,3000,1520,335,39,16,8,10
衡阳市,19053,4202,3051,3016,4758,3419,519,57,13,5,13
邵阳市,18859,7515,3400,2295,2906,2085,544,71,17,7,19
岳阳市,13459,3457,1849,1736,3436,2494,418,38,19,5,7
常德市,17871,5917,3393,1809,2781,3084,755,81,19,11,21
张家界市,4534,1891,824,438,731,503,134,7,3,2,1
益阳市,11898,3979,1769,1422,2892,1525,272,27,5,2,5
郴州市,13807,5056,3185,2159,1870,1228,254,33,12,0,10
永州市,13395,4508,3190,2116,2017,1116,384,47,12,1,4
怀化市,13484,6840,3268,1406,1091,722,108,27,7,2,13
娄底市,10170,3445,2166,1327,1589,1401,203,22,9,3,5
湘西土家族苗族自治州,7178,3821,1438,562,587,577,157,20,2,5,9
