山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-地区-地区,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-Region-Region,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons),山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).1,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).2,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).3,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).4,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).5,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).6,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).7,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-失业人员(万人)Unemployment(10000persons)-失业人员(万人)Unemployment(10000persons).8,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%),山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).1,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).2,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).3,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).4,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).5,山东省各市城镇登记失业人员及失业率-RegisteredUrbanUnemployedPersonsandUnemploymentRatebyRegion-登记失业率(%)UnemploymentRate(%)-登记失业率(%)UnemploymentRate(%).6
地  区,Region,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0
,,,,,,,,,,,,,,,,,
全省总计,Total,44.0,46.0,46.0,47.0,44.0,47.0,42.0,20.0,25.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
济 南 市,Jinan,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
青 岛 市,Qingdao,7.0,8.0,8.0,7.0,8.0,9.0,8.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
淄 博 市,Zibo,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
枣 庄 市,Zaozhuang,2.0,2.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
东 营 市,Dongying,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
烟 台 市,Yantai,5.0,6.0,6.0,5.0,4.0,5.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
潍 坊 市,Weifang,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
济 宁 市,Jining,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
泰 安 市,Tai'an,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
威 海 市,Weihai,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
日 照 市,Rizhao,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
莱 芜 市,Laiwu,1.0,1.0,1.0,1.0,,,0.0,,,2.0,3.0,3.0,3.0,,,
临 沂 市,Linyi,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
德 州 市,Dezhou,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
聊 城 市,Liaocheng,3.0,3.0,3.0,3.0,2.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
滨 州 市,Binzhou,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
菏 泽 市,Heze,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
注：根据行政区划调整，2019年起，莱芜市并入济南市，以下表同。,,,,,,,,,,,,,,,,,
"a) According to administrative division adjustment,Laiwu City merged into Jinan City from 2019. The same applies to tables following.",,,,,,,,,,,,,,,,,
