14-6按行业分国有控股工业企业主要指标-(2006)-单位：亿元-行业-行业,14-6按行业分国有控股工业企业主要指标-(2006)-Sector-Sector,14-6按行业分国有控股工业企业主要指标-(2006)-企业-单位数-(个)-Numberof-Enterprise-(unit),14-6按行业分国有控股工业企业主要指标-(2006)-工业-总产值-Gross-Industrial-Output-Value,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-工业-增加值-Value-added-of-Industry,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-资产总计-Total-Assets,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-流动资产-合计-Circulating-Funds,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-流动资产-年平均余额-Annual-AverageBalance-ofCirculating-Funds,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-固定资产-原价-Original-Value-ofFixed-Assets,MainIndicatorsofAllState-ownedandState-holding-IndustrialEnterprisesbyIndustrialSector-(100millionyuan)-固定资产净值-年平均余额-AnnualAverage-Balanceof-NetValueof-FixedAssets,14-6续表-(2006)-单位：亿元-行业,14-6续表-(2006)-Sector,14-6续表-(2006)-负债合计-Total-Liabilities,14-6续表-(2006)-流动负债-合计-Liquid-Liabilities,(2006)-所有者-权益-Creditors'-Equity,(2006)-主营业务-收入-Main-Business-Revenue,(2006)-主营业务-成本-Main-Business-Cost,continued-(2006)-主营业务-税金及附加-Main-Business-Taxand-Charges,(2006)-利润总额-Total-Profits,(2006)-本年应交-增值税-Value-added-Tax-Payable,(2006)-(100millionyuan)-全部从业人员年-平均人数(万人)-AnnualAverage-Employed-Persons-(10000persons)
总  计,Total,933.0,3126.0,1133.0,5110.0,1944.0,1846.0,3428.0,2231.0,总  计,Total,3233.0,1953.0,1873.0,3136.0,2471.0,70.0,217,160.0,82.0
煤炭开采和洗选业,Coal Mining and Dressing,24.0,48.0,21.0,102.0,36.0,37.0,69.0,36.0,煤炭开采和洗选业,Coal Mining and Dressing,72.0,43.0,29.0,46.0,35.0,1.0,1,4.0,8.0
石油和天然气开采业,Petroleum and Natural Gas Extraction,10.0,240.0,90.0,437.0,112.0,91.0,229.0,124.0,石油和天然气开采业,Petroleum and Natural Gas Extraction,179.0,72.0,256.0,286.0,227.0,5.0,16,9.0,9.0
黑色金属矿采选业,Ferrous Metals Mining and Dressing,6.0,19.0,9.0,18.0,11.0,8.0,5.0,3.0,黑色金属矿采选业,Ferrous Metals Mining and Dressing,12.0,10.0,6.0,18.0,9.0,0.0,5,1.0,1.0
有色金属矿采选业,Nonferrous Metals Mining and Dressing,11.0,20.0,15.0,25.0,13.0,10.0,9.0,6.0,有色金属矿采选业,Nonferrous Metals Mining and Dressing,11.0,9.0,14.0,19.0,7.0,0.0,10,2.0,1.0
非金属矿采选业,Nonmetal Minerals Mining and Dressing,9.0,5.0,2.0,8.0,3.0,3.0,7.0,3.0,非金属矿采选业,Nonmetal Minerals Mining and Dressing,8.0,6.0,0.0,5.0,4.0,0.0,0,0.0,0.0
其他采矿业,Other  Mining and Dressing,,,,,,,,,其他采矿业,Other  Mining and Dressing,,,,,,,,,
农副食品加工业,Farm Byproducts Processing,29.0,24.0,9.0,11.0,5.0,5.0,6.0,4.0,农副食品加工业,Farm Byproducts Processing,6.0,5.0,4.0,22.0,20.0,0.0,0,0.0,1.0
食品制造业,Food Production,8.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,食品制造业,Food Production,1.0,1.0,1.0,2.0,2.0,0.0,0,0.0,0.0
饮料制造业,Beverage Production,15.0,251.0,115.0,299.0,152.0,136.0,177.0,117.0,饮料制造业,Beverage Production,75.0,67.0,223.0,256.0,181.0,12.0,33,15.0,4.0
烟草制品业,Tobacco Processing,6.0,92.0,63.0,89.0,51.0,56.0,45.0,28.0,烟草制品业,Tobacco Processing,42.0,12.0,47.0,90.0,37.0,34.0,8,10.0,1.0
纺织业,Textile Industry,15.0,18.0,5.0,16.0,7.0,7.0,11.0,6.0,纺织业,Textile Industry,10.0,7.0,6.0,17.0,15.0,0.0,0,1.0,1.0
纺织服装、鞋、帽制造业,"Garments, Shoes and Hats Production",4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,纺织服装、鞋、帽制造业,"Garments, Shoes and Hats Production",3.0,1.0,1.0,2.0,2.0,0.0,0,0.0,0.0
皮革、毛皮、羽毛(绒)及其制品业,"Leather, Furs, Down and Related Products",,,,,,,,,皮革、毛皮、羽毛(绒)及其制品业,"Leather, Furs, Down and Related Products",,,,,,,,,
"木材加工及木、竹、
  藤、棕、草制品业","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products",3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,"木材加工及木、竹、
  藤、棕、草制品业","Timber Processing, Bamboo, Cane, Palm Fiber and Straw
      Products",1.0,1.0,1.0,1.0,1.0,0.0,(0),0.0,0.0
家具制造业,Furniture Manufacturing,,,,,,,,,家具制造业,Furniture Manufacturing,,,,,,,,,
造纸及纸制品业,Papermaking and Paper Products,7.0,8.0,1.0,14.0,5.0,5.0,10.0,7.0,造纸及纸制品业,Papermaking and Paper Products,10.0,9.0,4.0,8.0,7.0,0.0,(0),0.0,0.0
印刷业和记录媒介的复制,Printing and Record Medium Reproduction,40.0,20.0,10.0,29.0,7.0,9.0,27.0,15.0,印刷业和记录媒介的复制,Printing and Record Medium Reproduction,14.0,13.0,15.0,20.0,13.0,0.0,2,1.0,1.0
文教体育用品制造业,"Cultural, Educational and Sports Goods",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,文教体育用品制造业,"Cultural, Educational and Sports Goods",0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
石油加工、炼焦及核燃料加工业,"Petroleum Processing, Coking and Nuclear Fuel Processing",5.0,29.0,9.0,10.0,6.0,4.0,5.0,4.0,石油加工、炼焦及核燃料加工业,"Petroleum Processing, Coking and Nuclear Fuel Processing",8.0,8.0,2.0,25.0,23.0,0.0,1,2.0,0.0
化学原料及化学制品制造业,Raw Chemical Materials and Chemical Products,55.0,225.0,81.0,345.0,139.0,127.0,221.0,126.0,化学原料及化学制品制造业,Raw Chemical Materials and Chemical Products,204.0,147.0,139.0,233.0,180.0,1.0,20,9.0,6.0
医药制造业,Medical and Pharmaceutical Products,18.0,16.0,7.0,30.0,13.0,11.0,13.0,9.0,医药制造业,Medical and Pharmaceutical Products,16.0,10.0,13.0,14.0,7.0,0.0,2,1.0,1.0
化学纤维制造业,Chemical Fiber,5.0,32.0,9.0,45.0,17.0,17.0,31.0,23.0,化学纤维制造业,Chemical Fiber,29.0,24.0,15.0,27.0,24.0,0.0,1,1.0,1.0
橡胶制品业,Rubber Products,2.0,9.0,3.0,9.0,5.0,4.0,3.0,2.0,橡胶制品业,Rubber Products,7.0,7.0,2.0,8.0,6.0,0.0,0,0.0,0.0
塑料制品业,Plastic Products,5.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,塑料制品业,Plastic Products,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0
非金属矿物制品业,Nonmetal Mineral Products,58.0,45.0,15.0,68.0,29.0,27.0,45.0,29.0,非金属矿物制品业,Nonmetal Mineral Products,41.0,29.0,28.0,44.0,36.0,0.0,1,2.0,3.0
黑色金属冶炼及压延加工业,Smelting and Pressing of Ferrous Metals,15.0,347.0,132.0,505.0,173.0,185.0,388.0,222.0,黑色金属冶炼及压延加工业,Smelting and Pressing of Ferrous Metals,341.0,265.0,164.0,360.0,312.0,3.0,10,16.0,10.0
有色金属冶炼及压延加工业,Smelting and Pressing of Nonferrous Metals,22.0,102.0,31.0,100.0,55.0,49.0,53.0,40.0,有色金属冶炼及压延加工业,Smelting and Pressing of Nonferrous Metals,66.0,54.0,34.0,100.0,80.0,1.0,9,4.0,2.0
金属制品业,Metal Products,15.0,27.0,7.0,31.0,20.0,20.0,11.0,7.0,金属制品业,Metal Products,20.0,19.0,12.0,28.0,22.0,0.0,2,1.0,1.0
通用设备制造业,Ordinary Machinery Manufacturing,34.0,263.0,75.0,280.0,240.0,232.0,48.0,25.0,通用设备制造业,Ordinary Machinery Manufacturing,220.0,214.0,61.0,228.0,185.0,1.0,21,15.0,3.0
专用设备制造业,For Special Purposes Equipment Manufacturing,29.0,59.0,22.0,112.0,72.0,67.0,55.0,28.0,专用设备制造业,For Special Purposes Equipment Manufacturing,87.0,71.0,24.0,61.0,48.0,0.0,3,3.0,2.0
交通运输设备制造业,Transport Equipment Manufacturing,58.0,268.0,70.0,303.0,183.0,165.0,135.0,77.0,交通运输设备制造业,Transport Equipment Manufacturing,200.0,164.0,103.0,254.0,214.0,4.0,12,6.0,7.0
电气机械及器材制造业,Electric Equipment and Machinery,23.0,80.0,23.0,143.0,116.0,105.0,29.0,12.0,电气机械及器材制造业,Electric Equipment and Machinery,100.0,95.0,43.0,80.0,59.0,0.0,12,2.0,2.0
"通信设备、计算机及
  其他电子设备制造业","Telecommunication Equipment, Computer and Other
     Electronic Equipment",50.0,247.0,54.0,300.0,200.0,192.0,79.0,45.0,"通信设备、计算机及
  其他电子设备制造业","Telecommunication Equipment, Computer and Other
     Electronic Equipment",170.0,157.0,130.0,257.0,207.0,1.0,2,5.0,6.0
仪器仪表及文化、办公用机械制造业,"Instruments, Meters, Cultural and Office Machinery",11.0,7.0,3.0,10.0,5.0,4.0,3.0,2.0,仪器仪表及文化、办公用机械制造业,"Instruments, Meters, Cultural and Office Machinery",5.0,3.0,4.0,8.0,6.0,0.0,1,0.0,0.0
工艺品及其他制造业,Handicraft Articles and Other Manufacture,8.0,8.0,3.0,15.0,9.0,8.0,8.0,5.0,工艺品及其他制造业,Handicraft Articles and Other Manufacture,10.0,9.0,6.0,8.0,6.0,0.0,0,0.0,1.0
废弃资源和废旧材料回收加工业,"Reclaiming and Processing of Abandoned Resource and
     Waste Material",,,,,,,,,废弃资源和废旧材料回收加工业,"Reclaiming and Processing of Abandoned Resource and
     Waste Material",,,,,,,,,
