Date-Name,5/27/2016-Zhang1,DailyTargetProduction-Zhang2,DailyTargetProduction-Zhang3,10800-Zhang4,10800-Zhang5,DailyTargetYieldRate-Zhang6,DailyTargetYieldRate-Zhang7,99.50%-Zhang8,99.50%-Total
Qualified Production Quantity,,,,,,,,,
Defective Production Quantity,,,,,,,,,
Production quantity,,,,,,,,,
Production Ranking,,,,,,,,,\
Yield Rate,,,,,,,,,
Yield Rate Ranking,,,,,,,,,\
Total Production This Month,,,,,,,,,
Monthly Cumulative Production Ranking,,,,,,,,,\
Cumulative pass rate this month,,,,,,,,,
Ranking of Monthly Cumulative First Pass Rate,,,,,,,,,\
