Long-termLoanRepaymentPlan-PurchasedItems-PaymentTerms-PaymentTerms-AmountBorrowed-LoanItemDetails-LoanItemDetails,Long-termLoanRepaymentPlan-High-endconsumergoods-Monthlysalaryrepaymentcap-Maximumrepaymentlimitforincomeoutsideofsalaryeachtime-AmountBorrowed-Rate(Monthly)-Totalsalaryrepaymentamount,Long-termLoanRepaymentPlan-High-endconsumergoods-1000-4000-28000-0.4,Long-termLoanRepaymentPlan,Long-termLoanRepaymentPlan.1,Long-termLoanRepaymentPlan.2,Long-termLoanRepaymentPlan.3,Long-termLoanRepaymentPlan.4
Loan Item Details,Total repayment from income outside of salary,,,,,,
"Interest (annual interest rate, e.g., 2.5%)","Interest (annual interest rate, e.g., 2.5%)",0.0326,,,,,
Payment Status,Payment Status,0,,,,,
,,,,,,,
Repayment Period (Years),Repayment Period (Years),35,30,25,20,15,10
Detailed Time Limit,Number of salary repayment instances,,,,,,
Detailed Time Limit,Number of repayments from income outside of salary,,,,,,
Repayment Details,Monthly salary repayment amount,,,,,,
Repayment Details,Repayment amount from income other than salary each time,,,,,,
Repayment Judgment,Repayment Judgment,,,,,,
,,,,,,,
Repayment Period (Years),Repayment Period (Years),,,,,,
Total repayment amount,Portion of Salary,,,,,,
Total repayment amount,Portion of income outside of salary,,,,,,
Total repayment amount,Total repayment amount,,,,,,
Total Interest,Portion of Salary,,,,,,
Total Interest,Portion of income outside of salary,,,,,,
Total Interest Amount,Total Interest Amount,,,,,,
The ratio of the total repayment amount to the principal,The ratio of the total repayment amount to the principal,,,,,,
,,,,,,,
,,,,,,,
Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan,Long-term Loan Repayment Plan
,,,,,,,
Purchased Items,,,,,,,
,,,,,,,
Payment Terms,Monthly salary repayment cap,2000,,,,,
Payment Terms,Maximum repayment limit for income outside of salary each time,4000,,,,,
,,,,,,,
Amount Borrowed,Amount Borrowed,36000,,,,,
Loan Item Details,Rate (Monthly) (e.g. 50%),0.3,,,,,
Loan Item Details,Total salary repayment amount,,,,,,
Loan Item Details,Total repayment from income outside of salary,,,,,,
"Interest (annual interest rate, e.g., 2.5%)","Interest (annual interest rate, e.g., 2.5%)",0.023,,,,,
Payment Status,Payment Status,0,,,,,
,,,,,,,
Repayment Period (Years),Repayment Period (Years),20,10,5,3,2,1
Detailed Time Limit,Number of salary repayment instances,,,,,,
Detailed Time Limit,Number of repayments from income outside of salary,,,,,,
Repayment Details,Monthly salary repayment amount,,,,,,
Repayment Details,Repayment amount from income other than salary each time,,,,,,
Repayment Judgment,Repayment Judgment,,,,,,
,,,,,,,
Repayment Period (Years),Repayment Period (Years),,,,,,
Total repayment amount,Portion of Salary,,,,,,
Total repayment amount,Portion of income outside of salary,,,,,,
Total repayment amount,Total repayment amount,,,,,,
Total Interest,Portion of Salary,,,,,,
Total Interest,Portion of income outside of salary,,,,,,
Total Interest Amount,Total Interest Amount,,,,,,
The ratio of the total repayment amount to the principal,The ratio of the total repayment amount to the principal,,,,,,
