ProductSalesAnalysisTable-Category,ProductSalesAnalysisTable-Product1,ProductSalesAnalysisTable-Product1.1,ProductSalesAnalysisTable-Product1.2,ProductSalesAnalysisTable-Product1.3,ProductSalesAnalysisTable-Product2,ProductSalesAnalysisTable-Product2.1,ProductSalesAnalysisTable-Product2.2,ProductSalesAnalysisTable-Product2.3,ProductSalesAnalysisTable-Product3,ProductSalesAnalysisTable-Product3.1,ProductSalesAnalysisTable-Product3.2,ProductSalesAnalysisTable-Product3.3
Category,Gram weight,Standard accessory count,Pieces,Proportion,Gram weight,Standard accessory count,Pieces,Proportion,Gram weight,Standard accessory count,Pieces,Proportion
Necklace set,under 8g,32,1,,3g and below,88,3,,3g and below,232,4,
Necklace set,8-12,32 ,,,3-5,88 ,12,,3-5,232 ,,
Necklace set,12-15,32 ,,,Over 5 grams,88 ,,,Over 5 grams,232 ,,
Necklace set,15 grams and above,32 ,,,,88 ,,,,232 ,,
Pendant,under 8g,314,12,,3g and below,219,15,,3g and below,960,,
Pendant,8-12,314 ,3,,3-5,219 ,,,3-5,960 ,,
Pendant,12-15,314 ,3,,Over 5 grams,219 ,,,Over 5 grams,960 ,,
Pendant,15-20,314 ,,,,219 ,,,,960 ,,
Pendant,Over 20 grams,314 ,1,,,219 ,,,,960 ,,
Lock Bag,5g and below,125,4,12.00%,3g and below,125,,,3g and below,521,,
Lock Bag,5-8,125 ,6,,3-5,125 ,,,3-5,521 ,,
Lock Bag,8-12,125 ,2,,Over 5 grams,125 ,,,Over 5 grams,521 ,,
Lock Bag,12-15,125 ,,,,125 ,,,,521 ,,
Lock Bag,15-20,125 ,,,,125 ,,,,521 ,,
Lock Bag,Over 20 grams,125 ,,,,125 ,,,,521 ,,
Rings,under 8g,351,25,,3g and below,289,19,,3g and below,203,3,
Rings,8-12,351 ,4,,3-5,289 ,7,,3-5,203 ,2,
Rings,12-15,351 ,,,5-8,289 ,,,5-8,203 ,,
Rings,15-18,351 ,,,8-10,289 ,,,8-10,203 ,,
Rings,18-23,351 ,,,Over 10 grams,289 ,,,Over 10 grams,203 ,,
Rings,23 grams and above,351 ,1,,,289 ,,,,203 ,,
Earrings,3g and below,329,7,,2g and below,301,15,,2g and below,300,4,
Earrings,3-6,329 ,3,,2-3,301 ,3,,2-3,300 ,,
Earrings,6-8,329 ,1,,3-5,301 ,2,,3-5,300 ,,
Earrings,Over 8 grams,329 ,,,Over 5 grams,301 ,,,Over 5 grams,300 ,,
