TransactionDetailsInquiry-TransactionDate,TransactionDetailsInquiry-Income,TransactionDetailsInquiry-Expenditure,TransactionDetailsInquiry-Balance,TransactionDetailsInquiry-Abstract,TransactionDetailsInquiry-Notes
2013-10-21,,119.83,7821.14,Online Payment,
2013-10-21,,247.0,7574.14,Online Payment,
2013-10-22,,107.0,7467.14,Online Payment,
2013-10-23,,100.0,7367.14,Consumption,
2013-10-23,,30.3,7336.84,Consumption,
2013-10-28,3409.0,,10745.84,Salary,
2013-10-28,119.23,,10865.07,Online Return,
2013-11-06,,237.5,10627.57,Online Payment,
2013-11-07,494.0,,11121.57,Inter-bank transfer,
2013-11-12,,13.0,11108.57,Online Payment,
2013-11-12,,33.12,11075.45,Online Payment,
2013-11-14,,34.6,11040.85,Online Payment,
2013-11-18,,150.0,10890.85,Online Payment,
2013-11-21,,2.0,10888.85,Online Payment,
2013-11-21,,2.0,10886.85,Online Payment,
2013-11-22,,100.0,10786.85,ATM withdrawal,
2013-11-22,,200.0,10586.85,ATM withdrawal,
2013-11-24,,2000.0,8586.85,ATM withdrawal,
2013-11-25,,1000.0,7586.85,Online Payment,
2013-11-25,,1000.0,6586.85,Online Payment,
2013-11-26,,1000.0,5586.85,Online Payment,
2013-11-26,,49.8,5537.05,Online Payment,
2013-11-28,3865.0,,9402.05,Salary,
2013-12-04,,1000.0,8402.05,Online Payment,
2013-12-06,,1000.0,7402.05,Online Payment,
2013-12-06,,100.0,7302.05,Online Payment,
2013-12-09,,20.4,7281.65,Online Payment,
2013-12-09,,29.7,7251.95,Online Payment,
2013-12-11,,29.9,7222.05,Online Payment,
2013-12-12,,30.4,7191.65,Online Payment,
