东莞645kWh储能电站-日期,东莞645kWh储能电站-日充电量尖,东莞645kWh储能电站-日充电量峰,东莞645kWh储能电站-日充电量平,东莞645kWh储能电站-日充电量谷,东莞645kWh储能电站-日充电量总,东莞645kWh储能电站-日放电量尖,东莞645kWh储能电站-日放电量峰,东莞645kWh储能电站-日放电量平,东莞645kWh储能电站-日放电量谷,东莞645kWh储能电站-日放电量总
2024-01-11,0.0,0.8,462.9,651.1,1114.8,0.0,983.7,3.2,0.0,986.9
2024-01-12,0.0,6.2,660.6,645.1,1311.9,0.0,1120.3,0.0,0.0,1120.3
2024-01-13,0.0,17.4,657.8,684.9,1360.1,0.0,1178.5,0.0,0.0,1178.5
2024-01-14,0.0,12.0,660.4,680.3,1352.7,0.0,1203.8,0.0,0.0,1203.8
2024-01-15,0.0,3.2,663.3,708.1,1374.6,0.0,1192.5,0.3,0.0,1192.8
2024-01-16,0.0,0.3,670.5,705.7,1376.5,0.0,1210.4,0.0,0.0,1210.4
2024-01-17,0.0,39.0,662.3,707.6,1408.9,0.0,1235.3,0.3,0.0,1235.6
2024-01-18,0.0,0.4,654.3,694.3,1349.0,0.0,1197.3,0.0,0.0,1197.3
2024-01-19,0.0,17.9,649.5,680.5,1347.9,0.0,1193.6,0.0,0.0,1193.6
2024-01-20,0.0,43.2,666.8,704.6,1414.6,0.0,1234.2,0.0,0.0,1234.2
2024-01-21,0.0,17.4,657.8,704.2,1379.4,0.0,1204.3,0.0,0.0,1204.3
2024-01-22,0.0,12.0,670.2,725.5,1407.7,0.0,1238.4,0.0,0.0,1238.4
2024-01-23,0.0,0.4,657.4,702.4,1360.2,0.0,1186.0,10.7,0.0,1196.7
2024-01-24,0.0,5.2,652.9,712.6,1370.7,0.0,1204.3,0.0,0.0,1204.3
2024-01-25,0.0,52.7,657.7,471.9,1182.3,0.0,1030.2,0.0,0.0,1030.2
2024-01-26,0.0,25.0,498.8,577.8,1101.6,0.0,980.2,0.0,0.0,980.2
2024-01-27,0.0,22.0,658.4,689.4,1369.8,0.0,1205.7,0.0,0.0,1205.7
2024-01-28,0.0,0.6,636.1,708.3,1345.0,0.0,1163.8,13.3,0.0,1177.1
2024-01-29,0.0,21.9,725.9,639.1,1386.9,0.0,1209.7,0.0,0.0,1209.7
2024-01-30,0.0,15.0,656.0,709.2,1380.2,0.0,1202.1,0.0,0.0,1202.1
2024-01-31,0.0,27.3,657.2,706.7,1378.2,0.0,1203.3,0.0,0.0,1203.3
2024-02-01,0.0,3.6,661.0,707.5,1372.1,0.0,1194.7,0.0,0.0,1194.7
2024-02-02,0.0,10.7,656.7,706.4,1368.2,0.0,1192.5,0.0,0.0,1192.5
2024-02-03,0.0,5.4,664.0,706.3,1375.7,0.0,1200.3,0.0,0.0,1200.3
2024-02-04,0.0,9.0,660.6,706.5,1376.1,0.0,1200.8,0.0,0.0,1200.8
2024-02-05,0.0,5.3,665.8,706.2,1377.3,0.0,1203.3,0.0,0.0,1203.3
2024-02-06,0.0,9.1,660.6,706.4,1376.1,0.0,1199.2,0.0,0.0,1199.2
2024-02-07,0.0,0.3,653.6,704.5,1358.4,0.0,1190.7,0.0,0.0,1190.7
2024-02-08,0.0,0.3,650.7,705.9,1356.9,0.0,1188.3,0.0,0.0,1188.3
2024-02-09,0.0,0.4,652.5,705.4,1358.3,0.0,1189.3,0.0,0.0,1189.3
2024-02-10,0.0,0.3,653.0,705.4,1358.7,0.0,1188.0,0.0,0.0,1188.0
2024-02-11,0.0,0.1,654.4,705.1,1359.6,0.0,1188.1,0.0,0.0,1188.1
2024-02-12,0.0,0.5,654.7,704.6,1359.8,0.0,1187.3,0.0,0.0,1187.3
2024-02-13,0.0,0.1,652.8,704.5,1357.4,0.0,1186.5,0.0,0.0,1186.5
2024-02-14,0.0,0.3,650.7,703.8,1354.8,0.0,1184.3,0.0,0.0,1184.3
2024-02-15,0.0,0.6,651.1,704.0,1355.7,0.0,1183.7,0.0,0.0,1183.7
2024-02-16,0.0,0.2,653.0,703.6,1356.8,0.0,1184.8,0.0,0.0,1184.8
2024-02-17,0.0,0.4,654.7,703.4,1358.5,0.0,1186.8,0.0,0.0,1186.8
2024-02-18,0.0,0.5,646.9,703.9,1351.3,0.0,1179.2,0.0,0.0,1179.2
2024-02-19,0.0,0.4,649.0,704.0,1353.4,0.0,1180.7,0.0,0.0,1180.7
2024-02-20,0.0,0.3,649.7,704.9,1354.9,0.0,1181.4,0.0,0.0,1181.4
2024-02-21,0.0,3.3,516.7,705.4,1222.4,0.0,1064.5,0.0,0.0,1064.5
2024-02-22,0.0,1.5,637.5,706.7,1344.4,0.0,1168.4,0.0,0.0,1168.4
2024-02-23,0.0,0.0,652.4,704.0,1356.4,0.0,1186.5,0.0,0.0,1186.5
