2-B-2.50各地区私营总承包和专业承包企业收入情况-地区-地区-地区,2-B-2.50各地区私营总承包和专业承包企业收入情况-主营业务收入-主营业务收入-主营业务收入,2-B-2.50各地区私营总承包和专业承包企业收入情况-#主营业务成本-#主营业务成本,2-B-2.50各地区私营总承包和专业承包企业收入情况-#主营业务税金及附加-#主营业务税金及附加,2-B-2.50各地区私营总承包和专业承包企业收入情况-其他业务收入-其他业务收入-其他业务收入,2-B-2.50各地区私营总承包和专业承包企业收入情况-单位：万元-#其他业务利润-#其他业务利润
,,,,,
全国总计,698374869.0,626857030.0,9786555.0,9543114.0,486096.0
,,,,,
北  京,9707191.0,8588453.0,37007.0,344934.0,36096.0
天  津,6117323.0,5624074.0,27395.0,231624.0,7205.0
河  北,14272010.0,13004339.0,150482.0,373198.0,11351.0
山  西,11388534.0,10444270.0,87155.0,296431.0,6623.0
内蒙古,4385184.0,3931321.0,42217.0,111771.0,3488.0
,,,,,
辽  宁,12985516.0,11480494.0,123126.0,417621.0,10943.0
吉  林,5915505.0,5152886.0,78743.0,142751.0,3485.0
黑龙江,2472464.0,2236245.0,36970.0,31811.0,791.0
,,,,,
上  海,20633184.0,19040213.0,78523.0,265969.0,24834.0
江  苏,145420122.0,130276508.0,2465196.0,663693.0,86397.0
浙  江,91806728.0,85203749.0,698444.0,1219427.0,81573.0
安  徽,20439112.0,18450966.0,269066.0,250601.0,7027.0
福  建,48572813.0,43952961.0,911448.0,436955.0,13729.0
江  西,20066223.0,18039143.0,425451.0,341601.0,5052.0
山  东,31352423.0,27808788.0,328511.0,381016.0,9079.0
,,,,,
河  南,22017538.0,19029675.0,464535.0,421132.0,15478.0
湖  北,33989182.0,29482934.0,624127.0,275744.0,8726.0
湖  南,23463570.0,20857281.0,536368.0,128438.0,31098.0
广  东,46379953.0,41781956.0,340552.0,722842.0,48860.0
广  西,10924359.0,9969766.0,235734.0,218678.0,4761.0
海  南,609950.0,558977.0,6009.0,19131.0,1600.0
,,,,,
重  庆,27345814.0,24013638.0,470300.0,371686.0,18366.0
四  川,39690101.0,34891336.0,663800.0,928278.0,17356.0
贵  州,5340998.0,4704115.0,62146.0,293879.0,1444.0
云  南,15170970.0,13105441.0,273342.0,211737.0,4444.0
西  藏,880743.0,773476.0,10475.0,24460.0,748.0
,,,,,
陕  西,11629690.0,10337550.0,176719.0,157545.0,7913.0
甘  肃,3314491.0,2926178.0,45778.0,50525.0,3803.0
青  海,1470233.0,1387871.0,10052.0,30885.0,368.0
宁  夏,3198690.0,2923931.0,18905.0,49841.0,6053.0
新  疆,7414259.0,6878495.0,87980.0,128910.0,7406.0
