公司,指标,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
三元股份,营业收入（元）,-,2041122201,7841240541,6150096439,4255513808,2167953045,8002540296,6301929278,4261787404,2156123568,7730723573,5932319199,4001784700,1867575905,7353344572,5420635675,3403899022,1517740600
三元股份,净资产收益率B,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0),(0),(0)
三元股份,营业利润率,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0),(0)
三元股份,管理费用率,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三元股份,归属于母公司所有者的净利润（元）,-,73272874,242669099,231033375,214865343,41756090,36503402,107777700,92927081,41596675,245209785,212013064,145890708,44115736,22056881,(46467873),(101301441),(118778263)
行业均值(食品制造业),营业收入（元）,3120095959,1429719087,5635418154,4274520836,2873270252,1448934735,5593497930,4030232984,2726565721,1421534444,5190108204,4061505325,2664857650,1477303903,4860623152,4106438650,2536372690,1300805876
行业均值(食品制造业),净资产收益率B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
行业均值(食品制造业),营业利润率,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
行业均值(食品制造业),管理费用率,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
行业均值(食品制造业),归属于母公司所有者的净利润（元）,370337853,184348330,510947360,390093166,263031093,152168792,476131744,404483757,295421723,161023393,486223549,401796891,276129857,162382359,462807164,427214824,265050156,120109083
