"TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-Number-1","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-Item-AccommodationCost","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-ProjectDescription-Unit","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-BasisforCalculation-Amount","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-BasisforCalculation-Set/Room","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-BasisforCalculation-Day","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-BasisforCalculation-Person","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-BasisforCalculation-Time(s)","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-SubtotalofBudgetExpenses","TeamBuildingFundBudget(Estimated)-Basedontheestimatedexpensesbudgetforthespringtraininginxxyear.-One,thenumberofparticipantsistemporarilycalculatedasxpeople;-II.MeetingDates:May21-22,20xx(atotalof2days),November15-16,20xx(atotalof2days)-Three.ConferenceLocation:Hotel-Notes"
1 , Accommodation Cost ,Double bed room,150,1,1,1,2,,Includes breakfast
2,Venue Rental Fee,Teahouse Restaurant,50,1,1,1,2,,
3,Meal expenses,Lunch,80,,1,1,2,,
3 , Meal expenses ,Dinner,100,,1,1,2,,
3 , Meal expenses ,Tea Break,20,,1,1,2,,
3 , Meal expenses ,Beverages and drinks,50,,1,1,2,,"Bring your own alcohol, fruits, and melons."
3 , Meal expenses ,Subtotal, Subtotal , Subtotal , Subtotal , Subtotal , Subtotal ,,
4,Photography,Photography,10,,1,1,2,,
5,Office Supplies,Office Supplies,5,,1,1,2,,
5 , Office Supplies ,Drinking water,5,,1,1,2,,
5 , Office Supplies ,Food,20,,1,1,2,,
5 , Office Supplies ,Subtotal, Subtotal , Subtotal , Subtotal , Subtotal , Subtotal ,,
6,Souvenir,"Water cups, etc.",50,,1,1,2,,
7,Other,Other unforeseen expenses,10,,1,1,2,,
7 , Other ,Subtotal, Subtotal , Subtotal , Subtotal , Subtotal , Subtotal ,,
Total Budget, Total Budget , Total Budget , Total Budget , Total Budget , Total Budget , Total Budget , Total Budget ,,
Note:,,,,,,,,,
"1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November."," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "," 1. Team-building activities are held four times a year. Excluding the spring and autumn training sessions, there are two department team-building events, each lasting one and a half days, with one day of accommodation. These are scheduled once in May and once in November. "
