Name,Quantity,Unit,Unit Price,Total Price
Leisure sofa chair,8,Zhang,954,
Round Table,2,Zhang,1404,
Bar Stool,4,Zhang,736,
Office Desk,2,Group,3720,
Office Chair,2,Zhang,507,
Office Chair,4,Zhang,399,
Supervisor Cabinet,2,Group,4150,
Three-seater sofa,2,Group,2993,
Single-seat sofa,2,Group,1528,
Long Coffee Table,2,Group,684,
Coffee Table,2,Group,356,
Tea Cabinet,2,Group,842,
Office Desk,15,Unit,1820,
Office Chair,15,Zhang,453,
Conference Table,2,Zhang,3452,
Tea Cabinet,2,Group,842,
Conference Table,12,Zhang,1220,
Meeting Chair,24,Zhang,633,
Tea Cabinet,1,Group,1953,
Dining table,28,Zhang,774,
Dining chair,112,Zhang,216,
Office Desk,12,Unit,1820,
File Cabinet,6,Group,1405,
Office Chair,12,Zhang,453,
Office Desk,2,Group,3720,
Office Chair,2,Zhang,507,
Office Chair,4,Zhang,399,
Supervisor Cabinet,2,Group,4150,
Three-seater sofa,2,Group,2993,
Single-seat sofa,2,Group,1528,
Long Coffee Table,2,Group,684,
Coffee Table,2,Group,356,
Tea Cabinet,2,Group,842,
Office Desk,6,Unit,1820,
File Cabinet,6,Group,1405,
Office Chair,6,Zhang,453,
Office Desk,1,Zhang,34063,
Executive Chair,1,Zhang,3591,
Bar Stool,2,set                         piece(s),1861,
File Cabinet,1,Group,30875,
Single-seat sofa,2,Zhang,3256,
Three-seater sofa,1,Zhang,5603,
Coffee Table,1,Zhang,3546,
Side table,2,Zhang,459,
Office Desk,1,Zhang,10253,
File Cabinet,1,Zhang,19159,
Executive Chair,1,Zhang,2325,
Bar Stool,2,Zhang,1963,
Conference Table,1,Zhang,8105,
Meeting Chair,6,Zhang,2804,
Long Coffee Table,1,Zhang,4655,
Coffee Table,2,Zhang,862,
Tea Cabinet,1,Zhang,6773,
Single-seat sofa,4,Zhang,4181,
Three-seater sofa,1,Zhang,6175,
Office Desk,1,Zhang,25880,
Executive Chair,1,Zhang,3420,
Bar Stool,2,Zhang,2790,
File Cabinet,1,Group,23976,
Side cabinet,1,Zhang,4959,
Three-seater sofa,1,Zhang,8973,
Single-seat sofa,4,Zhang,5454,
Coffee Table,4,Zhang,3553,
Side table,2,Zhang,862,
Negotiation Table,1,Zhang,6300,
Bar Stool,4,Zhang,2790,
Conference Table,1,Group,23215,
Meeting Chair,18,Zhang,1666,
Back-row meeting chair,14,Zhang,1365,
Tea Cabinet,1,Group,4669,
Office Desk,1,Zhang,8998,
Office Chair,1,Zhang,1406,
Office Chair,2,Zhang,399,
File Cabinet,1,Group,7770,
Three-seater sofa,1,Group,2993,
Single-seat sofa,1,Group,1528,
Long Coffee Table,1,Group,684,
Coffee Table,1,Group,356,
Tea Cabinet,1,Group,842,
Office Desk,1,Group,3720,
Office Chair,1,Zhang,507,
Office Chair,2,Zhang,399,
Supervisor Cabinet,1,Group,4150,
Three-seater sofa,1,Group,2993,
Single-seat sofa,1,Group,1528,
Long Coffee Table,1,Group,684,
Coffee Table,1,Group,356,
Tea Cabinet,1,Group,842,
Office Desk,11,Unit,1820,
File Cabinet,6,Group,1405,
Office Chair,11,Zhang,453,
Conference Table,14,Zhang,1220,
Meeting Chair,28,Zhang,633,
Meeting Chair,22,Zhang,691,
Tea Cabinet,1,Group,1953,
Tea Table,1,Zhang,17968,
Lounge Armchair,7,Zhang,4446,
Gaming Table,1,Zhang,11850,
Gaming Chair,4,Zhang,4077,
small dining table,1,Zhang,8910,
Dining chair,12,Zhang,352,
Sofa Set,1,Group,6948,
Coffee Table,1,Zhang,1314,
Side table,2,Zhang,1406,
Dining table,1,Zhang,29968,
Dining chair,16,Zhang,686,
Sofa Set,1,Group,6948,
Coffee Table,1,Zhang,1314,
Side table,2,Set,1406,
