Series,Total-Stockinwarehouse,Total-Sales,50%discount-Stockinwarehouse,50%discount-Storeinventory,50%discount-CumulativeSales,50%discount-ClearanceRate,FixedPrice-Stockinwarehouse,FixedPrice-Storeinventory,FixedPrice-CumulativeSales,FixedPrice-ClearanceRate,100yuanfor4pieces-Stockinwarehouse,100yuanfor4pieces-Storeinventory,100yuanfor4pieces-CumulativeSales,100yuanfor4pieces-ClearanceRate,110Yuan3Pieces-Stockinwarehouse,110Yuan3Pieces-Storeinventory,110Yuan3Pieces-CumulativeSales,110Yuan3Pieces-ClearanceRate
Spring and Summer Home,15086,,2901.0,3897.0,1055.0,,3758.0,2043.0,1432.0,,,,,,,,,
Spring and Summer Underwear,5016,,418.0,409.0,89.0,,2138.0,1440.0,522.0,,,,,,,,,
Active pants,14698,,15.0,54.0,26.0,,7705.0,2157.0,188.0,,,,,,3355.0,1076.0,122.0,
Fitness Accessories,287,,269.0,18.0,,,,,,,,,,,,,,
Fitness Yoga,4367,,495.0,396.0,128.0,,1388.0,1578.0,382.0,,,,,,,,,
Fitness Yoga Life,218,,15.0,,1.0,,135.0,51.0,16.0,,,,,,,,,
Club,94,,28.0,64.0,,,2.0,,,,,,,,,,,
Underwear,20797,,4562.0,2984.0,296.0,,412.0,303.0,49.0,,7421.0,3475.0,1295.0,,,,,
Underwear,594,,,,,,120.0,18.0,1.0,,407.0,38.0,10.0,,,,,
Underwear Accessories,5,,,,,,1.0,4.0,,,,,,,,,,
Running Series,1197,,303.0,129.0,19.0,,417.0,279.0,50.0,,,,,,,,,
Beach,1818,,,,,,878.0,909.0,31.0,,,,,,,,,
Beach Accessories,1952,,16.0,36.0,,,914.0,942.0,44.0,,,,,,,,,
Swim Trunks for Kids,1840,,,,,,1026.0,714.0,100.0,,,,,,,,,
Swimwear for children,4080,,1965.0,725.0,62.0,,988.0,296.0,44.0,,,,,,,,,
Swim Trunks,4918,,418.0,589.0,32.0,,1784.0,1941.0,154.0,,,,,,,,,
Swimwear,15169,,2238.0,2927.0,216.0,,5135.0,4310.0,343.0,,,,,,,,,
Swimming,1513,,944.0,369.0,51.0,,109.0,40.0,,,,,,,,,,
Swim Accessories,250,,133.0,112.0,5.0,,,,,,,,,,,,,
Sports Bra,4596,,2921.0,1178.0,72.0,,327.0,85.0,13.0,,,,,,,,,
Total,98495,,17641.0,13887.0,2052.0,,27237.0,17110.0,3369.0,,7828.0,3513.0,1305.0,,3355.0,1076.0,122.0,
