Top10SalesRankings-Series,Top10SalesRankings-Category,Top10SalesRankings-StyleNumber\ColorCode,Top10SalesRankings-TagPrice,Top10SalesRankings-CumulativeSales-Quantity,Top10SalesRankings-TagPriceAmount,Top10SalesRankings-SalesAmount,Top10SalesRankings-Discount,Top10SalesRankings-Inventory-Quantity,Top10SalesRankings-TagPriceAmount.1,Top10SalesRankings-Sell-throughrate-Sell-throughrate,Top10SalesRankings-Stock-to-SalesRatio-Stock-to-SalesRatio,Unnamed: 12,SalesRankingBottomTen-Series,SalesRankingBottomTen-Category,SalesRankingBottomTen-StyleNumber\ColorCode,SalesRankingBottomTen-TagPrice,SalesRankingBottomTen-CumulativeSales-Quantity,SalesRankingBottomTen-TagPriceAmount,SalesRankingBottomTen-SalesAmount,SalesRankingBottomTen-Discount,SalesRankingBottomTen-Inventory-Quantity,SalesRankingBottomTen-TagPriceAmount.1,SalesRankingBottomTen-Sell-throughrate-Sell-throughrate,SalesRankingBottomTen-Stock-to-SalesRatio-Stock-to-SalesRatio
Spring and Summer Home,Trousers,113841101\61,199,60,11940,8782,0.74,141,28059,,,,Spring and Summer Home,Trousers,113851106\49,799,1,799,562,0.7,48,38352,,
Spring and Summer Home,Trousers,113841101\92,199,50,9950,6956,0.7,204,40596,,,,Spring and Summer Home,Trousers,113851106\75,799,1,799,639,0.8,54,43146,,
Spring and Summer Home,Trousers,113841101\80,199,47,9353,6455,0.69,74,14726,,,,Spring and Summer Home,Short sleeve,113811801\75,799,1,799,639,0.8,122,97478,,
Spring and Summer Home,Trousers,113841102\60,299,41,12259,8400,0.69,146,43654,,,,Spring and Summer Home,Trousers,112851305\53,259,1,259,233,0.9,309,80031,,
Spring and Summer Home,Five-pocket pants,113851506\75,299,32,9568,6631,0.69,189,56511,,,,Spring and Summer Home,Trousers,113851105\62,399,3,1197,950,0.79,36,14364,,
Spring and Summer Home,Five-pocket pants,113851506\62,299,20,5980,4371,0.73,195,58305,,,,Spring and Summer Home,Set/Wardrobe,114871105\80,499,3,1497,1347,0.9,23,11477,,
Spring and Summer Home,Set/Wardrobe,112871102\73,399,18,7182,4971,0.69,257,102543,,,,Spring and Summer Home,Set/Wardrobe,114871105\75,499,4,1996,1647,0.82,22,10978,,
Spring and Summer Home,Five-pocket pants,113851503\73,299,11,3289,2632,0.8,254,75946,,,,Spring and Summer Home,Five-pocket pants,113851505\28,399,4,1596,1286,0.81,160,63840,,
Spring and Summer Home,Trousers,113851105\75,399,8,3192,2324,0.73,28,11172,,,,Spring and Summer Home,Short sleeve,113811402\75,399,6,2394,1677,0.7,141,56259,,
Spring and Summer Underwear,Tank top,114511103\00,99,380,37620,36977,0.98,528,52272,,,,Spring and Summer Underwear,Tank top,111501401\92,299,1,299,269,0.9,123,36777,,
Spring and Summer Underwear,Short sleeve,112511402\10,159,206,32754,25128,0.77,697,110823,,,,Spring and Summer Underwear,Tank top,113511101\10,499,1,499,399,0.8,50,24950,,
Spring and Summer Underwear,Short sleeve,112511402\62,159,191,30369,23689,0.78,691,109869,,,,Spring and Summer Underwear,Short sleeve,111501101\37,329,1,329,329,1.0,171,56259,,
Spring and Summer Underwear,Short sleeve,114511104\00,99,169,16731,16335,0.98,946,93654,,,,Spring and Summer Underwear,Short sleeve,111501301\80,329,1,329,357,1.08,191,62839,,
Spring and Summer Underwear,Short sleeve,514105\75,168,138,23184,17811,0.77,958,160944,,,,Spring and Summer Underwear,Short sleeve,111511102\73,389,1,389,310,0.8,256,99584,,
Spring and Summer Underwear,Short sleeve,112511402\45,159,120,19080,15461,0.81,1089,173151,,,,Spring and Summer Underwear,Short sleeve,111511401\80,299,1,299,239,0.8,32,9568,,
Spring and Summer Underwear,Short sleeve,112511402\80,159,99,15741,12618,0.8,1110,176490,,,,Spring and Summer Underwear,Short sleeve,112501301\80,329,1,329,247,0.75,106,34874,,
Spring and Summer Underwear,Short sleeve,112511114\62,159,88,13992,10508,0.75,685,108915,,,,Spring and Summer Underwear,Short sleeve,112501302\48,329,1,329,296,0.9,85,27965,,
Spring and Summer Underwear,Tank top,112511103\10,129,78,10062,8120,0.81,758,97782,,,,Spring and Summer Underwear,Short sleeve,112511102\10,389,1,389,272,0.7,195,75855,,
