表3-1湖南省分年龄、性别的人口-年龄别-年龄别,表3-1湖南省分年龄、性别的人口-人口数-合计,表3-1湖南省分年龄、性别的人口-人口数-男,表3-1湖南省分年龄、性别的人口-人口数-女,表3-1湖南省分年龄、性别的人口-占总人口比重-合计,表3-1湖南省分年龄、性别的人口-占总人口比重-男,表3-1湖南省分年龄、性别的人口-占总人口比重-女,表3-1湖南省分年龄、性别的人口-单位：人-性别比-性别比
总计,629054,321705,307349,100,51,49,105
0-4,36959,20932,16027,6,3,3,131
0,7083,3887,3196,1,1,1,122
1,6810,3858,2952,1,1,0,131
2,7211,4155,3056,1,1,0,136
3,7567,4404,3163,1,1,1,139
4,8288,4628,3660,1,1,1,126
5-9,37588,20665,16923,6,3,3,122
5,7832,4424,3408,1,1,1,130
6,7503,4130,3373,1,1,1,122
7,7881,4403,3478,1,1,1,127
8,7246,3911,3335,1,1,1,117
9,7126,3797,3329,1,1,1,114
10-14,43166,23059,20107,7,4,3,115
10,7834,4262,3572,1,1,1,119
11,6724,3581,3143,1,1,1,114
12,7851,4177,3674,1,1,1,114
13,9105,4833,4272,1,1,1,113
14,11652,6206,5446,2,1,1,114
15-19,57276,30236,27040,9,5,4,112
15,15242,7986,7256,2,1,1,110
16,13666,7171,6495,2,1,1,110
17,11062,5875,5187,2,1,1,113
18,10070,5349,4721,2,1,1,113
19,7236,3855,3381,1,1,1,114
20-24,35047,16848,18199,6,3,3,93
20,6507,3277,3230,1,1,1,101
21,6595,3221,3374,1,1,1,95
22,6844,3236,3608,1,1,1,90
23,8377,3923,4454,1,1,1,88
24,6724,3191,3533,1,1,1,90
25-29,34864,16827,18037,6,3,3,93
25,6579,3139,3440,1,1,1,91
26,7044,3358,3686,1,1,1,91
27,6748,3271,3477,1,1,1,94
28,6572,3209,3363,1,1,1,95
29,7921,3850,4071,1,1,1,95
30-34,50028,24663,25365,8,4,4,97
30,9052,4450,4602,1,1,1,97
31,10025,4874,5151,2,1,1,95
32,9937,4936,5001,2,1,1,99
33,10388,5060,5328,2,1,1,95
34,10626,5343,5283,2,1,1,101
35-39,63214,31235,31979,10,5,5,98
35,12579,6142,6437,2,1,1,95
36,12365,6039,6326,2,1,1,95
37,14868,7385,7483,2,1,1,99
38,10872,5394,5478,2,1,1,98
39,12530,6275,6255,2,1,1,100
40-44,56653,28327,28326,9,5,5,100
40,13368,6631,6737,2,1,1,98
41,12667,6213,6454,2,1,1,96
42,15507,7869,7638,2,1,1,103
43,11082,5597,5485,2,1,1,102
44,4029,2017,2012,1,0,0,100
45-49,41056,20728,20328,7,3,3,102
45,6624,3317,3307,1,1,1,100
46,5870,2932,2938,1,0,0,100
47,8597,4329,4268,1,1,1,101
48,10515,5385,5130,2,1,1,105
49,9450,4765,4685,2,1,1,102
50-54,47584,24428,23156,8,4,4,105
50,9793,5007,4786,2,1,1,105
51,10043,5160,4883,2,1,1,106
52,9662,4885,4777,2,1,1,102
53,10022,5141,4881,2,1,1,105
54,8064,4235,3829,1,1,1,111
55-59,36482,19045,17437,6,3,3,109
55,8168,4240,3928,1,1,1,108
56,8420,4503,3917,1,1,1,115
57,7124,3733,3391,1,1,1,110
58,6906,3554,3352,1,1,1,106
59,5864,3015,2849,1,0,0,106
60-64,25435,13463,11972,4,2,2,112
60,5264,2729,2535,1,0,0,108
61,5399,2871,2528,1,0,0,114
62,5010,2624,2386,1,0,0,110
63,4743,2518,2225,1,0,0,113
64,5019,2721,2298,1,0,0,118
65-69,23941,12433,11508,4,2,2,108
65,5124,2628,2496,1,0,0,105
66,4315,2221,2094,1,0,0,106
67,5309,2786,2523,1,0,0,110
68,4849,2496,2353,1,0,0,106
69,4344,2302,2042,1,0,0,113
70-74,18639,9435,9204,3,2,1,103
70,4322,2233,2089,1,0,0,107
71,3757,1901,1856,1,0,0,102
72,4099,2089,2010,1,0,0,104
73,3350,1667,1683,1,0,0,99
74,3111,1545,1566,0,0,0,99
75-79,12050,5651,6399,2,1,1,88
75,3155,1515,1640,1,0,0,92
76,2446,1154,1292,0,0,0,89
77,2468,1131,1337,0,0,0,85
78,2283,1061,1222,0,0,0,87
79,1698,790,908,0,0,0,87
80-84,6222,2700,3522,1,0,1,77
80,1694,762,932,0,0,0,82
81,1406,654,752,0,0,0,87
82,1196,520,676,0,0,0,77
83,1032,418,614,0,0,0,68
84,894,346,548,0,0,0,63
85-89,2114,795,1319,0,0,0,60
85,662,265,397,0,0,0,67
86,477,176,301,0,0,0,58
87,397,151,246,0,0,0,61
88,339,118,221,0,0,0,53
89,239,85,154,0,0,0,55
90-94,640,214,426,0,0,0,50
90,216,61,155,0,0,0,39
91,174,64,110,0,0,0,58
92,102,31,71,0,0,0,44
93,84,34,50,0,0,0,68
94,64,24,40,0,0,0,60
95-99,80,15,65,0,0,0,23
95,31,6,25,0,0,0,24
96,20,4,16,0,0,0,25
97,16,4,12,0,0,0,33
98,6,1,5,0,0,0,20
99,7,0,7,0,0,0,0
100岁及以上,16,6,10,0,0,0,60
