9-4城市供水(2013年)-城市,9-4城市供水(2013年)-综合生产能力(万立方米/日),9-4城市供水(2013年)-供水管道长度(公里),9-4城市供水(2013年)-供水总量(万立方米),9-4城市供水(2013年)-用水人口(万人)
长沙市,216,2211,52973,317
浏阳市,8,310,2602,30
株洲市,104,2063,17689,105
醴陵市,7,572,1898,24
湘潭市,49,1154,12050,77
湘乡市,4,541,1392,19
韶山市,7,140,730,6
衡阳市,70,1138,14787,108
耒阳市,11,198,2311,43
常宁市,12,175,1611,20
邵阳市,52,706,7693,69
武冈市,8,180,1599,20
岳阳市,107,860,15931,66
汨罗市,3,182,1004,15
临湘市,12,147,940,17
常德市,43,1378,8649,66
津市市,5,234,1055,13
张家界市,14,405,2620,22
益阳市,32,408,5400,55
沅江市,6,122,1437,19
郴州市,34,1228,6418,58
资兴市,5,324,755,14
永州市,51,840,8531,52
怀化市,30,1010,4723,49
洪江市,4,57,458,6
娄底市,18,378,5029,47
冷水江市,68,439,6686,17
涟源市,5,261,1307,16
吉首市,11,548,1888,20
