编制单位：河南省郑州市登封市告成镇人民政府-项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码,项目-支出功能分类科目编码-支出功能分类科目编码-支出功能分类科目编码.1,项目-科目名称-科目名称-科目名称,支出决算表-2017年度-本年支出合计-本年支出合计-本年支出合计-本年支出合计,基本支出-基本支出-基本支出-基本支出,项目支出-项目支出-项目支出-项目支出,上缴上级支出-上缴上级支出-上缴上级支出-上缴上级支出,经营支出-经营支出-经营支出-经营支出,金额单位：万元-财决04表-对附属单位补助支出-对附属单位补助支出-对附属单位补助支出-对附属单位补助支出
类,款,项,栏次,1,2,3,4,5,6
类,款,项,合计,8932,1387,7545,0,0,0
201,201,201,一般公共服务支出,910,910,0,0,0,0
20101,20101,20101,人大事务,15,15,0,0,0,0
2010104,2010104,2010104,人大会议,15,15,0,0,0,0
20103,20103,20103,政府办公厅（室）及相关机构事务,825,825,0,0,0,0
2010301,2010301,2010301,行政运行,825,825,0,0,0,0
20106,20106,20106,财政事务,5,5,0,0,0,0
2010699,2010699,2010699,其他财政事务支出,5,5,0,0,0,0
20107,20107,20107,税收事务,16,16,0,0,0,0
2010708,2010708,2010708,协税护税,16,16,0,0,0,0
20132,20132,20132,组织事务,36,36,0,0,0,0
2013299,2013299,2013299,其他组织事务支出,36,36,0,0,0,0
20133,20133,20133,宣传事务,12,12,0,0,0,0
2013399,2013399,2013399,其他宣传事务支出,12,12,0,0,0,0
20199,20199,20199,其他一般公共服务支出,1,1,0,0,0,0
2019999,2019999,2019999,其他一般公共服务支出,1,1,0,0,0,0
204,204,204,公共安全支出,172,172,0,0,0,0
20499,20499,20499,其他公共安全支出,172,172,0,0,0,0
2049901,2049901,2049901,其他公共安全支出,172,172,0,0,0,0
207,207,207,文化体育与传媒支出,125,125,0,0,0,0
20701,20701,20701,文化,125,125,0,0,0,0
2070109,2070109,2070109,群众文化,120,120,0,0,0,0
2070199,2070199,2070199,其他文化支出,5,5,0,0,0,0
208,208,208,社会保障和就业支出,752,90,662,0,0,0
20805,20805,20805,行政事业单位离退休,90,90,0,0,0,0
2080501,2080501,2080501,归口管理的行政单位离退休,7,7,0,0,0,0
2080505,2080505,2080505,机关事业单位基本养老保险缴费支出★,84,84,0,0,0,0
20808,20808,20808,抚恤,132,0,132,0,0,0
2080801,2080801,2080801,死亡抚恤,1,0,1,0,0,0
2080802,2080802,2080802,伤残抚恤,19,0,19,0,0,0
2080803,2080803,2080803,在乡复员、退伍军人生活补助,110,0,110,0,0,0
2080899,2080899,2080899,其他优抚支出,2,0,2,0,0,0
20810,20810,20810,社会福利,16,0,16,0,0,0
2081001,2081001,2081001,儿童福利,1,0,1,0,0,0
2081002,2081002,2081002,老年福利,15,0,15,0,0,0
20811,20811,20811,残疾人事业,102,0,102,0,0,0
2081107,2081107,2081107,残疾人生活和护理补贴★,44,0,44,0,0,0
2081199,2081199,2081199,其他残疾人事业支出,59,0,59,0,0,0
20815,20815,20815,自然灾害生活救助,8,0,8,0,0,0
2081501,2081501,2081501,中央自然灾害生活补助,5,0,5,0,0,0
2081502,2081502,2081502,地方自然灾害生活补助,3,0,3,0,0,0
20819,20819,20819,最低生活保障,194,0,194,0,0,0
2081901,2081901,2081901,城市最低生活保障金支出,44,0,44,0,0,0
2081902,2081902,2081902,农村最低生活保障金支出,150,0,150,0,0,0
20820,20820,20820,临时救助,7,0,7,0,0,0
2082001,2082001,2082001,临时救助支出,7,0,7,0,0,0
20821,20821,20821,特困人员救助供养★,165,0,165,0,0,0
2082102,2082102,2082102,农村特困人员救助供养支出★,165,0,165,0,0,0
20825,20825,20825,其他生活救助,22,0,22,0,0,0
