开关产品-主销售系列,开关产品-当期金额(万),开关产品-占比,开关产品-去年同期金额(万),开关产品-同期增长率
M3系列,466,0,1151,(1)
I7系列,290,0,1140,(1)
i6Air系列,255,0,716,(1)
E3系列,246,0,1216,(1)
E6系列,203,0,1084,(1)
G30系列,138,0,121,0
C56系列,116,0,101,0
防溅盒,96,0,372,(1)
轨道插座系列,93,0,169,(0)
i6Air铂晶系列,90,0,0,1
C20系列,57,0,508,(1)
地插系列,50,0,125,(1)
50E系列,33,0,119,(1)
M7 Gem系列,32,0,87,(1)
M7 Air系列,27,0,70,(1)
C60系列,20,0,112,(1)
M3 Slim系列,17,0,188,(1)
i6系列,16,0,78,(1)
C55系列,16,0,72,(1)
G35系列,15,0,0,1
50M系列,11,0,30,(1)
I3Plus系列,11,0,82,(1)
K3系列,10,0,62,(1)
50G系列,10,0,33,(1)
低压65C系列,10,0,35,(1)
M7 Metal系列,8,0,35,(1)
S20系列,8,0,5,1
52S系列,7,0,10,(0)
E3Plus系列,6,0,16,(1)
布线,5,0,10,(0)
E7系列,1,0,61,(1)
开关特殊系列,1,0,8,(1)
M7s系列,1,0,0,1
底盒,1,0,4,(1)
M6系列,1,0,8,(1)
50系列,1,0,36,(1)
E6Mix系列,0,0,4,(1)
V8系列,0,0,5,(1)
45E系列,0,0,90,(1)
配件,0,0,0,(1)
