项目-项目,名称-名称,单位-单位,上李朗4S店超充电站-规格（根据设计更改）,上李朗4S店超充电站-数量,上李朗4S店超充电站-单价,上李朗4S店超充电站-总价,Unnamed: 7,安装
高压部分,高压电力电缆,米,ZR-YJV22-8.7/15kV-3x120,85,400,34000.0,含税,
高压部分,电力电缆敷设及联接,米,ZR-YJV22-8.7/15kV-3x120,85,30,2550.0,,
高压部分,高压电缆终端头,套,ZR-YJV22-8.7/15kV-3x120,4,3200,12800.0,,
高压部分,绝缘靴,双,防电绝缘靴 20KV高压,5,100,500.0,,
高压部分,绝缘手套,双,高压12KV带电作业用绝缘手套,5,111,555.0,,
高压部分,电力系统实验调试费(含设计),系统,10kV以下变压器系统调试,1,120000,120000.0,,
高压部分,高压电缆保护管,米,PE160,75,140,10500.0,,
高压部分,挖土直埋电缆,米,破除地面混凝土及清运、管道铺设等,75,300,22500.0,,
高压部分,高压电缆井,座,,3,5000,15000.0,,
高压部分,（其他请在此行以上插入...）,,,,,,,
高压部分,,,小计,,,218405.0,,
预制舱,新建预制舱,台,1250kVA预制舱,1,650000,650000.0,含税,
预制舱,新建预制舱基础,座,新建预制舱基础,1,50000,50000.0,含税,
预制舱,,,,,,,,
预制舱,,,,,,,,
预制舱,（其他请在此行以上插入...）,,,,,,,
预制舱,,,小计,,,700000.0,含税,
站内电缆,低压电力电缆,米,ZC-YJV22-3x300+2x150,436,1266,551976.0,含税,
站内电缆,低压电力电缆敷设,米,ZC-YJV22-3x300+2x150,436,32,13952.0,,
站内电缆,低压电缆终端头,个,1kV以下截面300mm2以下,8,300,2400.0,,
站内电缆,低压电力电缆,米,ZC-YJV22-1x120,300,300,90000.0,含税,
站内电缆,低压电力电缆敷设,米,ZC-YJV22-1x120,300,28,8400.0,,
站内电缆,低压电缆终端头,个,1kV以下截面300mm2以下,15,200,3000.0,,
站内电缆,低压电力电缆,米,ZC-YJV22-1x70,115,76,8740.0,含税,
站内电缆,低压电力电缆敷设,米,ZC-YJV22-1x70,115,25,2875.0,,
站内电缆,低压电缆终端头,个,1kV以下截面150mm2以下,22,190,4180.0,,
站内电缆,通讯网线,米,超六类屏蔽网线,115,5,575.0,,
站内电缆,顶管工作坑,座,,2,2500,5000.0,,
站内电缆,顶管,米,PE160,412,200,82400.0,,
站内电缆,低压电缆井,座,破除地面混凝土及清运、管道铺设等,2,2500,5000.0,,
站内电缆,电缆保护管,米,PVC50,35,11,385.0,,
站内电缆,电缆保护管,米,PVC25,115,6,690.0,,
站内电缆,单相电缆,米,VV-2*2.5,230,11,2588.0,,
站内电缆,,,小计,,,779573.0,,
停车位,防撞柱,根,高度1.5米，DN150（壁厚4mm内满灌混凝土）钢管，封闭防护,16,485,7763.0,,
停车位,挡车限位器,套,长度2.3米，DN100（壁厚6mm内满灌混凝土）钢管，封闭防护,14,981,13736.0,,
停车位,地锁带蓝牙功能,套,,14,1000,14000.0,,
停车位,车位画线,个,热熔,14,710,9944.0,,
停车位,（其他请在此行以上插入...）,,,,,,,
停车位,,,小计,,,45442.0,,
监控及消防,网络硬盘录像机,台,1. 录像设备 硬盘录像机 6路输入[6路硬盘监控主机模拟NVR网络 带1T硬盘],1,2828,2828.0,,
监控及消防,网络高清摄像机,台,1. 400W像素高清监控摄像头监控设备，含安防箱,2,1297,2595.0,,
监控及消防,交换机,套,1. 工作组级交换机安装、调试[工作组级交换机] 24口千兆企业级以太网络交换机,1,1848,1848.0,,
监控及消防,户外网络机柜,个,电脑UPS交换机弱电监控机柜,1,2982,2982.0,,
监控及消防,防雨型灭火器箱,组,防雨型灭火器箱（内含手提式干粉灭火器2瓶）,4,288,1150.0,,
监控及消防,推车式干粉灭火器,个,35kg推车式干粉灭火器,1,880,880.0,,
监控及消防,监控杆,根,4米高,1,1986,1986.0,,
监控及消防,监控杆基础,个,,1,1647,1647.0,,
监控及消防,（其他请在此行以上插入...）,,,,,,,
监控及消防,,,小计,,,15917.0,,
防雷接地,接地极,根,镀锌角钢50*5*2500,35,142,4970.0,,
防雷接地,接地母线,米,镀锌扁钢 40×4,50,32,1600.0,,
防雷接地,接地母线,米,镀锌圆钢 直径16mm,50,28,1400.0,,
防雷接地,箱变基础接地系统,套,接地网制作安装,1,19000,19000.0,,
防雷接地,充电桩基础,个,,7,1000,7000.0,,
防雷接地,,,小计,,,33970.0,,
工程含税总计,工程含税总计,工程含税总计,工程含税总计,工程含税总计,工程含税总计,700000.0,,
工程不含税总计,工程不含税总计,工程不含税总计,工程不含税总计,工程不含税总计,工程不含税总计,1093307.0,,
税金,税金,,9%,,,98398.0,,
工程总计,工程总计,工程总计,工程总计,工程总计,工程总计,1891705.0,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
充电设备,整流柜,台,,1,,,,
充电设备,超充直流终端,台,,1,,,,
充电设备,快充直流终端,台,,5,,,,
,共计,,小计,,,,,
工程总计,工程总计,工程总计,工程总计,工程总计,工程总计,,,
