8-11  全国分年龄、性别、居住状况的60岁及以上老年人口,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.1,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.2,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.3,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.4,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.5,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.6,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.7,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.8,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.9,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.10,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.11,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.12,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.13,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.14,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.15,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.16,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.17,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.18,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.19,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.20,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.21,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.22,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.23,8-11  全国分年龄、性别、居住状况的60岁及以上老年人口.24
,,,,,,,,,,,,,,,,,,,,,,,,
,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人,单位：人
年  龄,60岁及以上人口,60岁及以上人口,60岁及以上人口,与配偶和子女同住,与配偶和子女同住,与配偶和子女同住,与配偶同住,与配偶同住,与配偶同住,与子女同住,与子女同住,与子女同住,独居(有保姆),独居(有保姆),独居(有保姆),独居(无保姆),独居(无保姆),独居(无保姆),养老机构,养老机构,养老机构,其    他,其    他,其    他
年  龄,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
,,,,,,,,,,,,,,,,,,,,,,,,
总  计,25523101,12312008,13211093,5900248,3219972,2680276,11154108,5940542,5213566,4229595,1209487,3020108,46243,20583,25660,3011811,1293425,1718386,185511,106605,78906,995585,521394,474191
,,,,,,,,,,,,,,,,,,,,,,,,
60-64岁,7212331,3611534,3600797,2187737,1155928,1031809,3343072,1693465,1649607,763341,233751,529590,4597,2520,2077,567356,317243,250113,17355,13328,4027,328873,195299,133574
60,1265735,630443,635292,400311,209721,190590,578818,290120,288698,125420,37399,88021,783,421,362,94820,53167,41653,2245,1650,595,63338,37965,25373
61,1191490,601597,589893,372507,197578,174929,545163,277476,267687,122263,37620,84643,726,404,322,91646,52549,39097,2456,1853,603,56729,34117,22612
62,1519108,765643,753465,466931,248004,218927,696892,354536,342356,161294,49929,111365,924,505,419,118954,67613,51341,3854,2938,916,70259,42118,28141
63,1696369,853241,843128,505810,268725,237085,791812,403452,388360,183357,56917,126440,1115,614,501,135444,75730,59714,4396,3434,962,74435,44369,30066
