1-2-14全国按农户生产经营情况分的农业生产经营户年末拥有农业机械数量-名称,单位：台-大中型拖拉机,单位：台-小型拖拉机,单位：台-大中型拖拉机配套农具,单位：台-小型拖拉机配套农具,单位：台-联合收割机
,,,,,
,,,,,
合        计,1322028.0,25261991.0,1341963.0,24897637.0,527723.0
一、按住户收入和经营兼业情况分,,,,,
纯农户,1079499.0,22027476.0,1162178.0,22022548.0,414970.0
农业兼业户,98941.0,1489776.0,87972.0,1397666.0,48234.0
非农业兼业户,143588.0,1744739.0,91813.0,1477423.0,64519.0
二、按农业生产经营户经营主要农业行业分,,,,,
农作物种植业,1172947.0,23834578.0,1179309.0,23556776.0,415078.0
林业,9784.0,119441.0,3386.0,118419.0,1556.0
畜牧业,57505.0,1109201.0,50047.0,1023922.0,16192.0
渔业,5506.0,78624.0,3279.0,61075.0,2019.0
农林牧渔服务业,76281.0,120143.0,105935.0,137443.0,92878.0
