表4-2历年分地区规模以上工业企业总产值（单位：万元）-年份,表4-2历年分地区规模以上工业企业总产值（单位：万元）-市区,表4-2历年分地区规模以上工业企业总产值（单位：万元）-常熟,表4-2历年分地区规模以上工业企业总产值（单位：万元）-张家港,表4-2历年分地区规模以上工业企业总产值（单位：万元）-昆山,表4-2历年分地区规模以上工业企业总产值（单位：万元）-太仓
1998,7336488,2101273,3072288,2420098,1326787
1999,9070298,2484232,3391149,2894854,1422908
2000,11659000,3096625,4007507,3559366,1642554
2001,13161313,3724183,5003145,4345031,1614233
2002,15930828,4352008,6219393,6173313,1983185
2003,23649624,5571061,8610559,9389353,2544483
2004,35517607,7520464,12470707,14101475,3465192
2005,45072779,11482290,16322488,21211715,4996571
2006,54348374,15582685,20499187,27986607,6968271
2007,66443947,20130711,27026673,36899633,8588213
2008,76343404,22907113,31537806,45548614,9964358
2009,79772998,23265394,34320651,53820320,11665592
2010,97355621,28832743,39579760,65908022,14840519
2011,110767237,32516638,44619122,72822072,17062464
2012,111570697,33692100,47005617,76868173,18318822
2013,116200047,35822474,49220491,81572964,19946959
2014,118560214,36686952,48637109,78523910,20813538
