1-2-13全国按乡镇类型分的农业生产经营单位农用薄膜、化肥、农药使用情况-名称,地膜覆盖面积(公顷),中小棚覆盖面积(公顷),化肥购买量(吨),农药购买量(吨)
,,,,
,,,,
合        计,375879.0,19099.0,2255260.0,67276.0
一、按所在乡镇类型分,,,,
乡,45477.0,1252.0,192136.0,5239.0
镇,131317.0,11001.0,868467.0,31585.0
街道,10240.0,1355.0,83134.0,2921.0
农场,155168.0,5357.0,1033653.0,26197.0
二、按所在乡镇是否县政府驻地分,,,,
是,46479.0,1326.0,165456.0,7244.0
否,295722.0,17640.0,2011933.0,58698.0
三、按所在乡镇的地势分,,,,
平原,259644.0,12352.0,1072843.0,27187.0
丘陵,62728.0,5404.0,796262.0,26414.0
山区,19829.0,1210.0,308285.0,12341.0
四、按所在乡镇是否民族乡镇分,,,,
是,32057.0,197.0,57975.0,2676.0
否,310144.0,18769.0,2119414.0,63266.0
五、按所在乡镇是否老区分,,,,
是,24831.0,2253.0,282557.0,11757.0
否,317370.0,16713.0,1894832.0,54185.0
六、按所在乡镇是否边区分,,,,
是,22993.0,4433.0,296508.0,10088.0
否,319208.0,14533.0,1880881.0,55854.0
七、无对应乡表的分组,33678.0,133.0,77870.0,1335.0
