表5-9各地区按性别、调查前一周工作时间分的正在工作人口-年龄-年龄-年龄,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-正在工作人口-正在工作人口-（1）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-1—9-（2）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-10—19-（3）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-20-39-（4）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-40-（5）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-41-47-（6）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-一周内工作时间-48-（7）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-单位：人-一周内工作时间-48+-（8）,表5-9各地区按性别、调查前一周工作时间分的正在工作人口-周平均工作时间(小时)-周平均工作时间(小时)-（9）
总计,337019,1669,10986,81383,105608,16225,17146,104002,42
16-19,12965,40,410,3404,3679,631,792,4009,41
16,1960,4,95,631,518,72,86,554,40
17,2987,12,105,842,821,148,184,875,41
18,4064,13,124,1011,1162,212,244,1298,42
19,3954,11,86,920,1178,199,278,1282,42
20-24,26438,108,738,5810,8603,1301,1780,8098,42
20,4465,25,117,1010,1449,214,269,1381,42
21,4787,8,168,1106,1427,233,350,1495,42
22,5230,32,141,1154,1691,248,363,1601,42
23,6593,30,177,1406,2198,339,432,2011,42
24,5363,13,135,1134,1838,267,366,1610,42
25-29,29094,103,660,5703,10362,1302,1832,9132,43
25,5381,26,133,1069,1943,250,326,1634,42
26,5810,17,148,1172,2044,247,365,1817,43
27,5682,25,127,1081,2037,271,384,1757,43
28,5538,13,119,1071,1963,249,344,1779,43
29,6683,22,133,1310,2375,285,413,2145,43
30-34,43222,141,1140,8693,14694,2001,2554,13999,43
30,7735,17,264,1495,2690,397,460,2412,43
31,8609,30,201,1751,2892,411,501,2823,43
32,8600,35,191,1721,2981,391,500,2781,43
33,8992,33,232,1805,2999,396,529,2998,43
34,9286,26,252,1921,3132,406,564,2985,43
35-39,55613,179,1420,11780,17971,2726,2960,18577,43
35,10872,45,229,2295,3559,511,622,3611,43
36,10842,35,370,2295,3567,524,576,3475,43
37,13187,31,308,2801,4236,641,684,4486,43
38,9586,34,237,2010,3030,521,502,3252,43
39,11126,34,276,2379,3579,529,576,3753,43
40-44,49558,193,1160,10512,16467,2495,2418,16313,43
40,11770,42,246,2452,3898,591,541,4000,43
41,11103,49,293,2347,3630,560,546,3678,43
42,13564,32,300,2887,4542,671,690,4442,43
43,9680,57,249,2060,3258,505,474,3077,43
44,3441,13,72,766,1139,168,167,1116,43
45-49,34310,177,920,7842,11000,1779,1666,10926,42
45,5546,27,135,1216,1827,304,272,1765,43
46,4958,24,118,1121,1590,261,252,1592,42
47,7205,43,196,1604,2314,369,349,2330,42
48,8828,41,239,1982,2794,471,447,2854,42
49,7773,42,232,1919,2475,374,346,2385,42
50-54,36515,169,1236,9825,11038,1723,1555,10969,41
50,7834,28,253,1963,2496,353,328,2413,42
51,7853,53,243,2032,2426,376,341,2382,41
52,7342,28,251,1995,2217,348,327,2176,41
53,7539,39,261,2066,2224,366,317,2266,41
54,5947,21,228,1769,1675,280,242,1732,40
55-59,24315,214,1124,7509,6458,1183,897,6930,40
55,5726,38,228,1655,1560,286,253,1706,40
56,5877,35,275,1785,1584,294,208,1696,40
57,4790,35,191,1499,1312,211,172,1370,40
58,4383,51,221,1437,1111,209,150,1204,39
59,3539,55,209,1133,891,183,114,954,38
60-64,12519,128,855,4723,2938,594,389,2892,37
60,2848,27,195,961,709,125,93,738,38
61,2839,33,164,1074,639,151,82,696,37
62,2458,28,164,930,591,109,81,555,37
63,2157,16,136,852,512,110,65,466,37
64,2217,24,196,906,487,99,68,437,35
65-69,8107,108,718,3525,1699,355,212,1490,35
65,1967,28,142,806,431,95,49,416,36
66,1620,25,136,710,335,69,41,304,35
67,1818,14,205,805,372,80,43,299,34
68,1512,26,119,663,318,67,46,273,34
69,1190,15,116,541,243,44,33,198,34
70岁及以上,4363,109,605,2057,699,135,91,667,31
男合计,187771,796,4582,36274,61578,9429,10283,64829,43
16-19,6743,20,201,1791,1925,354,366,2086,41
16,1045,2,48,349,282,49,35,280,39
17,1538,4,53,463,430,77,86,425,40
18,2098,7,65,507,598,117,116,688,42
19,2062,7,35,472,615,111,129,693,43
20-24,13410,60,252,2477,4391,710,943,4577,44
20,2263,17,49,439,760,118,137,743,43
21,2436,4,48,512,717,124,201,830,43
22,2612,19,43,497,852,142,185,874,43
23,3332,14,59,562,1118,182,226,1171,44
24,2767,6,53,467,944,144,194,959,44
25-29,15483,49,224,2336,5683,724,1034,5433,44
25,2836,20,51,421,1060,141,176,967,44
26,3068,9,40,475,1129,136,205,1074,44
27,3036,7,45,465,1084,167,216,1052,44
28,2942,5,42,438,1072,121,200,1064,45
29,3601,8,46,537,1338,159,237,1276,45
30-34,23128,62,446,3340,8195,1126,1476,8483,45
30,4149,7,127,564,1501,224,271,1455,44
31,4550,13,74,645,1569,243,295,1711,45
32,4625,13,66,659,1688,222,287,1690,45
33,4768,16,71,688,1666,200,308,1819,45
34,5036,13,108,784,1771,237,315,1808,44
35-39,29506,66,510,4398,10059,1475,1760,11238,45
35,5744,14,82,848,1969,278,374,2179,45
36,5705,18,158,851,1975,280,352,2071,44
37,7013,11,79,1067,2380,343,403,2730,45
38,5112,11,96,743,1698,287,295,1982,45
39,5932,12,95,889,2037,287,336,2276,45
40-44,26640,79,366,4024,9458,1361,1422,9930,45
40,6265,17,69,915,2171,321,322,2450,45
41,5874,12,115,862,2098,294,302,2191,45
