6-2地方公共财政收入-LocalPublicFinancialRevenue-单位：万元-项目,6-2地方公共财政收入-LocalPublicFinancialRevenue-Item,6-2地方公共财政收入-LocalPublicFinancialRevenue-2018,6-2地方公共财政收入-LocalPublicFinancialRevenue-2019,6-2地方公共财政收入-LocalPublicFinancialRevenue-2020,6-2地方公共财政收入-LocalPublicFinancialRevenue-2021,6-2地方公共财政收入-LocalPublicFinancialRevenue-(10000yuan)-2022
项    目,Item,2018.0,2019.0,2020.0,2021.0,2022.0
,,,,,,
收入合计,Total Revenue,12825950.0,12627563.0,11525107.0,13005113.0,12906637.0
税收收入,Tax Revenue,9808045.0,9244036.0,8119164.0,8701790.0,7933659.0
增值税,Value-added Tax,3768882.0,3394949.0,2802099.0,3071139.0,2658383.0
营业税,Sales Tax,46080.0,,,,
企业所得税,Enterprises Income Tax,1070358.0,1037439.0,983862.0,1090310.0,1096217.0
企业所得税退税,Drawback of  Enterprise Income Tax,0.0,,,,
个人所得税,Individual Income Tax,472613.0,326864.0,306082.0,328657.0,342408.0
资源税,Resources Tax,665485.0,649114.0,480018.0,650643.0,994119.0
城市维护建设税,Tax on  Urban Maintenance and Construction,632876.0,564671.0,494137.0,550542.0,563513.0
房产税,Tax on Real Estates,411377.0,421829.0,386697.0,448611.0,431590.0
印花税,Stamp Tax,120908.0,127656.0,129639.0,152665.0,146578.0
城镇土地使用税,Tax on the Use of Urban Land,727595.0,808290.0,726649.0,757768.0,733404.0
土地增值税,Land Value Added Tax,798121.0,669295.0,661799.0,572914.0,126152.0
车船税,Tax on Vehicles and Ships,211033.0,226235.0,251442.0,262930.0,270790.0
耕地占用税,Tax on The Occupancy of Cultivated  Land,159951.0,229602.0,199549.0,140315.0,132728.0
契  税,Contract Tax,690676.0,732589.0,650072.0,626123.0,392698.0
烟叶税,Tax on Tobacco Leaf,14924.0,10749.0,11906.0,10658.0,12248.0
环境保护税,Environmental protection tax,,23279.0,22734.0,25716.0,27113.0
其他税收收入,Others,17166.0,21475.0,12479.0,12799.0,5718.0
非税收入,Non-Tax Revenue,3017905.0,3383527.0,3405943.0,4303323.0,4972978.0
专项收入,Expert Project Income,674179.0,619833.0,558909.0,633075.0,717465.0
行政事业性收费收入,Income from Administrative Fees,507307.0,557906.0,500031.0,620424.0,519509.0
罚没收入,Penalty and Confiscator Income,490675.0,593673.0,560852.0,797800.0,766917.0
国有资本经营收入,Stated-owned Assets Profit,77261.0,87180.0,202580.0,55660.0,130321.0
国有资源(资产)有偿使用收入,Revenue from using Stated-owned Assets Profit,1039602.0,1199580.0,1207503.0,1720104.0,2368721.0
捐赠收入,Income from Donation,19555.0,15821.0,26510.0,28805.0,33903.0
政府住房基金收入,Government Housing Fund Income,162906.0,228259.0,212425.0,374672.0,313458.0
其他收入,Other,46420.0,81275.0,137133.0,72783.0,122684.0
