1-2-18全国按单位特征分的农业生产经营单位年末拥有农业机械数量-名称,单位：台-大中型拖拉机,单位：台-小型拖拉机,单位：台-大中型拖拉机配套农具,单位：台-小型拖拉机配套农具,单位：台-联合收割机
,,,,,
,,,,,
一、按单位类型分,82674.0,236415.0,132504.0,197320.0,27492.0
单产业法人单位,19591.0,70597.0,25237.0,55129.0,5418.0
多产业法人单位的产业活动单位,55969.0,146689.0,98696.0,127709.0,17676.0
未注册单位,7114.0,19129.0,8571.0,14482.0,4398.0
二、按主营农业行业分,,,,,
农作物种植业,62114.0,165905.0,111909.0,153902.0,19748.0
林业,7624.0,30697.0,5682.0,17538.0,746.0
畜牧业,2737.0,11965.0,2885.0,8329.0,380.0
渔业,912.0,3251.0,391.0,1047.0,77.0
农林牧渔服务业,9287.0,24597.0,11637.0,16504.0,6541.0
#农业服务,8645.0,20668.0,11098.0,14976.0,6397.0
林业服务业,160.0,1175.0,114.0,196.0,16.0
牧业服务业,351.0,1755.0,314.0,1305.0,86.0
渔业服务业,127.0,382.0,107.0,27.0,16.0
未回答,4.0,617.0,4.0,,26.0
三、按机构类型分（不包括未注册单位）,75560.0,217286.0,123933.0,182838.0,23094.0
企业,59811.0,159754.0,102840.0,140820.0,18708.0
事业单位,10256.0,37773.0,12523.0,32790.0,2529.0
机关,971.0,1541.0,1661.0,1142.0,161.0
社会团体,429.0,802.0,692.0,390.0,212.0
民办非企业,207.0,404.0,287.0,429.0,88.0
其他法人单位,3862.0,16935.0,5898.0,7201.0,1393.0
未回答,24.0,77.0,32.0,66.0,3.0
四、按所属系统分（不包括未注册单位）,,,,,
农垦,43358.0,111275.0,82787.0,102585.0,15013.0
林业,6315.0,25701.0,5367.0,17421.0,537.0
五、按所有制分（不包括未注册单位）,,,,,
国有,62592.0,172524.0,106927.0,154033.0,18477.0
集体,3251.0,8183.0,3562.0,6306.0,1225.0
内资私营,4124.0,9194.0,5534.0,7390.0,1295.0
内资合作、合资,3639.0,20172.0,5066.0,11351.0,1521.0
港澳台独资,96.0,267.0,97.0,179.0,21.0
与港澳台合资,40.0,69.0,43.0,53.0,1.0
外商独资,176.0,278.0,209.0,198.0,6.0
与外商合资,126.0,169.0,184.0,95.0,15.0
未回答,1516.0,6430.0,2311.0,3233.0,533.0
