"Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people)","Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people).1","Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people).2","Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people).3","Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people).4","Table 3-2 Annual End-of-Year Rural Actual Employees (Unit: 10,000 people).5"
Year,Municipal District,Changshu,Zhangjiagang,Kunshan,Taicang
1949,45.96,30.24,20.54,12.66,15.53
1952,48.8,30.47,20.79,14.74,15.55
1957,57.93,32.48,24.6,16.07,15.3
1962,60.28,33.87,23.51,15.72,16.84
1965,72.24,38.71,28.78,18.21,18.88
1970,92.13,48.02,36.45,23.91,21.71
1975,97.64,49.47,36.77,25.55,24.2
1978,98.51,52.83,41.78,26.3,25.13
1980,103.0,54.2,40.94,26.83,25.77
1985,112.57,57.1,44.62,30.19,24.76
1990,113.95,57.44,37.52,29.69,21.91
1995,101.07,50.02,32.96,26.29,20.62
1996,99.29,50.97,32.11,26.06,20.02
1997,98.27,49.43,32.05,25.36,19.72
1998,98.79,48.67,31.9,24.73,19.05
1999,96.9,50.43,31.4,23.19,17.5
2000,95.34,49.76,30.17,22.16,16.32
2001,95.5,49.47,30.16,21.52,15.57
2002,94.36,49.37,30.2,21.29,15.33
2003,92.5,49.96,30.35,21.33,15.28
2004,90.48,49.24,30.6,22.3,14.98
2005,89.88,48.83,30.54,23.14,14.81
2006,88.59,48.52,30.92,22.73,16.14
2007,89.9,44.63,31.14,22.96,16.86
2008,89.76,43.87,33.1,22.6,16.61
2009,84.68,42.92,33.49,22.47,16.43
2010,74.88,42.42,33.68,22.5,16.94
2011,73.31,40.89,32.55,21.39,16.63
2012,70.82,39.74,31.61,21.21,16.16
2013,69.71,39.16,31.16,20.9,15.92
2014,68.7,38.78,30.7,20.85,15.73
