Name,Model,Unit,Value
Cold-formed unequal angle steel,∠25×15×2.0,kg/m,0.566
Cold-formed unequal angle steel,∠25×15×2.5,kg/m,0.688
Cold-formed unequal angle steel,∠25×15×3.0,kg/m,0.803
Cold-formed unequal angle steel,∠30×20×2.0,kg/m,0.723
Cold-formed unequal angle steel,∠30×20×2.5,kg/m,0.885
Cold-formed unequal angle steel,∠30×20×3.0,kg/m,1.039
Cold-formed unequal angle steel,∠35×20×2.0,kg/m,0.802
Cold-formed unequal angle steel,∠35×20×2.5,kg/m,0.983
Cold-formed unequal angle steel,∠35×20×3.0,kg/m,1.156
Cold-formed unequal angle steel,∠40×25×2.5,kg/m,1.179
Cold-formed unequal angle steel,∠40×25×3.0,kg/m,1.392
Cold-formed unequal angle steel,∠50×30×2.5,kg/m,1.473
Cold-formed unequal angle steel,∠50×30×3.0,kg/m,1.745
Cold-formed unequal angle steel,∠50×30×4.0,kg/m,2.266
Cold-formed unequal angle steel,∠60×40×2.5,kg/m,1.866
Cold-formed unequal angle steel,∠60×40×3.0,kg/m,2.216
Cold-formed unequal angle steel,∠60×40×4.0,kg/m,2.894
Cold-formed unequal angle steel,∠70×40×3.0,kg/m,2.452
Cold-formed unequal angle steel,∠70×40×4.0,kg/m,3.208
Cold-formed unequal angle steel,∠80×50×3.0,kg/m,2.923
Cold-formed unequal angle steel,∠80×50×4.0,kg/m,3.836
Cold-formed unequal angle steel,∠100×60×3.0,kg/m,3.629
Cold-formed unequal angle steel,∠100×60×4.0,kg/m,4.778
Cold-formed unequal angle steel,∠100×60×5.0,kg/m,5.895
Cold-formed unequal angle steel,∠120×80×4.0,kg/m,6.034
Cold-formed unequal angle steel,∠120×80×5.0,kg/m,7.465
Cold-formed unequal angle steel,∠120×80×6.0,kg/m,8.836
