Name,Model,Unit,Value
Hot-rolled round bar steel,Φ5.5,kg/m,0.186
Hot-rolled round bar steel,Φ6,kg/m,0.222
Hot-rolled round bar steel,Φ6.5,kg/m,0.26
Hot-rolled round bar steel,Φ7,kg/m,0.302
Hot-rolled round bar steel,Φ8,kg/m,0.395
Hot-rolled round bar steel,Φ9,kg/m,0.499
Hot-rolled round bar steel,Φ10,kg/m,0.617
Hot-rolled round bar steel,Φ11,kg/m,0.476
Hot-rolled round bar steel,Φ12,kg/m,0.888
Hot-rolled round bar steel,Φ13,kg/m,1.04
Hot-rolled round bar steel,Φ14,kg/m,1.21
Hot-rolled round bar steel,Φ15,kg/m,1.39
Hot-rolled round bar steel,Φ16,kg/m,1.58
Hot-rolled round bar steel,Φ17,kg/m,1.78
Hot-rolled round bar steel,Φ18,kg/m,2.0
Hot-rolled round bar steel,Φ19,kg/m,2.23
Hot-rolled round bar steel,Φ20,kg/m,2.47
Hot-rolled round bar steel,Φ21,kg/m,2.72
Hot-rolled round bar steel,Φ22,kg/m,2.98
Hot-rolled round bar steel,Φ23,kg/m,3.26
Hot-rolled round bar steel,Φ24,kg/m,3.55
Hot-rolled round bar steel,Φ25,kg/m,3.85
Hot-rolled round bar steel,Φ26,kg/m,4.17
Hot-rolled round bar steel,Φ27,kg/m,4.49
Hot-rolled round bar steel,Φ28,kg/m,4.83
Hot-rolled round bar steel,Φ29,kg/m,5.18
Hot-rolled round bar steel,Φ30,kg/m,5.55
Hot-rolled round bar steel,Φ31,kg/m,5.92
Hot-rolled round bar steel,Φ32,kg/m,6.31
Hot-rolled round bar steel,Φ33,kg/m,6.71
Hot-rolled round bar steel,Φ34,kg/m,7.13
Hot-rolled round bar steel,Φ35,kg/m,7.55
Hot-rolled round bar steel,Φ36,kg/m,7.99
Hot-rolled round bar steel,Φ38,kg/m,8.9
Hot-rolled round bar steel,Φ40,kg/m,9.86
Hot-rolled round bar steel,Φ42,kg/m,10.9
Hot-rolled round bar steel,Φ45,kg/m,12.5
Hot-rolled round bar steel,Φ48,kg/m,14.2
Hot-rolled round bar steel,Φ50,kg/m,15.4
Hot-rolled round bar steel,Φ53,kg/m,17.3
Hot-rolled round bar steel,Φ55,kg/m,18.6
Hot-rolled round bar steel,Φ56,kg/m,19.3
Hot-rolled round bar steel,Φ58,kg/m,20.7
Hot-rolled round bar steel,Φ60,kg/m,22.2
Hot-rolled round bar steel,Φ63,kg/m,24.5
Hot-rolled round bar steel,Φ65,kg/m,26.0
Hot-rolled round bar steel,Φ68,kg/m,28.5
Hot-rolled round bar steel,Φ70,kg/m,30.2
Hot-rolled round bar steel,Φ75,kg/m,34.7
Hot-rolled round bar steel,Φ80,kg/m,39.5
Hot-rolled round bar steel,Φ85,kg/m,44.5
Hot-rolled round bar steel,Φ90,kg/m,49.9
Hot-rolled round bar steel,Φ95,kg/m,55.6
Hot-rolled round bar steel,Φ100,kg/m,61.7
Hot-rolled round bar steel,Φ105,kg/m,68.0
Hot-rolled round bar steel,Φ110,kg/m,74.6
Hot-rolled round bar steel,Φ115,kg/m,81.5
Hot-rolled round bar steel,Φ120,kg/m,88.8
Hot-rolled round bar steel,Φ125,kg/m,96.3
Hot-rolled round bar steel,Φ130,kg/m,104.0
Hot-rolled round bar steel,Φ140,kg/m,121.0
Hot-rolled round bar steel,Φ150,kg/m,139.0
Hot-rolled round bar steel,Φ160,kg/m,158.0
Hot-rolled round bar steel,Φ170,kg/m,178.0
Hot-rolled round bar steel,Φ180,kg/m,200.0
Hot-rolled round bar steel,Φ190,kg/m,223.0
Hot-rolled round bar steel,Φ200,kg/m,247.0
Hot-rolled round bar steel,Φ220,kg/m,298.0
Hot-rolled round bar steel,Φ250,kg/m,385.0
