Name,Model,Unit,Value
Helical Rib Wire,5.0,kg/km,0.016
Helical Rib Wire,0.055,kg/km,0.019
Helical Rib Wire,0.063,kg/km,0.024
Helical Rib Wire,7.0,kg/km,2.9999
Helical Rib Wire,8.0,kg/km,0.039
Helical Rib Wire,8.999,kg/km,5.0
Helical Rib Wire,0.1,kg/km,0.062
Helical Rib Wire,0.11,kg/km,7.4999
Helical Rib Wire,0.12,kg/km,8.8999
Helical Rib Wire,0.14,kg/km,0.121
Helical Rib Wire,0.16,kg/km,0.158
Helical Rib Wire,0.179,kg/km,0.199
Helical Rib Wire,0.2,kg/km,0.246
Helical Rib Wire,0.22,kg/km,0.2979
Helical Rib Wire,0.25,kg/km,0.385
Helical Rib Wire,0.28,kg/km,0.4839
Helical Rib Wire,,kg/km,0.555
Helical Rib Wire,0.32,kg/km,0.631
Helical Rib Wire,0.35,kg/km,0.754
Helical Rib Wire,0.4,kg/km,0.9889
Helical Rib Wire,0.45,kg/km,1.248
Helical Rib Wire,0.5,kg/km,1.5389
Helical Rib Wire,0.55,kg/km,1.868
Helical Rib Wire,,kg/km,2.22
Helical Rib Wire,0.63,kg/km,2.47
Helical Rib Wire,0.7,kg/km,3.0209
Helical Rib Wire,0.8,kg/km,3.948
Helical Rib Wire,0.9,kg/km,4.993
Helical Rib Wire,1.0,kg/km,6.1619
Helical Rib Wire,1.1,kg/km,7.58
Helical Rib Wire,1.2,kg/km,8.878
Helical Rib Wire,1.4,kg/km,12.08
Helical Rib Wire,1.6,kg/km,15.79
Helical Rib Wire,1.8,kg/km,19.98
Helical Rib Wire,2.0,kg/km,24.66
Helical Rib Wire,2.2,kg/km,29.84
Helical Rib Wire,2.5,kg/km,38.539
Helical Rib Wire,2.8,kg/km,48.34
Helical Rib Wire,,kg/km,55.49
Helical Rib Wire,3.2,kg/km,63.13
Helical Rib Wire,3.5,kg/km,75.519
Helical Rib Wire,4.0,kg/km,98.67
Helical Rib Wire,4.5,kg/km,124.8
Helical Rib Wire,5.0,kg/km,154.2
Helical Rib Wire,5.5,kg/km,186.5
Helical Rib Wire,,kg/km,221.9
Helical Rib Wire,6.299,kg/km,244.7
Helical Rib Wire,7.0,kg/km,302.1
Helical Rib Wire,8.0,kg/km,394.6
Helical Rib Wire,9.0,kg/km,499.4
Helical Rib Wire,10.0,kg/km,616.5
Helical Rib Wire,11.0,kg/km,746.0
Helical Rib Wire,12.0,kg/km,887.8
Helical Rib Wire,14.0,kg/km,1208.1
Helical Rib Wire,16.0,kg/km,1578.6
Note:,,,
"1. The theoretical weight in the table is calculated based on a density of 7.85g/cm³. For special alloy wires, the corresponding grade's density should be used when calculating the theoretical weight.",,,
