交易日期,开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),开始日累计涨跌,开始日累计涨跌幅,成交量(万股),成交额(万元),持仓量
2024-07-08,1024.97,1024.99,996.47,998.77,-29.9,-2.91,-563.22,-36.06,42861.39,192126.28,
2024-07-05,1018.28,1032.14,1005.26,1028.68,8.19,0.8,-533.32,-34.14,46089.25,174923.91,
2024-07-04,1048.54,1051.74,1014.4,1020.48,-29.92,-2.85,-541.52,-34.67,63649.11,221379.0,
2024-07-03,1058.06,1061.83,1049.04,1050.4,-6.61,-0.63,-511.6,-32.75,58155.1,212991.72,
2024-07-02,1048.94,1063.38,1047.28,1057.01,10.18,0.97,-504.98,-32.33,42227.91,202941.81,
2024-07-01,1039.23,1048.19,1029.93,1046.83,10.97,1.06,-515.16,-32.98,44847.75,230281.67,
2024-06-28,1036.66,1051.13,1032.78,1035.86,-3.61,-0.35,-526.14,-33.68,57832.44,268561.61,
2024-06-27,1056.09,1065.08,1039.47,1039.47,-19.2,-1.81,-522.53,-33.45,54479.8,250651.39,
2024-06-26,1025.75,1059.36,1019.75,1058.67,33.68,3.29,-503.33,-32.22,66262.24,299995.15,
2024-06-25,1022.16,1034.09,1015.15,1024.99,-3.51,-0.34,-537.01,-34.38,73423.81,262390.93,
2024-06-24,1060.85,1060.85,1027.61,1028.5,-38.61,-3.62,-533.49,-34.15,71129.59,278258.91,
2024-06-21,1070.39,1078.21,1061.61,1067.11,-4.25,-0.4,-494.88,-31.68,49258.64,211855.8,
2024-06-20,1096.67,1098.02,1070.48,1071.37,-29.0,-2.64,-490.63,-31.41,50040.48,242427.52,
2024-06-19,1109.36,1113.02,1100.06,1100.37,-7.88,-0.71,-461.63,-29.55,38922.38,238242.88,
2024-06-18,1099.72,1109.76,1095.67,1108.25,9.08,0.83,-453.74,-29.05,36156.97,208671.86,
2024-06-17,1108.74,1111.32,1096.77,1099.18,-13.33,-1.2,-462.82,-29.63,43503.7,238460.53,
2024-06-14,1108.8,1115.69,1101.29,1112.51,2.75,0.25,-449.49,-28.78,56564.2,289900.79,
2024-06-13,1119.58,1125.35,1107.79,1109.76,-11.41,-1.02,-452.24,-28.95,50892.45,276833.39,
2024-06-12,1096.03,1123.83,1094.99,1121.17,23.1,2.1,-440.83,-28.22,47794.75,285343.27,
2024-06-11,1090.04,1099.78,1070.06,1098.07,4.71,0.43,-463.93,-29.7,46483.22,265903.31,
2024-06-07,1077.03,1096.7,1071.15,1093.36,30.62,2.88,-468.64,-30.0,52045.93,276708.82,
2024-06-06,1112.83,1119.9,1056.38,1062.74,-49.01,-4.41,-499.26,-31.96,62734.38,334209.84,
2024-06-05,1130.01,1130.4,1111.49,1111.75,-26.91,-2.36,-450.25,-28.82,49756.36,262608.67,
2024-06-04,1142.9,1142.9,1122.04,1138.67,-10.47,-0.91,-423.33,-27.1,49858.61,288321.0,
2024-06-03,1180.43,1180.43,1138.85,1149.14,-32.59,-2.76,-412.86,-26.43,61782.43,348309.8,
2024-05-31,1160.21,1184.7,1159.66,1181.72,23.21,2.0,-380.27,-24.35,57287.67,396887.61,
2024-05-30,1169.77,1174.47,1157.06,1158.52,-16.87,-1.44,-403.48,-25.83,49447.54,297167.99,
2024-05-29,1179.12,1190.34,1168.94,1175.39,-4.34,-0.37,-386.61,-24.75,40967.23,302157.5,
2024-05-28,1192.94,1195.75,1177.88,1179.73,-17.25,-1.44,-382.27,-24.47,47612.63,317453.74,
2024-05-27,1195.55,1200.36,1177.83,1196.98,10.19,0.86,-365.01,-23.37,50163.78,351700.68,
2024-05-24,1200.14,1208.62,1186.46,1186.8,-18.3,-1.52,-375.2,-24.02,48699.59,307722.81,
2024-05-23,1233.22,1233.22,1203.56,1205.1,-33.77,-2.73,-356.9,-22.85,72568.32,403688.04,
2024-05-22,1228.45,1241.56,1225.9,1238.87,6.78,0.55,-323.13,-20.69,82715.84,431926.55,
2024-05-21,1224.43,1236.06,1219.44,1232.09,0.22,0.02,-329.91,-21.12,71106.12,438484.59,
2024-05-20,1233.61,1241.05,1226.64,1231.87,3.53,0.29,-330.13,-21.14,88919.38,443691.54,
2024-05-17,1210.89,1229.34,1201.26,1228.34,14.58,1.2,-333.66,-21.36,89454.48,421637.59,
2024-05-16,1196.73,1221.24,1195.47,1213.75,18.15,1.52,-348.24,-22.29,76685.96,396290.42,
2024-05-15,1204.32,1215.55,1194.07,1195.6,-3.68,-0.31,-366.4,-23.46,60624.68,369334.42,
2024-05-14,1175.96,1203.19,1175.96,1199.28,30.38,2.6,-362.72,-23.22,46735.72,349509.39,
