3-1全国分年龄、性别的人口-年龄,3-1全国分年龄、性别的人口-单位：人、%-人口数,3-1全国分年龄、性别的人口-单位：人、%-人口数.1,3-1全国分年龄、性别的人口-单位：人、%-人口数.2,3-1全国分年龄、性别的人口-单位：人、%-占总人口比重,3-1全国分年龄、性别的人口-单位：人、%-占总人口比重.1,3-1全国分年龄、性别的人口-单位：人、%-占总人口比重.2,3-1全国分年龄、性别的人口-单位：人、%-性别比
年  龄,合计,男,女,合计,男,女,(女=100)
,,,,,,,
总  计,1409778724,721416394,688362330,100,51,49,105
,,,,,,,
0-4岁,77883888,40969331,36914557,6,3,3,111
0,11988057,6312409,5675648,1,0,0,111
1,14383791,7559981,6823810,1,1,0,111
2,15266778,8020423,7246355,1,1,1,111
3,18418078,9670005,8748073,1,1,1,111
4,17827184,9406513,8420671,1,1,1,112
,,,,,,,
5-9岁,90244056,48017458,42226598,6,3,3,114
5,16547271,8765848,7781423,1,1,1,113
6,18591806,9881523,8710283,1,1,1,113
7,17963157,9548981,8414176,1,1,1,113
8,19353752,10317678,9036074,1,1,1,114
9,17788070,9503428,8284642,1,1,1,115
,,,,,,,
10-14岁,85255994,45606790,39649204,6,3,3,115
10,17347565,9285412,8062153,1,1,1,115
11,17695044,9462024,8233020,1,1,1,115
12,17356919,9279079,8077840,1,1,1,115
13,16677054,8920655,7756399,1,1,1,115
14,16179412,8659620,7519792,1,1,1,115
,,,,,,,
15-19岁,72684140,39053343,33630797,5,3,2,116
15,15323224,8225995,7097229,1,1,1,116
16,15218156,8195908,7022248,1,1,1,117
17,13730626,7401041,6329585,1,1,0,117
18,14043179,7560195,6482984,1,1,0,117
19,14368955,7670204,6698751,1,1,0,115
,,,,,,,
20-24岁,74941675,39675995,35265680,5,3,3,113
20,14563347,7742857,6820490,1,1,0,114
21,13935509,7389412,6546097,1,1,0,113
22,15249809,8078183,7171626,1,1,1,113
23,15325970,8103460,7222510,1,1,1,112
24,15867040,8362083,7504957,1,1,1,111
,,,,,,,
25-29岁,91847332,48162270,43685062,7,3,3,110
25,17146447,9042474,8103973,1,1,1,112
26,16826988,8845171,7981817,1,1,1,111
27,18298935,9588428,8710507,1,1,1,110
28,19060645,9975395,9085250,1,1,1,110
29,20514317,10710802,9803515,1,1,1,109
30-34岁,124145190,63871808,60273382,9,5,4,106
30,25973082,13463923,12509159,2,1,1,108
31,25451203,13094627,12356576,2,1,1,106
32,24037711,12335076,11702635,2,1,1,105
33,25946853,13315974,12630879,2,1,1,105
34,22736341,11662208,11074133,2,1,1,105
,,,,,,,
35-39岁,99012932,50932037,48080895,7,4,3,106
35,19586332,10077433,9508899,1,1,1,106
36,19499941,10034259,9465682,1,1,1,106
37,19063741,9815714,9248027,1,1,1,106
38,21799284,11217120,10582164,2,1,1,106
39,19063634,9787511,9276123,1,1,1,106
,,,,,,,
40-44岁,92955330,47632694,45322636,7,3,3,105
40,17540717,8997291,8543426,1,1,1,105
41,19339617,9934985,9404632,1,1,1,106
42,18564211,9492205,9072006,1,1,1,105
43,17758286,9097039,8661247,1,1,1,105
44,19752499,10111174,9641325,1,1,1,105
,,,,,,,
45-49岁,114224887,58191686,56033201,8,4,4,104
45,20259918,10335133,9924785,1,1,1,104
46,22208985,11305313,10903672,2,1,1,104
47,23233417,11844299,11389118,2,1,1,104
48,23862010,12147117,11714893,2,1,1,104
49,24660557,12559824,12100733,2,1,1,104
,,,,,,,
50-54岁,121164296,61105470,60058826,9,4,4,102
50,26062036,13149971,12912065,2,1,1,102
51,24444570,12342864,12101706,2,1,1,102
52,26105080,13149508,12955572,2,1,1,102
53,20959668,10539231,10420437,1,1,1,101
54,23592942,11923896,11669046,2,1,1,102
,,,,,,,
55-59岁,101400786,50816026,50584760,7,4,4,100
55,23106155,11648724,11457431,2,1,1,102
56,22559346,11301683,11257663,2,1,1,100
57,26044142,13130492,12913650,2,1,1,102
58,19132096,9562232,9569864,1,1,1,100
59,10559047,5172895,5386152,1,0,0,96
,,,,,,,
60-64岁,73382938,36871125,36511813,5,3,3,101
60,12899885,6442344,6457541,1,0,0,100
61,12135959,6148108,5987851,1,0,0,103
62,15464277,7832019,7632258,1,1,1,103
63,17232007,8678055,8553952,1,1,1,101
64,15650810,7770599,7880211,1,1,1,99
,,,,,,,
65-69岁,74005560,36337923,37667637,5,3,3,96
65,16295105,8101750,8193355,1,1,1,99
66,16248455,8003803,8244652,1,1,1,97
67,14620318,7147712,7472606,1,1,1,96
68,14550479,7115265,7435214,1,1,1,96
69,12291203,5969393,6321810,1,0,0,94
,,,,,,,
70-74岁,49590036,24162733,25427303,4,2,2,95
70,11600773,5667080,5933693,1,0,0,96
71,11228645,5539299,5689346,1,0,0,97
72,9552234,4640378,4911856,1,0,0,94
73,9046226,4399581,4646645,1,0,0,95
74,8162158,3916395,4245763,1,0,0,92
,,,,,,,
75-79岁,31238849,14752433,16486416,2,1,1,89
75,7179399,3414021,3765378,1,0,0,91
76,6818961,3265307,3553654,0,0,0,92
77,6019552,2835339,3184213,0,0,0,89
78,5672036,2657484,3014552,0,0,0,88
79,5548901,2580282,2968619,0,0,0,87
,,,,,,,
80-84岁,20382878,9157003,11225875,1,1,1,82
80,4919088,2271741,2647347,0,0,0,86
81,4139582,1869035,2270547,0,0,0,82
82,4242478,1914824,2327654,0,0,0,82
83,3711083,1645840,2065243,0,0,0,80
84,3370647,1455563,1915084,0,0,0,76
,,,,,,,
85-89岁,10826530,4426091,6400439,1,0,0,69
85,2909233,1213783,1695450,0,0,0,72
86,2518664,1034635,1484029,0,0,0,70
87,2285081,935469,1349612,0,0,0,69
88,1724439,687799,1036640,0,0,0,66
89,1389113,554405,834708,0,0,0,66
,,,,,,,
90-94岁,3652749,1367594,2285155,0,0,0,60
90,1216116,476404,739712,0,0,0,64
91,843235,315634,527601,0,0,0,60
92,712963,262078,450885,0,0,0,58
93,511539,183520,328019,0,0,0,56
94,368896,129958,238938,0,0,0,54
,,,,,,,
95-99岁,819812,271455,548357,0,0,0,50
95,289772,98355,191417,0,0,0,51
96,206218,68067,138151,0,0,0,49
97,143736,46250,97486,0,0,0,47
98,100616,32835,67781,0,0,0,48
99,79470,25948,53522,0,0,0,48
,,,,,,,
100岁及以上,118866,35129,83737,0,0,0,42
