1-1-60全国按性别、年龄和受教育程度分的住户林业劳动力数量-分组,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合  计,2437194.0,188714.0,1002770.0,1075578.0,151048.0,19084.0
16-20岁,122846.0,2488.0,31886.0,81126.0,6970.0,376.0
21-30岁,376443.0,11315.0,105095.0,227030.0,27125.0,5878.0
31-40岁,634041.0,25138.0,223882.0,343732.0,34452.0,6837.0
41-50岁,608095.0,34750.0,232486.0,276651.0,60333.0,3875.0
51-60岁,468600.0,55257.0,276473.0,116883.0,18446.0,1541.0
60岁以上,227169.0,59766.0,132948.0,30156.0,3722.0,577.0
男,1427341.0,76840.0,558377.0,669694.0,107918.0,14512.0
16-20岁,73411.0,1117.0,18263.0,49559.0,4246.0,226.0
21-30岁,213557.0,4550.0,55369.0,132571.0,17237.0,3830.0
31-40岁,353520.0,9535.0,111096.0,203667.0,23941.0,5281.0
41-50岁,343215.0,11372.0,113386.0,171744.0,43451.0,3262.0
51-60岁,288758.0,20732.0,164001.0,86992.0,15651.0,1382.0
60岁以上,154880.0,29534.0,96262.0,25161.0,3392.0,531.0
女,1009853.0,111874.0,444393.0,405884.0,43130.0,4572.0
16-20岁,49435.0,1371.0,13623.0,31567.0,2724.0,150.0
21-30岁,162886.0,6765.0,49726.0,94459.0,9888.0,2048.0
31-40岁,280521.0,15603.0,112786.0,140065.0,10511.0,1556.0
41-50岁,264880.0,23378.0,119100.0,104907.0,16882.0,613.0
51-60岁,179842.0,34525.0,112472.0,29891.0,2795.0,159.0
60岁以上,72289.0,30232.0,36686.0,4995.0,330.0,46.0
