1-1-56全国按经营耕地规模和从业时间分的农业生产经营单位农业从业人员数量-名称,年末从业人员数(人),从业6个月以上人员数(人),Unnamed: 3,其他从业人员从业时间,Unnamed: 5
,,,女工,从业总时间(天),从业折算时间(人.年)
,,,,,
合    计,6824418.0,5912344.0,1877636,180998058,603327
0亩,4070976.0,3522788.0,969234,101016098,336720
0.1-5亩,82596.0,71439.0,24394,2250806,7503
5.1-10亩,44394.0,38142.0,13043,1514759,5049
10.1-15亩,25954.0,22547.0,7686,834167,2781
15.1-20亩,32823.0,28500.0,9905,1012098,3374
20.1-25亩,13807.0,12061.0,4174,431385,1438
25.1-30亩,27749.0,24225.0,8342,845778,2819
30.1-35亩,12078.0,10489.0,3777,373097,1244
35.1-40亩,20851.0,18342.0,6842,714802,2383
40.1-45亩,10232.0,8679.0,2954,336655,1122
45.1-50亩,33376.0,28591.0,9201,901684,3006
50.1-55亩,8038.0,7002.0,3007,310050,1034
55.1-60亩,18870.0,16429.0,6514,590775,1969
60.1-65亩,8837.0,7698.0,2930,222830,743
65.1-70亩,13407.0,11936.0,4358,467010,1557
70.1-75亩,8363.0,7443.0,2861,228799,763
75.1-80亩,20253.0,16918.0,6633,636185,2121
80.1-85亩,6045.0,5377.0,1879,195818,653
85.1-90亩,11979.0,10579.0,3886,279465,932
90.1-95亩,3313.0,2830.0,1014,175483,585
95.1-100亩,31314.0,26752.0,9612,1096083,3654
100.1-150亩,91777.0,79613.0,30312,3363307,11211
150.1-200亩,84113.0,72840.0,26451,2966037,9887
200.1-250亩,54570.0,47488.0,18044,1935446,6451
250.1-300亩,61170.0,53219.0,18198,2225848,7419
300.1-400亩,94082.0,81556.0,31181,3049858,10166
400.1-500亩,73385.0,62487.0,23061,2534495,8448
500.1-1000亩,219378.0,181433.0,69848,7228904,24096
1000.1-5000亩,558005.0,490177.0,184687,16528561,55095
5000亩以上,1082683.0,944764.0,85250,26731775,
