3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-项目-项目-项目-项目-项目-项目,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-Item-Item-Item-Item-Item-Item,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-年末人数-(千人)-Year-end-Figures-(1000-persons),3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-#女性-Female,3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-工资总额-(亿元)-Total-Wages-(100million-yuan),3-1分行业城镇单位就业人员和工资总额(2016年)-URBANUNITSEMPLOYMENTANDTOTALWAGESBYSECTOR(2016)-平均工资-(元)-Average-Wage-(yuan)
,,,,,
全国总计,National Total,178881.0,65176.0,120075.0,67569.0
农、林、牧、渔业,"Agriculture, Forestry, Animal Husbandry and Fishery",2632.0,935.0,882.0,33612.0
农业,Farming,1553.0,610.0,466.0,29796.0
林业,Forestry,622.0,174.0,213.0,35234.0
畜牧业,Animal Husbandry,150.0,57.0,48.0,32250.0
渔业,Fishery,32.0,8.0,14.0,45016.0
农、林、牧、渔服务业,Service in Support of Agriculture,274.0,85.0,140.0,51331.0
采矿业,Mining,4909.0,929.0,3038.0,60544.0
煤炭开采和洗选业,Mining and Washing of Coal,3307.0,511.0,1892.0,55575.0
石油和天然气开采业,Extraction of Petroleum and Natural Gas,689.0,222.0,611.0,87400.0
黑色金属矿采选业,Mining and Processing of Ferrous Metal Ores,209.0,35.0,114.0,53665.0
有色金属矿采选业,Mining and Processing of Non-Ferrous Metal Ores,239.0,46.0,122.0,50528.0
非金属矿采选业,Mining and Processing of Non-metal Ores,180.0,40.0,87.0,48051.0
开采辅助活动,Support Activities for Mining,283.0,74.0,212.0,75899.0
其他采矿业,Mining of Other Ores,2.0,,1.0,51293.0
制造业,Manufacturing,48938.0,19253.0,29089.0,59470.0
农副食品加工业,Processing of Food from Agricultural Products,1795.0,754.0,820.0,46312.0
食品制造业,Manufacture of Foods,1238.0,602.0,643.0,52823.0
酒、饮料和精制茶制造业,"Manufacture of Liquor, Beverages and Refined Tea",993.0,376.0,536.0,53441.0
烟草制品业,Manufacture of Tobacco,211.0,70.0,294.0,142109.0
纺织业,Manufacture of Textile,1949.0,1155.0,903.0,46579.0
纺织服装、服饰业,"Manufacture of Textile, Wearing Apparel and Accessories",2381.0,1624.0,1126.0,46940.0
皮革、毛皮、羽毛及其制品和,"Manufacture of Leather, Fur, Feather and Related Products",1533.0,910.0,691.0,44525.0
制鞋业,and Footwear,,,,
木材加工和木、竹、藤、棕、,"Processing of Timber, Manufacture of Wood, Bamboo, Rattan,",391.0,154.0,168.0,43576.0
草制品业,Palm and Straw Products,,,,
家具制造业,Manufacture of Furniture,557.0,196.0,284.0,51654.0
造纸及纸制品业,Manufacture of Paper and Paper Products,655.0,239.0,349.0,52672.0
印刷和记录媒介复制业,Printing and Reproduction of Recording Media,587.0,252.0,319.0,54208.0
文教、工美、体育和娱乐用品,"Manufacture of Articles for Culture, Education, Arts and Crafts,",1269.0,728.0,606.0,46747.0
制造业,Sport and Entertainment Activities,,,,
石油加工、炼焦和核燃料,"Processing of Petroleum, Coking and Processing of Nuclear Fuel",643.0,173.0,466.0,71710.0
加工业,,,,,
化学原料和化学制品制造业,Manufacture of Raw Chemical Materials and Chemical Products,2613.0,792.0,1632.0,62324.0
