"7-1PopulationofPeoplewithHouseholdRegistrationinOtherTownshipsandStreetsClassifiedbyCurrentPlaceofResidence,PlaceofHouseholdRegistration,andGenderNationwide-CurrentPlaceofResidence-CurrentPlaceofResidence-CurrentPlaceofResidence-CurrentPlaceofResidence",householdregistrationlocation-Total-Total-Total,householdregistrationlocation-Total-Total-Male,householdregistrationlocation-Total-Total-Female,householdregistrationlocation-Province-Province-Subtotal,householdregistrationlocation-Province-Province-Male,householdregistrationlocation-Province-Province-Female,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Subtotal,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Male,householdregistrationlocation-Householdregistrationseparationwithinthemunicipaldistrict-Female,householdregistrationlocation-In-provincemigrantpopulation-Subtotal,householdregistrationlocation-In-provincemigrantpopulation-Male,householdregistrationlocation-In-provincemigrantpopulation-Female,householdregistrationlocation-Out-of-province-Out-of-province-Subtotal,householdregistrationlocation-Out-of-province-Out-of-province-Male,Unit:Person-householdregistrationlocation-Out-of-province-Out-of-province-Female
,,,,,,,,,,,,,,,
Whole Country,492762506.0,255896268.0,236866238.0,367925353.0,184207146.0,183718207.0,116945747.0,57200933.0,59744814.0,250979606.0,127006213.0,123973393.0,124837153.0,71689122.0,53148031.0
,,,,,,,,,,,,,,,
Beijing,13409576.0,6977849.0,6431727.0,4991158.0,2432369.0,2558789.0,4991158.0,2432369.0,2558789.0,0.0,0.0,0.0,8418418.0,4545480.0,3872938.0
Tianjin,6479695.0,3455513.0,3024182.0,2944879.0,1433504.0,1511375.0,2944879.0,1433504.0,1511375.0,0.0,0.0,0.0,3534816.0,2022009.0,1512807.0
Hebei,19775641.0,9923785.0,9851856.0,16620369.0,8158858.0,8461511.0,4442713.0,2147690.0,2295023.0,12177656.0,6011168.0,6166488.0,3155272.0,1764927.0,1390345.0
Shanxi,12891174.0,6655644.0,6235530.0,11270656.0,5658930.0,5611726.0,3217374.0,1581277.0,1636097.0,8053282.0,4077653.0,3975629.0,1620518.0,996714.0,623804.0
Inner Mongolia,11462961.0,5858767.0,5604194.0,9776541.0,4855871.0,4920670.0,2394517.0,1170223.0,1224294.0,7382024.0,3685648.0,3696376.0,1686420.0,1002896.0,683524.0
,,,,,,,,,,,,,,,
Liaoning,15670121.0,7760506.0,7909615.0,12822813.0,6245740.0,6577073.0,5676890.0,2758248.0,2918642.0,7145923.0,3487492.0,3658431.0,2847308.0,1514766.0,1332542.0
Jilin,10350683.0,5033163.0,5317520.0,9349212.0,4519863.0,4829349.0,2399266.0,1153355.0,1245911.0,6949946.0,3366508.0,3583438.0,1001471.0,513300.0,488171.0
Heilongjiang,11549584.0,5721373.0,5828211.0,10720408.0,5273154.0,5447254.0,3067675.0,1501822.0,1565853.0,7652733.0,3771332.0,3881401.0,829176.0,448219.0,380957.0
,,,,,,,,,,,,,,,
Shanghai,15134258.0,8036541.0,7097717.0,4654606.0,2247450.0,2407156.0,4654606.0,2247450.0,2407156.0,0.0,0.0,0.0,10479652.0,5789091.0,4690561.0
Jiangsu,29979948.0,15793646.0,14186302.0,19671338.0,9902505.0,9768833.0,6316191.0,3052541.0,3263650.0,13355147.0,6849964.0,6505183.0,10308610.0,5891141.0,4417469.0
Zhejiang,30107815.0,16424000.0,13683815.0,13921361.0,6954151.0,6967210.0,4550365.0,2203266.0,2347099.0,9370996.0,4750885.0,4620111.0,16186454.0,9469849.0,6716605.0
Anhui,18099918.0,9098260.0,9001658.0,16549409.0,8225763.0,8323646.0,4227612.0,2051466.0,2176146.0,12321797.0,6174297.0,6147500.0,1550509.0,872497.0,678012.0
Fujian,16464611.0,8798376.0,7666235.0,11574735.0,5950257.0,5624478.0,2803364.0,1374494.0,1428870.0,8771371.0,4575763.0,4195608.0,4889876.0,2848119.0,2041757.0
Jiangxi,13520934.0,7004148.0,6516786.0,12241920.0,6272613.0,5969307.0,3886904.0,1962289.0,1924615.0,8355016.0,4310324.0,4044692.0,1279014.0,731535.0,547479.0
Shandong,28026762.0,14417484.0,13609278.0,23897755.0,12038008.0,11859747.0,7283477.0,3583179.0,3700298.0,16614278.0,8454829.0,8159449.0,4129007.0,2379476.0,1749531.0
,,,,,,,,,,,,,,,
Henan,25639605.0,12993565.0,12646040.0,24365959.0,12268323.0,12097636.0,4437885.0,2165129.0,2272756.0,19928074.0,10103194.0,9824880.0,1273646.0,725242.0,548404.0
Hubei,18476561.0,9425843.0,9050718.0,16226947.0,8202406.0,8024541.0,5712376.0,2840088.0,2872288.0,10514571.0,5362318.0,5152253.0,2249614.0,1223437.0,1026177.0
