7-1-50全国农村按乡村类型分的常住户登记人口参加社会保障的人数比重-分组,单位：%-参加农村社会养老保险,参加农村新型合作医疗,参加城镇基本养老保险,得到过集体养老金
,,,,
合    计,2.0,57.0,1.0,1.0
一、按社区类型分,,,,
村委会,2.0,57.0,1.0,1.0
居委会,6.0,58.0,5.0,2.0
二、按地势分,,,,
平原,3.0,59.0,2.0,1.0
丘陵,2.0,58.0,1.0,0.0
山区,1.0,54.0,0.0,0.0
三、按贫困村类型分,,,,
贫困村,1.0,54.0,0.0,0.0
省定贫困村,1.0,51.0,0.0,0.0
省以下定贫困村,2.0,59.0,1.0,0.0
非贫困村,3.0,58.0,1.0,1.0
四、按是否少数民族聚居村分,,,,
是,1.0,52.0,0.0,0.0
否,3.0,58.0,1.0,1.0
五、按所在乡镇类型分,,,,
乡,1.0,52.0,0.0,0.0
镇,3.0,59.0,1.0,1.0
街道,6.0,60.0,4.0,2.0
农场,9.0,51.0,7.0,2.0
六、按所在乡镇是否县政府驻地分,,,,
是,3.0,56.0,2.0,1.0
否,2.0,57.0,1.0,1.0
七、按所在乡镇是否民族乡镇分,,,,
是,1.0,54.0,0.0,0.0
否,2.0,57.0,1.0,1.0
八、按所在乡镇是否老区分,,,,
是,3.0,59.0,1.0,1.0
否,2.0,57.0,1.0,1.0
九、按所在乡镇是否边区分,,,,
是,1.0,50.0,0.0,0.0
否,2.0,58.0,1.0,1.0
