8-7全国分年龄、性别、主要生活来源的人口-年龄-年龄,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-合计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-15岁及以上人口-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-劳动收入-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-离退休金/养老金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-最低生活保障金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-失业保险金-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-财产性收入-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-家庭其他成员供养-女,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-小计,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-男,8-7全国分年龄、性别、主要生活来源的人口-单位：人-其他-女
,,,,,,,,,,,,,,,,,,,,,,,,
总  计,114261590.0,57861957.0,56399633.0,66173046.0,39351185.0,26821861.0,11525075.0,5004420.0,6520655.0,1752313.0,979954.0,772359.0,41948.0,24489.0,17459.0,881568.0,467538.0,414030.0,27940394.0,9182235.0,18758159.0,5947246.0,2852136.0,3095110.0
,,,,,,,,,,,,,,,,,,,,,,,,
45岁以下,55545868.0,28769662.0,26776206.0,37675681.0,21753109.0,15922572.0,2985.0,1446.0,1539.0,253745.0,145913.0,107832.0,20884.0,10722.0,10162.0,317647.0,163621.0,154026.0,14503411.0,5362440.0,9140971.0,2771515.0,1332411.0,1439104.0
,,,,,,,,,,,,,,,,,,,,,,,,
45-49岁,11286279.0,5774455.0,5511824.0,9064701.0,5199419.0,3865282.0,73077.0,3808.0,69269.0,114559.0,68701.0,45858.0,10058.0,4501.0,5557.0,109563.0,56353.0,53210.0,1338672.0,173864.0,1164808.0,575649.0,267809.0,307840.0
45,2006712.0,1029558.0,977154.0,1647180.0,935842.0,711338.0,4931.0,375.0,4556.0,18542.0,10976.0,7566.0,1510.0,727.0,783.0,18543.0,9497.0,9046.0,217538.0,26305.0,191233.0,98468.0,45836.0,52632.0
46,2197494.0,1123949.0,1073545.0,1790803.0,1017936.0,772867.0,7761.0,471.0,7290.0,21213.0,12634.0,8579.0,1657.0,816.0,841.0,20648.0,10631.0,10017.0,245693.0,30401.0,215292.0,109719.0,51060.0,58659.0
47,2298050.0,1176498.0,1121552.0,1854060.0,1060223.0,793837.0,11545.0,709.0,10836.0,23332.0,13943.0,9389.0,1971.0,886.0,1085.0,22132.0,11459.0,10673.0,267456.0,34637.0,232819.0,117554.0,54641.0,62913.0
48,2354836.0,1202544.0,1152292.0,1874814.0,1078545.0,796269.0,16721.0,942.0,15779.0,24829.0,14981.0,9848.0,2291.0,966.0,1325.0,23566.0,12101.0,11465.0,290335.0,38273.0,252062.0,122280.0,56736.0,65544.0
