8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-资料来源：世界银行WDI数据库。-Source:WorldBankWDIDatabase.-单位：%-国家或地区,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-CountryorArea,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2000,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2005,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2010,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2015,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2019,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-2020,8-14标准普尔全球股票指数(年变化率)-S&PGlobalEquityIndices(Annual%Change)-(%)-2021
,,,,,,,,
中    国,China,(10),13,7,(6),19,28,(21)
中国香港,"Hong Kong SAR, China",(13),8,21,(5),5,5,(7)
孟加拉国,Bangladesh,28,(28),38,(5),(18),24,21
印    度,India,(31),34,19,(4),6,16,30
印度尼西亚,Indonesia,(61),9,38,(23),7,(10),(2)
以 色 列,Israel,9,23,7,5,18,17,20
日    本,Japan,(35),23,10,9,18,16,5
哈萨克斯坦,Kazakhstan,,,(1),(48),0,7,60
韩    国,"Korea, Rep.",(57),59,25,(5),7,44,(7)
马来西亚,Malaysia,(23),(3),35,(21),(1),4,(8)
巴基斯坦,Pakistan,(17),58,15,(12),(7),(8),(15)
菲 律 宾,Philippines,(44),21,57,(11),8,(3),(4)
新 加 坡,Singapore,(26),10,18,(19),14,5,9
斯里兰卡,Sri Lanka,(42),29,85,(19),(4),(7),35
泰    国,Thailand,(54),4,52,(23),12,(9),2
越    南,Viet Nam,,,0,(7),4,18,37
埃    及,Egypt,(46),158,12,(28),25,(22),14
尼日利亚,Nigeria,,21,20,(27),(20),9,0
南    非,South Africa,(17),25,32,(27),9,(7),5
加 拿 大,Canada,4,26,22,(26),25,4,23
墨 西 哥,Mexico,(21),44,27,(15),10,(4),17
美    国,United States,(10),3,13,(1),29,16,27
阿 根 廷,Argentina,(25),45,55,(10),32,123,(18)
巴    西,Brazil,(10),48,7,(44),26,(19),(25)
委内瑞拉,Venezuela,19,(22),,,,,
捷    克,Czech Rep.,(1),44,0,(13),(1),(4),44
法    国,France,(7),8,(10),9,26,(7),29
德    国,Germany,(13),10,7,10,25,4,16
意 大 利,Italy,(2),(0),(17),3,25,3,15
荷    兰,Netherlands,(7),11,1,1,31,27,27
波    兰,Poland,(4),21,11,(23),(6),(5),12
俄 罗 斯,Russia,(32),65,22,1,42,(13),15
西 班 牙,Spain,(18),3,(25),(17),9,(8),(0)
土 耳 其,Turkey,(51),49,21,(32),12,(1),(30)
乌 克 兰,Ukraine,75,53,54,1,(12),26,13
英    国,United Kingdom,(17),5,5,(5),12,(14),14
澳大利亚,Australia,(9),12,12,(13),18,10,9
新 西 兰,New Zealand,(27),(3),5,(5),31,26,(12)
