山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-指标-指标-指标-指标,山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-Item-Item-Item-Item,山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第一次人口普查TheFirst(1953.7.1)-第一次人口普查TheFirst(1953.7.1)-第一次人口普查TheFirst(1953.7.1)-第一次人口普查TheFirst(1953.7.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第二次人口普查TheSecond(1964.7.1)-第二次人口普查TheSecond(1964.7.1)-第二次人口普查TheSecond(1964.7.1)-第二次人口普查TheSecond(1964.7.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第三次人口普查TheThird(1982.7.1)-第三次人口普查TheThird(1982.7.1)-第三次人口普查TheThird(1982.7.1)-第三次人口普查TheThird(1982.7.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第四次人口普查TheFourth(1990.7.1)-第四次人口普查TheFourth(1990.7.1)-第四次人口普查TheFourth(1990.7.1)-第四次人口普查TheFourth(1990.7.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第五次人口普查TheFifth(2000.11.1)-第五次人口普查TheFifth(2000.11.1)-第五次人口普查TheFifth(2000.11.1)-第五次人口普查TheFifth(2000.11.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第六次人口普查TheSixth(2010.11.1)-第六次人口普查TheSixth(2010.11.1)-第六次人口普查TheSixth(2010.11.1)-第六次人口普查TheSixth(2010.11.1),山东省七次人口普查主要数据-MajorDataofAllPreviousProvincialPopulationCensus-第七次人口普查TheSeventh(2020.11.1)-第七次人口普查TheSeventh(2020.11.1)-第七次人口普查TheSeventh(2020.11.1)-第七次人口普查TheSeventh(2020.11.1)
,,,,,,,,
一、总人口      (万人),Total                                          (10 000 persons),4888.0,5550.0,7442.0,8439.0,8997.0,9579.0,10153.0
按性别分,By Sexual,,,,,,,
男,Male,2431.0,2790.0,3774.0,4291.0,4554.0,4845.0,5143.0
女,Female,2457.0,2759.0,3668.0,4148.0,4443.0,4735.0,5009.0
二、总户数      (万户),Total Households                          (10 000 units),1110.0,1277.0,1739.0,2198.0,2732.0,3079.0,3705.0
家庭户      (万户),Households                                  (10 000 units),0.0,0.0,1734.0,2187.0,2671.0,3011.0,3518.0
平均家庭户规模(人),Average Household Size                      (person),,,4.0,4.0,3.0,3.0,3.0
三、民  族,Nationalities,,,,,,,
民族个数      (个),The number of Nationalities                     (unit),17.0,32.0,39.0,54.0,56.0,56.0,56.0
汉族人口    (万人),Total Population of  Han,4862.0,5520.0,7401.0,8389.0,8934.0,9507.0,10062.0
,Nationality                              (10 000 persons),,,,,,,
少数民族人口(万人),Total Population of Minority,25.0,30.0,41.0,51.0,63.0,73.0,90.0
,Nationalities                            (10 000 persons),,,,,,,
四、市镇人口   (万人),Population of City and Town  (10 000 persons),358.0,718.0,1419.0,2308.0,3433.0,4762.0,6401.0
五、平均预期寿命 (岁),Life Expectancy                                  (year old),,,69.0,71.0,74.0,76.0,79.0
六、各种文化程度人口,Population by Education,,,,,,,
大  学      (万人),University and Above               (10 000 persons),,,26.0,82.0,300.0,833.0,1460.0
高  中      (万人),Senior Middle Schools              (10 000 persons),,,439.0,603.0,995.0,1332.0,1455.0
初  中      (万人),Junior Middle Schools              (10 000 persons),,,1317.0,2125.0,3297.0,3847.0,3632.0
小  学      (万人),Primary Schools                        (10 000 persons),,,2511.0,3061.0,2947.0,2391.0,2405.0
文盲半文盲  (万人),Illiterate or Semiliterate             (10 000 persons),,,2046.0,1426.0,765.0,476.0,331.0
七、6岁及以上人口平均,Years of education of Population,,,5.0,6.0,8.0,9.0,9.0
受教育年限   (年),Aged 6 and Over                                      (year),,,,,,,
八、就业人口   (万人),Economically Active Population(10 000 persons),,,4010.0,5077.0,5477.0,5902.0,5510.0
