各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023)-单位:家,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023),各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).1,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).2,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).3,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).4,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).5,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).6,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).7,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).8,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023).9,各市证券期货市场基本情况(2023年)-BasicSituationofSecuritiesandFuturesMarketsbyRegion(2023)-(unit)
地  区,Region,"上市公司

Number of
Listed 
Companies","拟上市公司
Number of
Listed 
Companies 
in plan","新三板挂牌公司   
Number of
 New third 
board Listed
 Companies","证券公司  

No.of
Securities
Companies","证券公司
分公司   
No.of  Branches 
of  Securities
 Companies","证券公司
营业部
 No. of  Securities
 Business
 Department","期货公司

No. of  Futures
 Broker
 Companies","期货公司
分公司
No. of  Branches
 of Futures Broker
 Companies","期货公司
营业部   
No. of  Trading 
Offices of  Futures 
Broker Companies","私募基金
管理人 
No. of  Private
 investment 
fund managers"
地  区,Region,"上市公司

Number of
Listed 
Companies","拟上市公司
Number of
Listed 
Companies 
in plan","新三板挂牌公司   
Number of
 New third 
board Listed
 Companies","证券公司  

No.of
Securities
Companies","证券公司
分公司   
No.of  Branches 
of  Securities
 Companies","证券公司
营业部
 No. of  Securities
 Business
 Department","期货公司

No. of  Futures
 Broker
 Companies","期货公司
分公司
No. of  Branches
 of Futures Broker
 Companies","期货公司
营业部   
No. of  Trading 
Offices of  Futures 
Broker Companies","私募基金
管理人 
No. of  Private
 investment 
fund managers"
地  区,Region,"上市公司

Number of
Listed 
Companies","拟上市公司
Number of
Listed 
Companies 
in plan","新三板挂牌公司   
Number of
 New third 
board Listed
 Companies","证券公司  

No.of
Securities
Companies","证券公司
分公司   
No.of  Branches 
of  Securities
 Companies","证券公司
营业部
 No. of  Securities
 Business
 Department","期货公司

No. of  Futures
 Broker
 Companies","期货公司
分公司
No. of  Branches
 of Futures Broker
 Companies","期货公司
营业部   
No. of  Trading 
Offices of  Futures 
Broker Companies","私募基金
管理人 
No. of  Private
 investment 
fund managers"
地  区,Region,"上市公司

Number of
Listed 
Companies","拟上市公司
Number of
Listed 
Companies 
in plan","新三板挂牌公司   
Number of
 New third 
board Listed
 Companies","证券公司  

No.of
Securities
Companies","证券公司
分公司   
No.of  Branches 
of  Securities
 Companies","证券公司
营业部
 No. of  Securities
 Business
 Department","期货公司

No. of  Futures
 Broker
 Companies","期货公司
分公司
No. of  Branches
 of Futures Broker
 Companies","期货公司
营业部   
No. of  Trading 
Offices of  Futures 
Broker Companies","私募基金
管理人 
No. of  Private
 investment 
fund managers"
地  区,Region,"上市公司

Number of
Listed 
Companies","拟上市公司
Number of
Listed 
Companies 
in plan","新三板挂牌公司   
Number of
 New third 
board Listed
 Companies","证券公司  

No.of
Securities
Companies","证券公司
分公司   
No.of  Branches 
of  Securities
 Companies","证券公司
营业部
 No. of  Securities
 Business
 Department","期货公司

No. of  Futures
 Broker
 Companies","期货公司
分公司
No. of  Branches
 of Futures Broker
 Companies","期货公司
营业部   
No. of  Trading 
Offices of  Futures 
Broker Companies","私募基金
管理人 
No. of  Private
 investment 
fund managers"
,,,,,,,,,,,
全省总计,Total,308,159,396,3,144,549,4,106,80,768
济 南 市,Jinan,47,26,97,1,64,87,2,64,17,193
青 岛 市,Qingdao,67,26,62,2,43,119,1,30,22,375
淄 博 市,Zibo,33,13,29,,3,40,1,2,6,33
枣 庄 市,Zaozhuang,4,5,11,,1,15,,,0,4
东 营 市,Dongying,6,12,14,,2,24,,,4,6
烟 台 市,Yantai,52,13,40,,11,55,,4,10,45
潍 坊 市,Weifang,29,19,25,,3,48,,2,1,29
济 宁 市,Jining,10,8,18,,2,23,,1,3,5
泰 安 市,Tai'an,7,4,13,,2,20,,,1,21
威 海 市,Weihai,17,8,28,,2,27,,,1,13
日 照 市,Rizhao,2,3,6,,1,8,,1,7,11
临 沂 市,Linyi,6,5,12,,3,33,,2,7,12
德 州 市,Dezhou,11,5,11,,2,11,,,1,6
聊 城 市,Liaocheng,7,1,13,,2,18,,,0,6
滨 州 市,Binzhou,8,9,11,,1,12,,,0,6
菏 泽 市,Heze,2,2,6,,2,9,,,0,3
