2017年全市社会保险基金收入决算表-预算科目-预算科目,2017年全市社会保险基金收入决算表-2016年决算数-2016年决算数,2017年全市社会保险基金收入决算表-2017年决算数-2017年决算数,2017年全市社会保险基金收入决算表-2017年决算数比2016年决算数增减额-2017年决算数比2016年决算数增减额,2017年全市社会保险基金收入决算表-单位：万元-2017年决算数比2016年决算数增减%-2017年决算数比2016年决算数增减%
全市社会保险基金收入,655156.0,738446.0,83290,0
企业职工基本养老保险基金收入,374651.0,410199.0,35548,0
企业职工基本养老保险费收入,215737.0,214750.0,(987),
企业职工基本养老保险基金财政补贴收入,150344.0,184522.0,34178,
其他企业职工基本养老保险基金收入,8570.0,10927.0,2357,
机关事业单位基本养老保险基金收入,0.0,45790.0,,
机关事业单位基本养老保险费收入,,37660.0,,
机关事业单位基本养老保险基金财政补贴收入,,8130.0,,
其他机关事业单位基本养老保险基金收入,,,0,
失业保险基金收入,30541.0,23656.0,(6885),(0)
失业保险费收入,27731.0,21130.0,(6601),
其他失业保险基金收入,2810.0,2526.0,(284),
职工基本医疗保险基金收入,181612.0,186369.0,4757,0
职工基本医疗保险费金收入,173293.0,181084.0,7791,
其他职工基本医疗保险基金收入,8319.0,5285.0,(3034),
工伤保险基金收入,9992.0,10225.0,233,0
工伤保险费收入,9136.0,9533.0,397,
其他工伤保险基金收入,856.0,692.0,(164),
生育保险基金收入,8795.0,12121.0,3326,0
生育保险费收入,8688.0,12095.0,3407,
其他生育保险基金收入,107.0,26.0,(81),
新型农村合作医疗基金收入,22332.0,23552.0,1220,0
新型农村合作医疗保险费收入,5746.0,6715.0,969,
其他新型农村合作医疗基金收入,16586.0,16837.0,251,
城镇居民基本医疗保险基金收入,20118.0,20140.0,22,0
城镇居民基本医疗保险费收入,6330.0,6113.0,(217),
其他城镇居民基本医疗保险基金收入,13788.0,14027.0,239,
城乡居民基本养老保险基金收入,7115.0,6394.0,(721),(0)
城乡居民基本养老保险费收入,2681.0,2358.0,(323),
城乡居民基本养老保险基金财政补贴收入,4308.0,3991.0,(317),
其他城乡居民基本养老保险基金收入,126.0,45.0,(81),
