山东省一般公共预算支出-GeneralPublicBudgetExpenditure-单位:万元-类别-类别,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-Category-Category,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-2019-2019,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-2020-2020,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-2021-2021,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-2022-2022,山东省一般公共预算支出-GeneralPublicBudgetExpenditure-(10000yuan)-2023-2023
,,,,,,
一般公共预算支出,General Public Budget Expenditure,107397560.0,112335163.0,117131607.0,121286340.0,125817390.0
一般公共服务支出,Expenditure for General Public Services,10619500.0,11180676.0,11361128.0,12093238.0,11934996.0
公共安全支出,Expenditure for Public Security,6332058.0,6316573.0,6351953.0,6328568.0,6471840.0
教育支出,Expenditure for Education,21561355.0,22838368.0,24110936.0,26264802.0,27137395.0
科学技术支出,Expenditure for Science and Technology,3057556.0,2986162.0,3723197.0,3132594.0,3227048.0
文化旅游体育与传媒支出,"Expenditure for Culture, Tourism，Sport and Media",1895034.0,1701115.0,1803572.0,1674730.0,1574182.0
社会保障和就业支出,Expenditure for Social Secunity and Employment,14446327.0,16575296.0,18633891.0,19644355.0,21817521.0
卫生健康支出,Expenditure for Health Care,9120675.0,10455012.0,10927223.0,12341046.0,12539795.0
城乡社区支出,Expenditure for Urban and Rural Community Affairs,10702489.0,10538645.0,10873296.0,9923417.0,12001280.0
农林水支出,"Expenditure for Agriculture, Forestry and",10759789.0,10652864.0,10269455.0,11188638.0,10517303.0
,Water Conservancy,,,,,
交通运输支出,Expenditure for Transportation,3777587.0,3758935.0,3262570.0,3024850.0,3029245.0
资源勘探工业信息等支出,Expenditure for Resource Exploration and,2161059.0,2594688.0,2589794.0,2555044.0,2810679.0
,Industrial Information,,,,,
商业服务业等支出,Expenditure for Affairs of Commerce and Services,558267.0,742788.0,847941.0,895854.0,824893.0
自然资源海洋气象等支出,"Expenditure for Natural Rescources,Ocean and",1355145.0,1311128.0,1362818.0,1413708.0,1319905.0
,Weather,,,,,
住房保障支出,Expenditure for Affairs of Housing Security,2392927.0,2516290.0,2806846.0,3121092.0,3256167.0
,,,,,,
,,,,,,
"注：2019年起，文化体育与传媒支出更名为文化旅游体育与传媒支出，医疗卫生与计划生育支出更名为卫生健康支出,国土海洋气象等支",,,,,,
出更名为自然资源海洋气象等支出。,,,,,,
"a) Since 2019,Expenditure for Culture, Sport and Media renames to Expenditure for Culture,Tourism,Sport and Media.Expenditure for Medical and",,,,,,
"Health Care,and Family Planning renames to  Expenditure for Health.Expenditure for Affairs of Land,Ocean and Weather renames to Expenditure",,,,,,
for Natural Ocean and Weather.,,,,,,
