日期-日期,自产煤炭产量（万吨）-当日完成,自产煤炭产量（万吨）-去年当日完成,自产煤炭产量（万吨）-截至当日年累计,自产煤炭产量（万吨）-去年同期年累计数,不含进口的外购煤量（万吨）-当日完成,不含进口的外购煤量（万吨）-去年当日完成,不含进口的外购煤量（万吨）-截至当日年累计,不含进口的外购煤量（万吨）-去年同期年累计数,煤炭销量（万吨）-当日完成,煤炭销量（万吨）-去年当日完成,煤炭销量（万吨）-截至当日年累计,煤炭销量（万吨）-去年同期年累计数
44562,43,55,43,55,6,11,6,11,19,58,19,58
44563,55,65,98,120,37,14,43,25,58,36,77,94
44564,70,66,168,186,24,12,67,37,49,89,126,183
44565,74,70,242,256,82,18,149,55,116,77,242,260
44566,67,69,309,325,27,8,176,63,90,40,331,300
44567,71,68,380,393,31,20,207,83,68,69,399,369
44568,71,72,451,465,28,13,235,97,64,45,463,413
44569,69,73,520,538,42,20,277,117,75,103,538,516
44570,67,70,587,608,49,19,326,137,116,104,654,620
44571,71,69,658,677,37,30,363,167,85,135,739,755
44572,72,73,730,750,52,20,415,187,77,98,816,853
44573,77,70,807,820,64,7,479,195,83,53,899,906
44574,69,71,876,891,33,20,512,214,59,64,958,970
44575,66,71,942,962,14,4,526,218,25,52,983,1022
44576,67,67,1009,1029,17,4,543,222,59,28,1042,1051
44577,71,71,1080,1100,25,97,568,319,75,186,1117,1237
44578,68,74,1148,1174,16,37,584,356,37,63,1154,1300
44579,68,65,1216,1239,7,40,591,396,38,77,1192,1377
44580,63,67,1279,1306,18,76,609,472,77,200,1269,1577
44581,68,64,1347,1370,25,38,634,509,18,89,1287,1666
44582,65,68,1412,1438,33,20,667,529,83,83,1370,1749
44583,35,64,1447,1502,19,27,686,556,97,72,1468,1821
44584,38,67,1485,1569,16,105,702,661,50,181,1517,2002
44585,50,69,1535,1638,28,92,730,753,38,108,1555,2110
44586,57,70,1592,1708,34,34,764,787,68,82,1623,2192
44587,60,64,1652,1772,13,48,777,835,53,121,1676,2312
44588,65,67,1717,1839,32,42,809,877,69,82,1745,2394
44589,75,68,1792,1907,16,51,825,928,69,104,1815,2498
44590,73,60,1865,1967,63,19,888,947,119,70,1933,2568
44591,76,59,1941,2026,56,23,944,970,168,82,2102,2650
44592,77,50,2018,2076,80,11,1024,981,439,75,2541,2724
44593,62,58,2080,2134,36,20,1060,1001,59,34,2600,2758
44594,70,43,2150,2177,39,31,1099,1031,77,42,2677,2800
44595,73,54,2223,2231,37,16,1136,1047,157,59,2835,2859
44596,75,60,2299,2291,28,21,1164,1067,75,30,2910,2889
44597,74,54,2372,2346,45,52,1209,1119,91,113,3001,3003
44598,73,51,2445,2396,50,31,1258,1150,147,96,3148,3099
44599,69,62,2514,2459,22,24,1281,1174,44,133,3192,3232
44600,71,57,2586,2516,36,25,1316,1199,119,69,3311,3301
44601,74,62,2659,2578,28,17,1345,1216,47,61,3358,3362
44602,71,55,2730,2633,9,12,1353,1228,18,47,3376,3409
44603,72,67,2803,2700,16,8,1370,1235,30,34,3405,3443
44604,74,63,2877,2763,51,13,1421,1248,90,42,3496,3485
44605,71,69,2949,2832,30,14,1450,1262,66,35,3562,3520
44606,67,63,3016,2895,50,19,1500,1281,184,68,3746,3587
44607,73,64,3088,2960,40,17,1539,1298,78,52,3824,3640
44608,67,63,3156,3023,42,50,1582,1349,107,94,3931,3734
44609,67,65,3223,3088,77,11,1659,1359,120,62,4051,3795
44610,65,65,3288,3153,60,19,1719,1379,122,55,4173,3850
44611,73,69,3361,3222,63,10,1782,1389,89,51,4262,3901
44612,65,64,3426,3286,78,17,1859,1406,119,73,4381,3974
44613,68,62,3494,3348,40,21,1899,1426,109,89,4490,4063
44614,67,63,3561,3411,41,27,1939,1454,98,71,4587,4135
44615,66,64,3627,3475,29,8,1968,1462,67,57,4654,4191
44616,72,64,3699,3539,56,86,2023,1548,151,142,4805,4333
44617,72,68,3771,3607,39,17,2062,1565,59,85,4864,4418
44618,73,68,3844,3675,20,11,2082,1576,60,41,4925,4459
44619,72,68,3916,3743,18,34,2101,1610,139,66,5064,4525
44620,66,66,3982,3809,14,106,2115,1716,606,203,5670,4728
44621,63,63,4044,3872,21,15,2136,1731,69,78,5739,4806
44622,67,70,4112,3942,29,12,2165,1743,69,56,5808,4862
44623,69,68,4181,4010,40,25,2204,1768,59,48,5867,4910
44624,66,69,4247,4079,20,7,2224,1775,79,50,5946,4960
44625,61,64,4308,4143,21,3,2245,1778,81,39,6027,4999
44626,67,68,4375,4211,59,27,2304,1805,168,116,6196,5116
44627,62,66,4437,4277,41,57,2345,1863,144,102,6339,5218
44628,64,66,4502,4343,45,7,2389,1870,130,71,6469,5289
44629,56,62,4557,4405,26,22,2416,1892,90,79,6558,5368
44630,64,55,4621,4460,21,24,2436,1915,99,67,6657,5435
