ChinaMerchantsBank-2016AnnualBasicInformation,ChinaMerchantsBank-2016AnnualBasicInformation.1,ChinaMerchantsBank-LoanScaleDetails,ChinaMerchantsBank-LoanScaleDetails.1
Market Value,,Core Tier 1 Capital,388 billion
Total Assets,594 billion yuan,Net Capital,460 billion
Net owner's equity attributable to shareholders of the parent company,400 billion,Net weighted risk assets,3.85 trillion
Net profit attributable to shareholders,62 billion,Tier 1 Capital Adequacy Ratio,Weighting Method 10%
Revenue,200 billion,Capital Adequacy Ratio,12%
,,,
,,Non-performing loan ratio,1.87%
Profit Details Table,Profit Details Table,Non-performing loan ratio provision coverage ratio,180%
Net interest income,134 billion yuan,Profit Provision Ratio,1.77
Net handling fee and commission income,60.8 billion,Loss Provision / Net Profit,
Other net income,13.5 billion,,
Business and Management Expenses,(58.5 billion),Total customer loans,3.26 trillion
Asset impairment loss,(66.1 billion),Company Loan,1.56 trillion
Pre-tax profit,79 billion,Retail Loan,1.54 trillion
Income Tax,(16.6 billion),Personal housing loan,730 billion
The net profit attributable to the shareholders of this bank,62 billion,Credit card loan,410 billion
,,small and micro enterprise loans,280 billion
Net Interest Income Details,Net Interest Income Details,Other,120 billion
Total interest income from interest-earning assets,215 billion,Bill Discounting,15 billion yuan
Loans and Advances,151 billion yuan,,
：Investment,46 billion,Total non-performing loans,61.1 billion
Interbank Deposits and Loans,10 billion,Company Loan,45.7 billion
Interest expense on interest-bearing liabilities,80 billion,Retail Loan,15.4 billion
Customer Deposits,46 billion,Watch-listed Loans,68 billion
Interbank Deposit and Lending,20 billion,Restructured Loans,16.6 billion
Net interest income,134 billion yuan,Non-performing + Watch + Restructuring,145.7 billion
,,Loan Loss Provisions,110 billion
Non-interest Income Details,Non-interest Income Details,,
Fee and commission income,66 billion,Main Assets,
Bank card service charge,110 billion,Investment securities and other financial assets,1.46 trillion
Settlement and Clearing Service Fee,6.5 billion,：Available-for-sale financial assets,27%
Agency Service Handling Fee,13 billion,：Held-to-Maturity Investments,33%
Custody,23 billion,receivable investment,36%
Other,10 billion,,
Fee and commission expenses,(5 billion),Liability Side,
Net handling fee and commission income,60.8 billion,Total customer deposits,3.8 trillion
Other non-interest income,13.5 billion,Enterprise Deposit,2.5 trillion
Investment income,12 billion,Retail deposits,1.3 trillion
Total non-interest net income,74 billion,Customer Deposit Average Cost Rate,1.27%
,,Total Assets Details,Total Assets Details
Supplementary Financial Indicators,Supplementary Financial Indicators,Total Assets,594 billion yuan
Net interest spread,2.37%,Total customer loans,3.26 trillion
Net Interest Income Ratio,64.40%,Investment securities and other financial assets,1.46 trillion
Proportion of non-interest income,35.60%,"Cash, precious metals, and central bank deposits",60 billion yuan
Customer Deposit Average Cost Rate,1.27%,Interbank Deposits,100 billion
,,Funds Lent and Purchased Resale Assets,480 billion
,,Goodwill and Others,220 billion
Author's Valuation,Net profit X10,620 billion,
,Net Assets X2,800 billion,
